Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,5,24.01,,,1243.67,WarmStart,WarmStart
1,23,788.8326479,,,1243.67,WarmStart,WarmStart
2,26,839.28,,,1243.67,WarmStart,WarmStart
3,29,6.19,,,1243.67,WarmStart,WarmStart
4,35,10.32,,,1243.67,WarmStart,WarmStart
5,37,11.44,,,1243.67,WarmStart,WarmStart
6,42,49.98,,,1243.67,WarmStart,WarmStart
7,46,7.85,,,1243.67,WarmStart,WarmStart
8,54,17.89,,,1243.67,WarmStart,WarmStart
9,59,34.35,,,1243.67,WarmStart,WarmStart
10,62,7.25,,,1243.67,WarmStart,WarmStart
11,75,26.57,,,1243.67,WarmStart,WarmStart
12,93,17.35,,,1243.67,WarmStart,WarmStart
13,96,45.34,,,1243.67,WarmStart,WarmStart
14,97,86.01,,,1243.67,WarmStart,WarmStart
15,100,433.78,,,1243.67,WarmStart,WarmStart
16,102,545.78,,,1243.67,WarmStart,WarmStart
17,109,750.9,,,1243.67,WarmStart,WarmStart
18,111,838.31,,,1243.67,WarmStart,WarmStart
19,113,226.22,,,1243.67,WarmStart,WarmStart
20,120,540.19,,,1243.67,WarmStart,WarmStart
21,125,608.87,,,1243.67,WarmStart,WarmStart
22,127,1089.12,,,1243.67,WarmStart,WarmStart
23,136,293.6,,,1243.67,WarmStart,WarmStart
24,139,336.24,,,1243.67,WarmStart,WarmStart
25,142,280.38,,,1243.67,WarmStart,WarmStart
26,147,326.54,,,1243.67,WarmStart,WarmStart
27,152,44.1,,,1243.67,WarmStart,WarmStart
28,154,63.81,,,1243.67,WarmStart,WarmStart
29,160,189.12,,,1243.67,WarmStart,WarmStart
30,162,217.94,,,1243.67,WarmStart,WarmStart
31,164,220.66,,,1243.67,WarmStart,WarmStart
32,168,331.17,,,1243.67,WarmStart,WarmStart
33,177,83.28491341,,,1243.67,WarmStart,WarmStart
34,183,162.7067112,,,1243.67,WarmStart,WarmStart
35,189,345.3800939,,,1243.67,WarmStart,WarmStart
36,191,398.5758253,,,1243.67,WarmStart,WarmStart
37,195,179.12,,,1243.67,WarmStart,WarmStart
38,197,192.98,,,1243.67,WarmStart,WarmStart
39,201,213.5,,,1243.67,WarmStart,WarmStart
40,205,248.62,,,1243.67,WarmStart,WarmStart
41,206,268.25,,,1243.67,WarmStart,WarmStart
42,212,395.74,,,1243.67,WarmStart,WarmStart
43,218,537.77,,,1243.67,WarmStart,WarmStart
44,223,636.48,,,1243.67,WarmStart,WarmStart
45,114,291.41,868.0468084417189,862.8999999999999,1243.67,ActiveLearning,Continuing
46,112,904.29,778.7507689293479,797.7099999999998,1243.67,ActiveLearning,Continuing
47,110,770.35,672.8938961186849,862.8999999999999,1243.67,ActiveLearning,Continuing
48,116,452.8,676.7037962174177,797.7099999999998,1243.67,ActiveLearning,Continuing
49,123,552.26,603.1981845734123,797.7099999999998,1243.67,ActiveLearning,Continuing
50,220,546.79,854.3796842250912,133.93999999999994,1243.67,ActiveLearning,Continuing
51,122,543.75,599.8860546164279,645.3299999999999,1243.67,ActiveLearning,Continuing
52,226,658.86,730.1038545068662,357.5,1243.67,ActiveLearning,Continuing
53,16,490.06,792.8406519164138,161.44022916666665,1243.67,ActiveLearning,Continuing
54,19,634.35,708.3904575339427,349.21999999999997,1243.67,ActiveLearning,Continuing
55,228,697.4,534.5754022838935,645.3299999999999,1243.67,ActiveLearning,Continuing
56,126,660.0,584.9905702777777,565.6324583333333,1243.67,ActiveLearning,Continuing
57,224,637.46,624.4029402727606,489.3569166666667,1243.67,ActiveLearning,Continuing
58,169,385.2,519.9588073369998,645.3299999999999,1243.67,ActiveLearning,Continuing
59,229,731.11,597.4856475566096,442.5814333333332,1243.67,ActiveLearning,Continuing
60,20,688.74,689.9245886184265,251.85132394999994,1243.67,ActiveLearning,Continuing
61,115,325.56,507.78605339176147,612.0899999999999,1243.67,ActiveLearning,Continuing
62,231,772.94,618.808476553932,388.7292083333331,1243.67,ActiveLearning,Continuing
63,103,562.06,507.2463123511897,612.0899999999999,1243.67,ActiveLearning,Continuing
64,21,725.7933279,692.1411647113833,188.01701162874997,1243.67,ActiveLearning,Continuing
