Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,11,140.7,,,1243.67,WarmStart,WarmStart
2,14,218.67,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,25,804.11,,,1243.67,WarmStart,WarmStart
5,29,6.19,,,1243.67,WarmStart,WarmStart
6,30,6.44,,,1243.67,WarmStart,WarmStart
7,38,12.19,,,1243.67,WarmStart,WarmStart
8,42,49.98,,,1243.67,WarmStart,WarmStart
9,46,7.85,,,1243.67,WarmStart,WarmStart
10,49,10.58,,,1243.67,WarmStart,WarmStart
11,51,15.85,,,1243.67,WarmStart,WarmStart
12,55,17.96,,,1243.67,WarmStart,WarmStart
13,56,18.43,,,1243.67,WarmStart,WarmStart
14,57,28.51,,,1243.67,WarmStart,WarmStart
15,66,12.36,,,1243.67,WarmStart,WarmStart
16,67,13.46,,,1243.67,WarmStart,WarmStart
17,71,16.13,,,1243.67,WarmStart,WarmStart
18,72,16.51,,,1243.67,WarmStart,WarmStart
19,90,11.47,,,1243.67,WarmStart,WarmStart
20,91,13.25,,,1243.67,WarmStart,WarmStart
21,101,484.36,,,1243.67,WarmStart,WarmStart
22,110,770.35,,,1243.67,WarmStart,WarmStart
23,112,904.29,,,1243.67,WarmStart,WarmStart
24,115,325.56,,,1243.67,WarmStart,WarmStart
25,119,535.99,,,1243.67,WarmStart,WarmStart
26,120,540.19,,,1243.67,WarmStart,WarmStart
27,133,215.93,,,1243.67,WarmStart,WarmStart
28,137,293.93,,,1243.67,WarmStart,WarmStart
29,149,328.45,,,1243.67,WarmStart,WarmStart
30,152,44.1,,,1243.67,WarmStart,WarmStart
31,154,63.81,,,1243.67,WarmStart,WarmStart
32,155,92.38,,,1243.67,WarmStart,WarmStart
33,157,118.34,,,1243.67,WarmStart,WarmStart
34,159,180.26,,,1243.67,WarmStart,WarmStart
35,161,214.21,,,1243.67,WarmStart,WarmStart
36,164,220.66,,,1243.67,WarmStart,WarmStart
37,173,2.740952014,,,1243.67,WarmStart,WarmStart
38,182,160.6199195,,,1243.67,WarmStart,WarmStart
39,187,322.6997586,,,1243.67,WarmStart,WarmStart
40,193,733.7295218,,,1243.67,WarmStart,WarmStart
41,195,179.12,,,1243.67,WarmStart,WarmStart
42,207,289.72,,,1243.67,WarmStart,WarmStart
43,208,297.95,,,1243.67,WarmStart,WarmStart
44,211,382.45,,,1243.67,WarmStart,WarmStart
45,216,696.39,,,1243.67,WarmStart,WarmStart
46,221,561.86,,,1243.67,WarmStart,WarmStart
47,224,637.46,,,1243.67,WarmStart,WarmStart
48,228,697.4,,,1243.67,WarmStart,WarmStart
49,230,738.1,,,1243.67,WarmStart,WarmStart
50,232,824.47,,,1243.67,WarmStart,WarmStart
51,220,546.79,833.8253065224982,284.74159999999983,1243.67,ActiveLearning,Continuing
52,114,291.41,593.3516778832504,614.5699999999999,1243.67,ActiveLearning,Continuing
53,226,658.86,720.4541474899524,357.5,1243.67,ActiveLearning,Continuing
54,223,636.48,649.406847729582,476.42,1243.67,ActiveLearning,Continuing
55,19,634.35,709.9718981596577,334.41,1243.67,ActiveLearning,Continuing
56,190,390.2707837,561.4266800303021,609.7300805,1243.67,ActiveLearning,Continuing
57,183,162.7067112,569.7506181665245,573.1096023,1243.67,ActiveLearning,Continuing
58,194,745.278685,604.9181411777532,571.0228106000001,1243.67,ActiveLearning,Continuing
59,20,688.74,689.0188384150308,252.08499999999992,1243.67,ActiveLearning,Continuing
60,204,240.44,499.77335446515207,584.6587655,1243.67,ActiveLearning,Continuing
61,21,725.7933279,687.6034090782831,206.58296666666672,1243.67,ActiveLearning,Continuing
62,22,766.85,553.3203802022567,478.94,1243.67,ActiveLearning,Continuing
63,24,800.58,690.7984864494221,441.29,1243.67,ActiveLearning,Continuing
64,222,602.48,754.4741266408429,316.22,1243.67,ActiveLearning,Continuing
65,113,226.22,613.719258052404,459.6615666666666,1243.67,ActiveLearning,Continuing
66,104,580.44,562.4491222331658,557.495,1243.67,ActiveLearning,Continuing
67,100,433.78,547.5538412417391,566.0680416666665,1243.67,ActiveLearning,Continuing
68,227,695.67,705.0879820485478,198.10000000000002,1243.67,ActiveLearning,Continuing
69,192,424.1973941,454.0869076786675,645.72,1243.67,ActiveLearning,Continuing
70,23,788.8326479,691.8110875252366,147.50459822964297,1243.67,ActiveLearning,Continuing
71,26,839.28,706.731709454011,127.10533369483335,1243.67,ActiveLearning,Continuing
72,27,852.33,723.6624984144381,123.9062069625237,1243.67,ActiveLearning,Continuing
73,103,562.06,508.8293260271196,497.1652807233334,1243.67,ActiveLearning,Continuing
74,108,659.36,551.3889706122508,381.5333124999999,1243.67,ActiveLearning,Continuing
75,107,625.33,487.66895822285375,517.44,1243.67,ActiveLearning,Continuing
76,109,750.9,507.4135652891333,497.7302051699999,1243.67,ActiveLearning,Continuing
77,106,618.72,515.2810392049979,524.68,1243.67,ActiveLearning,Continuing
78,125,608.87,433.5568205634161,658.52,1243.67,ActiveLearning,Continuing
79,169,385.2,464.5330002981823,590.2800804999999,1243.67,ActiveLearning,Continuing
80,122,543.75,451.53781751477413,588.1932888,1243.67,ActiveLearning,Continuing
81,139,336.24,460.1627987284522,524.68,1243.67,ActiveLearning,Continuing
82,124,554.41,457.3351820543451,522.5611666666665,1243.67,ActiveLearning,Continuing
83,178,111.8949727,414.3341999947995,582.5719738,1243.67,ActiveLearning,Continuing
84,184,200.7545831,423.4809961266684,622.0270351533331,1243.67,ActiveLearning,Continuing
85,105,607.72,562.4124465277758,298.4619999999991,1243.67,ActiveLearning,Continuing
86,17,559.01,412.63154711379735,598.9925000000001,1243.67,ActiveLearning,Continuing
87,18,617.92,509.99000339063184,474.30674999999985,1243.67,ActiveLearning,Continuing
88,138,302.25,495.9654509581071,603.3764999999999,1243.67,ActiveLearning,Continuing
89,213,406.47,442.0316269974659,645.72,1243.67,ActiveLearning,Continuing
90,147,326.54,388.55405598578903,561.1689639333333,1243.67,ActiveLearning,Continuing
91,117,475.46,434.67787848191574,538.5965565899983,1243.67,ActiveLearning,Continuing
92,111,838.31,408.95028935258347,561.5037657366663,1243.67,ActiveLearning,Continuing
93,150,348.88,413.5780368995004,637.5554169,1243.67,ActiveLearning,Continuing
94,136,293.6,406.0437544076674,525.54,1243.67,ActiveLearning,Continuing
95,146,312.65,386.37561262450055,590.2800804999999,1243.67,ActiveLearning,Continuing
96,162,217.94,348.244616734084,645.1992428666667,1243.67,ActiveLearning,Continuing
97,118,529.11,476.87203020984504,373.28328880000004,1243.67,ActiveLearning,Continuing
98,148,328.21,368.8198506800433,627.6091307,1243.67,ActiveLearning,Continuing
99,179,135.2652427,329.3950168208926,645.2954858933333,1243.67,ActiveLearning,Continuing
100,186,318.1919743,405.90190322485563,499.0641034000001,1243.67,ActiveLearning,Continuing
101,153,47.22,385.1124262153335,554.1099999999999,1243.67,ActiveLearning,Continuing
102,225,654.34,439.23905339724746,514.64,1243.67,ActiveLearning,Continuing
103,205,248.62,323.84184941833365,650.18,1243.67,ActiveLearning,Continuing
104,116,452.8,396.3461717630373,478.94,1243.67,ActiveLearning,Continuing
105,180,151.3841761,330.7081977149008,604.2388607,1243.67,ActiveLearning,Continuing
106,196,191.45,378.1970473199672,527.2189639333333,1243.67,ActiveLearning,Continuing
107,188,339.0080085,366.1712772025331,546.1677400773333,1243.67,ActiveLearning,Continuing
108,191,398.5758253,336.399490168,546.0158239,1243.67,ActiveLearning,Continuing
109,102,545.78,319.1686394746669,570.6999999999999,1243.67,ActiveLearning,Continuing
110,203,226.25,292.70700903266624,604.01,1243.67,ActiveLearning,Continuing
111,171,419.51,330.2811820939166,545.0058239,1243.67,ActiveLearning,Continuing
112,202,214.93,337.6232132342999,504.94,1243.67,ActiveLearning,Continuing
113,140,259.11,344.77854552508256,433.88000000000005,1243.67,ActiveLearning,Continuing
114,15,411.82,251.4848457440463,567.9399999999999,1243.67,ActiveLearning,Continuing
115,98,233.89,309.92066689650085,507.18999999999994,1243.67,ActiveLearning,Continuing
116,218,537.77,240.6137396376662,607.12,1243.67,ActiveLearning,Continuing
117,210,356.76,309.4738425257497,561.65,1243.67,ActiveLearning,Continuing
118,177,83.28491341,300.18666895408325,576.2933333333333,1243.67,ActiveLearning,Continuing
119,219,545.18,375.3914916474171,445.82875087999963,1243.67,ActiveLearning,Continuing
