Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,45,7.84,,,1243.67,WarmStart,WarmStart
10,55,17.96,,,1243.67,WarmStart,WarmStart
11,60,63.53,,,1243.67,WarmStart,WarmStart
12,68,13.99,,,1243.67,WarmStart,WarmStart
13,69,14.78,,,1243.67,WarmStart,WarmStart
14,75,26.57,,,1243.67,WarmStart,WarmStart
15,79,52.77,,,1243.67,WarmStart,WarmStart
16,84,7.08,,,1243.67,WarmStart,WarmStart
17,86,7.96,,,1243.67,WarmStart,WarmStart
18,101,484.36,,,1243.67,WarmStart,WarmStart
19,104,580.44,,,1243.67,WarmStart,WarmStart
20,109,750.9,,,1243.67,WarmStart,WarmStart
21,111,838.31,,,1243.67,WarmStart,WarmStart
22,120,540.19,,,1243.67,WarmStart,WarmStart
23,126,660.0,,,1243.67,WarmStart,WarmStart
24,132,212.66,,,1243.67,WarmStart,WarmStart
25,138,302.25,,,1243.67,WarmStart,WarmStart
26,143,283.86,,,1243.67,WarmStart,WarmStart
27,144,286.73,,,1243.67,WarmStart,WarmStart
28,146,312.65,,,1243.67,WarmStart,WarmStart
29,147,326.54,,,1243.67,WarmStart,WarmStart
30,148,328.21,,,1243.67,WarmStart,WarmStart
31,154,63.81,,,1243.67,WarmStart,WarmStart
32,155,92.38,,,1243.67,WarmStart,WarmStart
33,164,220.66,,,1243.67,WarmStart,WarmStart
34,170,405.26,,,1243.67,WarmStart,WarmStart
35,176,76.51244504,,,1243.67,WarmStart,WarmStart
36,182,160.6199195,,,1243.67,WarmStart,WarmStart
37,185,311.2965408,,,1243.67,WarmStart,WarmStart
38,186,318.1919743,,,1243.67,WarmStart,WarmStart
39,195,179.12,,,1243.67,WarmStart,WarmStart
40,198,195.33,,,1243.67,WarmStart,WarmStart
41,200,207.58,,,1243.67,WarmStart,WarmStart
42,201,213.5,,,1243.67,WarmStart,WarmStart
43,207,289.72,,,1243.67,WarmStart,WarmStart
44,208,297.95,,,1243.67,WarmStart,WarmStart
45,216,696.39,,,1243.67,WarmStart,WarmStart
46,217,271.56,,,1243.67,WarmStart,WarmStart
47,219,545.18,,,1243.67,WarmStart,WarmStart
48,230,738.1,,,1243.67,WarmStart,WarmStart
49,231,772.94,,,1243.67,WarmStart,WarmStart
50,122,543.75,635.6790298997496,612.3200805,1243.67,ActiveLearning,Continuing
51,139,336.24,605.6306620350806,617.65,1243.67,ActiveLearning,Continuing
52,224,637.46,691.6006691685011,432.70802569999995,1243.67,ActiveLearning,Continuing
53,22,766.85,717.7909593452354,316.22,1243.67,ActiveLearning,Continuing
54,100,433.78,720.8310201190469,353.94999999999993,1243.67,ActiveLearning,Continuing
55,222,602.48,750.3944191666658,366.80000000000007,1243.67,ActiveLearning,Continuing
56,114,291.41,692.4749175000006,339.1600000000001,1243.67,ActiveLearning,Continuing
57,223,636.48,618.8792054096193,452.95,1243.67,ActiveLearning,Continuing
58,112,904.29,635.2215633531745,370.33000000000004,1243.67,ActiveLearning,Continuing
59,220,546.79,816.1284791468244,379.02756944444434,1243.67,ActiveLearning,Continuing
60,226,658.86,715.8475338095241,357.5,1243.67,ActiveLearning,Continuing
61,227,695.67,717.1524325000005,198.10000000000002,1243.67,ActiveLearning,Continuing
62,20,688.74,656.8696674007932,314.05,1243.67,ActiveLearning,Continuing
63,169,385.2,482.3241791020812,677.6900804999999,1243.67,ActiveLearning,Continuing
64,125,608.87,486.3004809792668,658.52,1243.67,ActiveLearning,Continuing
65,116,452.8,572.9678928245439,481.53000000000003,1243.67,ActiveLearning,Continuing
66,228,697.4,597.8058877964173,440.5615,1243.67,ActiveLearning,Continuing
67,192,424.1973941,506.7812307694996,525.44,1243.67,ActiveLearning,Continuing
68,124,554.41,499.927097837283,544.9102666666666,1243.67,ActiveLearning,Continuing
69,21,725.7933279,661.0610727876982,206.03549047619038,1243.67,ActiveLearning,Continuing
70,103,562.06,574.3893780122644,404.53,1243.67,ActiveLearning,Continuing
71,23,788.8326479,672.3612471985247,171.6547275785416,1243.67,ActiveLearning,Continuing
72,26,839.28,695.1426064729935,152.49762939969446,1243.67,ActiveLearning,Continuing
73,27,852.33,715.3615505097372,140.55125353687492,1243.67,ActiveLearning,Continuing
74,232,824.47,732.09275866293,141.19594991510326,1243.67,ActiveLearning,Continuing
