Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,5,24.01,,,1243.67,WarmStart,WarmStart
1,23,788.8326479,,,1243.67,WarmStart,WarmStart
2,26,839.28,,,1243.67,WarmStart,WarmStart
3,29,6.19,,,1243.67,WarmStart,WarmStart
4,35,10.32,,,1243.67,WarmStart,WarmStart
5,37,11.44,,,1243.67,WarmStart,WarmStart
6,42,49.98,,,1243.67,WarmStart,WarmStart
7,46,7.85,,,1243.67,WarmStart,WarmStart
8,54,17.89,,,1243.67,WarmStart,WarmStart
9,59,34.35,,,1243.67,WarmStart,WarmStart
10,62,7.25,,,1243.67,WarmStart,WarmStart
11,75,26.57,,,1243.67,WarmStart,WarmStart
12,93,17.35,,,1243.67,WarmStart,WarmStart
13,96,45.34,,,1243.67,WarmStart,WarmStart
14,97,86.01,,,1243.67,WarmStart,WarmStart
15,100,433.78,,,1243.67,WarmStart,WarmStart
16,102,545.78,,,1243.67,WarmStart,WarmStart
17,109,750.9,,,1243.67,WarmStart,WarmStart
18,111,838.31,,,1243.67,WarmStart,WarmStart
19,113,226.22,,,1243.67,WarmStart,WarmStart
20,120,540.19,,,1243.67,WarmStart,WarmStart
21,125,608.87,,,1243.67,WarmStart,WarmStart
22,127,1089.12,,,1243.67,WarmStart,WarmStart
23,136,293.6,,,1243.67,WarmStart,WarmStart
24,139,336.24,,,1243.67,WarmStart,WarmStart
25,142,280.38,,,1243.67,WarmStart,WarmStart
26,147,326.54,,,1243.67,WarmStart,WarmStart
27,152,44.1,,,1243.67,WarmStart,WarmStart
28,154,63.81,,,1243.67,WarmStart,WarmStart
29,160,189.12,,,1243.67,WarmStart,WarmStart
30,162,217.94,,,1243.67,WarmStart,WarmStart
31,164,220.66,,,1243.67,WarmStart,WarmStart
32,168,331.17,,,1243.67,WarmStart,WarmStart
33,177,83.28491341,,,1243.67,WarmStart,WarmStart
34,183,162.7067112,,,1243.67,WarmStart,WarmStart
35,189,345.3800939,,,1243.67,WarmStart,WarmStart
36,191,398.5758253,,,1243.67,WarmStart,WarmStart
37,195,179.12,,,1243.67,WarmStart,WarmStart
38,197,192.98,,,1243.67,WarmStart,WarmStart
39,201,213.5,,,1243.67,WarmStart,WarmStart
40,205,248.62,,,1243.67,WarmStart,WarmStart
41,206,268.25,,,1243.67,WarmStart,WarmStart
42,212,395.74,,,1243.67,WarmStart,WarmStart
43,218,537.77,,,1243.67,WarmStart,WarmStart
44,223,636.48,,,1243.67,WarmStart,WarmStart
45,114,291.41,868.0468084417189,862.8999999999999,1243.67,ActiveLearning,Continuing
46,112,904.29,778.7507689293479,797.7099999999998,1243.67,ActiveLearning,Continuing
47,110,770.35,672.8938961186849,862.8999999999999,1243.67,ActiveLearning,Continuing
48,122,543.75,582.1520889363335,926.4132887999999,1243.67,ActiveLearning,Continuing
49,116,452.8,670.3827228196678,797.7099999999998,1243.67,ActiveLearning,Continuing
50,123,552.26,597.9559468749999,797.7099999999998,1243.67,ActiveLearning,Continuing
51,22,766.85,548.5210132781552,678.0699999999999,1243.67,ActiveLearning,Continuing
52,24,800.58,691.452845416856,612.0899999999999,1243.67,ActiveLearning,Continuing
53,17,559.01,585.1411012572577,587.08,1243.67,ActiveLearning,Continuing
54,216,696.39,457.2726118799064,711.31,1243.67,ActiveLearning,Continuing
55,224,637.46,579.8596572136022,553.6579999999999,1243.67,ActiveLearning,Continuing
56,101,484.36,562.4968129365077,560.868,1243.67,ActiveLearning,Continuing
57,126,660.0,585.042315626804,533.1130833333327,1243.67,ActiveLearning,Continuing
58,228,697.4,542.4235740680008,557.92,1243.67,ActiveLearning,Continuing
59,18,617.92,560.2711352875848,563.1166666666667,1243.67,ActiveLearning,Continuing
60,150,348.88,415.4970482719021,645.3299999999999,1243.67,ActiveLearning,Continuing
61,222,602.48,756.6781364495823,316.22,1243.67,ActiveLearning,Continuing
62,229,731.11,600.8894589328725,458.64634523809525,1243.67,ActiveLearning,Continuing
63,124,554.41,512.2375154021535,530.24,1243.67,ActiveLearning,Continuing
64,106,618.72,487.4273049999985,544.13,1243.67,ActiveLearning,Continuing
65,169,385.2,462.07098227336144,645.3299999999999,1243.67,ActiveLearning,Continuing
