Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,11,140.7,,,1243.67,WarmStart,WarmStart
2,14,218.67,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,25,804.11,,,1243.67,WarmStart,WarmStart
5,29,6.19,,,1243.67,WarmStart,WarmStart
6,30,6.44,,,1243.67,WarmStart,WarmStart
7,38,12.19,,,1243.67,WarmStart,WarmStart
8,42,49.98,,,1243.67,WarmStart,WarmStart
9,46,7.85,,,1243.67,WarmStart,WarmStart
10,49,10.58,,,1243.67,WarmStart,WarmStart
11,51,15.85,,,1243.67,WarmStart,WarmStart
12,55,17.96,,,1243.67,WarmStart,WarmStart
13,56,18.43,,,1243.67,WarmStart,WarmStart
14,57,28.51,,,1243.67,WarmStart,WarmStart
15,66,12.36,,,1243.67,WarmStart,WarmStart
16,67,13.46,,,1243.67,WarmStart,WarmStart
17,71,16.13,,,1243.67,WarmStart,WarmStart
18,72,16.51,,,1243.67,WarmStart,WarmStart
19,90,11.47,,,1243.67,WarmStart,WarmStart
20,91,13.25,,,1243.67,WarmStart,WarmStart
21,101,484.36,,,1243.67,WarmStart,WarmStart
22,110,770.35,,,1243.67,WarmStart,WarmStart
23,112,904.29,,,1243.67,WarmStart,WarmStart
24,115,325.56,,,1243.67,WarmStart,WarmStart
25,119,535.99,,,1243.67,WarmStart,WarmStart
26,120,540.19,,,1243.67,WarmStart,WarmStart
27,133,215.93,,,1243.67,WarmStart,WarmStart
28,137,293.93,,,1243.67,WarmStart,WarmStart
29,149,328.45,,,1243.67,WarmStart,WarmStart
30,152,44.1,,,1243.67,WarmStart,WarmStart
31,154,63.81,,,1243.67,WarmStart,WarmStart
32,155,92.38,,,1243.67,WarmStart,WarmStart
33,157,118.34,,,1243.67,WarmStart,WarmStart
34,159,180.26,,,1243.67,WarmStart,WarmStart
35,161,214.21,,,1243.67,WarmStart,WarmStart
36,164,220.66,,,1243.67,WarmStart,WarmStart
37,173,2.740952014,,,1243.67,WarmStart,WarmStart
38,182,160.6199195,,,1243.67,WarmStart,WarmStart
39,187,322.6997586,,,1243.67,WarmStart,WarmStart
40,193,733.7295218,,,1243.67,WarmStart,WarmStart
41,195,179.12,,,1243.67,WarmStart,WarmStart
42,207,289.72,,,1243.67,WarmStart,WarmStart
43,208,297.95,,,1243.67,WarmStart,WarmStart
44,211,382.45,,,1243.67,WarmStart,WarmStart
45,216,696.39,,,1243.67,WarmStart,WarmStart
46,221,561.86,,,1243.67,WarmStart,WarmStart
47,224,637.46,,,1243.67,WarmStart,WarmStart
48,228,697.4,,,1243.67,WarmStart,WarmStart
49,230,738.1,,,1243.67,WarmStart,WarmStart
50,232,824.47,,,1243.67,WarmStart,WarmStart
51,220,546.79,842.2841186523438,88.83451843261719,1243.67,ActiveLearning,Continuing
52,226,658.86,744.6417846679688,120.87486267089844,1243.67,ActiveLearning,Continuing
53,19,634.35,735.7841796875,84.03460693359375,1243.67,ActiveLearning,Continuing
54,20,688.74,713.7702026367188,71.62471008300781,1243.67,ActiveLearning,Continuing
55,21,725.7933279,704.7831420898438,55.46428298950195,1243.67,ActiveLearning,Continuing
56,23,788.8326479,707.3516845703125,44.088741302490234,1243.67,ActiveLearning,Continuing
57,26,839.28,716.529541015625,44.12136459350586,1243.67,ActiveLearning,Continuing
58,27,852.33,734.0140380859375,42.10306167602539,1243.67,ActiveLearning,Continuing
59,194,745.278685,619.4214477539062,183.70248413085938,1243.67,ActiveLearning,Continuing
60,223,636.48,614.4899291992188,130.21632385253906,1243.67,ActiveLearning,Continuing
61,183,162.7067112,547.2376098632812,140.96995544433594,1243.67,ActiveLearning,Continuing
62,22,766.85,565.898193359375,85.72565460205078,1243.67,ActiveLearning,Continuing
63,24,800.58,694.3736572265625,114.71307373046875,1243.67,ActiveLearning,Continuing
64,222,602.48,763.6682739257812,65.446533203125,1243.67,ActiveLearning,Continuing
65,227,695.67,702.7717895507812,45.74945068359375,1243.67,ActiveLearning,Continuing
66,113,226.22,605.1583862304688,101.17882537841797,1243.67,ActiveLearning,Continuing
67,114,291.41,545.4874267578125,115.32117462158203,1243.67,ActiveLearning,Continuing
68,139,336.24,526.7300415039062,127.27706146240234,1243.67,ActiveLearning,Continuing
69,204,240.44,560.6926879882812,109.6395263671875,1243.67,ActiveLearning,Continuing
70,104,580.44,521.0853271484375,86.12849426269531,1243.67,ActiveLearning,Continuing
71,108,659.36,560.1378173828125,65.81381225585938,1243.67,ActiveLearning,Continuing
72,103,562.06,529.3245849609375,63.368228912353516,1243.67,ActiveLearning,Continuing
73,105,607.72,553.768798828125,35.07769012451172,1243.67,ActiveLearning,Continuing
74,100,433.78,529.0142211914062,93.9295654296875,1243.67,ActiveLearning,Continuing
75,107,625.33,486.89202880859375,105.90697479248047,1243.67,ActiveLearning,Continuing
76,106,618.72,521.5838012695312,61.41300582885742,1243.67,ActiveLearning,Continuing
77,109,750.9,489.8167724609375,93.98529052734375,1243.67,ActiveLearning,Continuing
78,225,654.34,454.6063232421875,163.9842071533203,1243.67,ActiveLearning,Continuing
79,17,559.01,518.3113403320312,165.67947387695312,1243.67,ActiveLearning,Continuing
80,18,617.92,546.856201171875,98.29749298095703,1243.67,ActiveLearning,Continuing
81,192,424.1973941,507.7081298828125,166.33993530273438,1243.67,ActiveLearning,Continuing
82,124,554.41,465.2647399902344,124.64997100830078,1243.67,ActiveLearning,Continuing
83,138,302.25,458.6913757324219,147.71800231933594,1243.67,ActiveLearning,Continuing
84,117,475.46,457.2066955566406,133.615478515625,1243.67,ActiveLearning,Continuing
85,118,529.11,461.4017028808594,116.47384643554688,1243.67,ActiveLearning,Continuing
86,128,1243.67,498.1736145019531,83.00382995605469,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
