Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,38,12.19,,,1243.67,WarmStart,WarmStart
10,45,7.84,,,1243.67,WarmStart,WarmStart
11,55,17.96,,,1243.67,WarmStart,WarmStart
12,60,63.53,,,1243.67,WarmStart,WarmStart
13,68,13.99,,,1243.67,WarmStart,WarmStart
14,69,14.78,,,1243.67,WarmStart,WarmStart
15,75,26.57,,,1243.67,WarmStart,WarmStart
16,79,52.77,,,1243.67,WarmStart,WarmStart
17,84,7.08,,,1243.67,WarmStart,WarmStart
18,86,7.96,,,1243.67,WarmStart,WarmStart
19,97,86.01,,,1243.67,WarmStart,WarmStart
20,101,484.36,,,1243.67,WarmStart,WarmStart
21,104,580.44,,,1243.67,WarmStart,WarmStart
22,108,659.36,,,1243.67,WarmStart,WarmStart
23,109,750.9,,,1243.67,WarmStart,WarmStart
24,111,838.31,,,1243.67,WarmStart,WarmStart
25,112,904.29,,,1243.67,WarmStart,WarmStart
26,115,325.56,,,1243.67,WarmStart,WarmStart
27,120,540.19,,,1243.67,WarmStart,WarmStart
28,125,608.87,,,1243.67,WarmStart,WarmStart
29,126,660.0,,,1243.67,WarmStart,WarmStart
30,132,212.66,,,1243.67,WarmStart,WarmStart
31,138,302.25,,,1243.67,WarmStart,WarmStart
32,143,283.86,,,1243.67,WarmStart,WarmStart
33,144,286.73,,,1243.67,WarmStart,WarmStart
34,146,312.65,,,1243.67,WarmStart,WarmStart
35,147,326.54,,,1243.67,WarmStart,WarmStart
36,148,328.21,,,1243.67,WarmStart,WarmStart
37,154,63.81,,,1243.67,WarmStart,WarmStart
38,155,92.38,,,1243.67,WarmStart,WarmStart
39,164,220.66,,,1243.67,WarmStart,WarmStart
40,167,250.28,,,1243.67,WarmStart,WarmStart
41,170,405.26,,,1243.67,WarmStart,WarmStart
42,176,76.51244504,,,1243.67,WarmStart,WarmStart
43,182,160.6199195,,,1243.67,WarmStart,WarmStart
44,183,162.7067112,,,1243.67,WarmStart,WarmStart
45,185,311.2965408,,,1243.67,WarmStart,WarmStart
46,186,318.1919743,,,1243.67,WarmStart,WarmStart
47,195,179.12,,,1243.67,WarmStart,WarmStart
48,196,191.45,,,1243.67,WarmStart,WarmStart
49,198,195.33,,,1243.67,WarmStart,WarmStart
50,200,207.58,,,1243.67,WarmStart,WarmStart
51,201,213.5,,,1243.67,WarmStart,WarmStart
52,207,289.72,,,1243.67,WarmStart,WarmStart
53,208,297.95,,,1243.67,WarmStart,WarmStart
54,216,696.39,,,1243.67,WarmStart,WarmStart
55,217,271.56,,,1243.67,WarmStart,WarmStart
56,219,545.18,,,1243.67,WarmStart,WarmStart
57,223,636.48,,,1243.67,WarmStart,WarmStart
58,230,738.1,,,1243.67,WarmStart,WarmStart
59,231,772.94,,,1243.67,WarmStart,WarmStart
60,220,546.79,798.284912109375,135.54725646972656,1243.67,ActiveLearning,Continuing
61,22,766.85,735.8915405273438,92.87896728515625,1243.67,ActiveLearning,Continuing
62,222,602.48,774.3037719726562,31.99189567565918,1243.67,ActiveLearning,Continuing
63,226,658.86,702.2472534179688,122.93562316894531,1243.67,ActiveLearning,Continuing
64,114,291.41,721.2962036132812,48.23158645629883,1243.67,ActiveLearning,Continuing
65,227,695.67,730.0416870117188,55.65440368652344,1243.67,ActiveLearning,Continuing
66,224,637.46,682.8472900390625,86.2985610961914,1243.67,ActiveLearning,Continuing
67,100,433.78,664.4609375,98.05500793457031,1243.67,ActiveLearning,Continuing
68,20,688.74,645.7308349609375,76.67434692382812,1243.67,ActiveLearning,Continuing
69,21,725.7933279,654.671142578125,68.25057220458984,1243.67,ActiveLearning,Continuing
70,23,788.8326479,667.1217651367188,50.03691101074219,1243.67,ActiveLearning,Continuing
71,26,839.28,681.210693359375,51.16417694091797,1243.67,ActiveLearning,Continuing
72,27,852.33,704.5366821289062,47.8314323425293,1243.67,ActiveLearning,Continuing
73,232,824.47,721.6380615234375,49.32349395751953,1243.67,ActiveLearning,Continuing
74,116,452.8,590.293212890625,139.3777618408203,1243.67,ActiveLearning,Continuing
75,228,697.4,556.9524536132812,102.57450866699219,1243.67,ActiveLearning,Continuing
76,103,562.06,595.0255737304688,59.09953689575195,1243.67,ActiveLearning,Continuing
77,17,559.01,541.490234375,128.00120544433594,1243.67,ActiveLearning,Continuing
