Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,45,7.84,,,1243.67,WarmStart,WarmStart
10,55,17.96,,,1243.67,WarmStart,WarmStart
11,60,63.53,,,1243.67,WarmStart,WarmStart
12,68,13.99,,,1243.67,WarmStart,WarmStart
13,75,26.57,,,1243.67,WarmStart,WarmStart
14,79,52.77,,,1243.67,WarmStart,WarmStart
15,84,7.08,,,1243.67,WarmStart,WarmStart
16,101,484.36,,,1243.67,WarmStart,WarmStart
17,104,580.44,,,1243.67,WarmStart,WarmStart
18,109,750.9,,,1243.67,WarmStart,WarmStart
19,111,838.31,,,1243.67,WarmStart,WarmStart
20,120,540.19,,,1243.67,WarmStart,WarmStart
21,126,660.0,,,1243.67,WarmStart,WarmStart
22,132,212.66,,,1243.67,WarmStart,WarmStart
23,138,302.25,,,1243.67,WarmStart,WarmStart
24,143,283.86,,,1243.67,WarmStart,WarmStart
25,146,312.65,,,1243.67,WarmStart,WarmStart
26,148,328.21,,,1243.67,WarmStart,WarmStart
27,154,63.81,,,1243.67,WarmStart,WarmStart
28,155,92.38,,,1243.67,WarmStart,WarmStart
29,164,220.66,,,1243.67,WarmStart,WarmStart
30,170,405.26,,,1243.67,WarmStart,WarmStart
31,176,76.51244504,,,1243.67,WarmStart,WarmStart
32,182,160.6199195,,,1243.67,WarmStart,WarmStart
33,185,311.2965408,,,1243.67,WarmStart,WarmStart
34,186,318.1919743,,,1243.67,WarmStart,WarmStart
35,195,179.12,,,1243.67,WarmStart,WarmStart
36,198,195.33,,,1243.67,WarmStart,WarmStart
37,200,207.58,,,1243.67,WarmStart,WarmStart
38,201,213.5,,,1243.67,WarmStart,WarmStart
39,207,289.72,,,1243.67,WarmStart,WarmStart
40,208,297.95,,,1243.67,WarmStart,WarmStart
41,216,696.39,,,1243.67,WarmStart,WarmStart
42,217,271.56,,,1243.67,WarmStart,WarmStart
43,219,545.18,,,1243.67,WarmStart,WarmStart
44,231,772.94,,,1243.67,WarmStart,WarmStart
45,22,766.85,724.8350219726562,97.34837341308594,1243.67,ActiveLearning,Continuing
46,100,433.78,735.6547241210938,78.148193359375,1243.67,ActiveLearning,Continuing
47,222,602.48,765.2858276367188,52.870914459228516,1243.67,ActiveLearning,Continuing
48,114,291.41,667.4738159179688,119.83427429199219,1243.67,ActiveLearning,Continuing
49,227,695.67,719.6502075195312,45.64948272705078,1243.67,ActiveLearning,Continuing
50,20,688.74,664.894287109375,82.1676025390625,1243.67,ActiveLearning,Continuing
51,112,904.29,663.415283203125,74.45311737060547,1243.67,ActiveLearning,Continuing
52,220,546.79,808.9700317382812,133.2219696044922,1243.67,ActiveLearning,Continuing
53,226,658.86,717.6583251953125,135.0674591064453,1243.67,ActiveLearning,Continuing
54,21,725.7933279,668.8442993164062,61.43312454223633,1243.67,ActiveLearning,Continuing
55,23,788.8326479,679.5042724609375,46.1675910949707,1243.67,ActiveLearning,Continuing
56,26,839.28,697.2080078125,43.57912826538086,1243.67,ActiveLearning,Continuing
57,27,852.33,714.614013671875,35.41731643676758,1243.67,ActiveLearning,Continuing
58,232,824.47,736.998779296875,29.68021583557129,1243.67,ActiveLearning,Continuing
59,116,452.8,578.1123046875,142.94627380371094,1243.67,ActiveLearning,Continuing
60,17,559.01,530.8538208007812,121.30218505859375,1243.67,ActiveLearning,Continuing
61,123,552.26,547.587890625,100.64754486083984,1243.67,ActiveLearning,Continuing
62,108,659.36,531.1986694335938,99.6365966796875,1243.67,ActiveLearning,Continuing
63,103,562.06,567.9153442382812,72.73550415039062,1243.67,ActiveLearning,Continuing
64,127,1089.12,548.796630859375,77.29928588867188,1243.67,ActiveLearning,Continuing
65,229,731.11,632.4519653320312,120.19178009033203,1243.67,ActiveLearning,Continuing
66,139,336.24,550.1548461914062,134.0363006591797,1243.67,ActiveLearning,Continuing
67,110,770.35,586.7708129882812,82.28951263427734,1243.67,ActiveLearning,Continuing
68,122,543.75,547.7567749023438,111.9501724243164,1243.67,ActiveLearning,Continuing
69,224,637.46,534.0856323242188,116.30101013183594,1243.67,ActiveLearning,Continuing
70,230,738.1,591.8943481445312,98.34162902832031,1243.67,ActiveLearning,Continuing
71,223,636.48,596.3740844726562,95.55480194091797,1243.67,ActiveLearning,Continuing
72,113,226.22,538.14111328125,111.80023956298828,1243.67,ActiveLearning,Continuing
