Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,10,45.97,,,1243.67,WarmStart,WarmStart
2,15,411.82,,,1243.67,WarmStart,WarmStart
3,16,490.06,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,24,800.58,,,1243.67,WarmStart,WarmStart
7,25,804.11,,,1243.67,WarmStart,WarmStart
8,30,6.44,,,1243.67,WarmStart,WarmStart
9,45,7.84,,,1243.67,WarmStart,WarmStart
10,55,17.96,,,1243.67,WarmStart,WarmStart
11,60,63.53,,,1243.67,WarmStart,WarmStart
12,68,13.99,,,1243.67,WarmStart,WarmStart
13,69,14.78,,,1243.67,WarmStart,WarmStart
14,75,26.57,,,1243.67,WarmStart,WarmStart
15,79,52.77,,,1243.67,WarmStart,WarmStart
16,84,7.08,,,1243.67,WarmStart,WarmStart
17,86,7.96,,,1243.67,WarmStart,WarmStart
18,101,484.36,,,1243.67,WarmStart,WarmStart
19,104,580.44,,,1243.67,WarmStart,WarmStart
20,109,750.9,,,1243.67,WarmStart,WarmStart
21,111,838.31,,,1243.67,WarmStart,WarmStart
22,120,540.19,,,1243.67,WarmStart,WarmStart
23,126,660.0,,,1243.67,WarmStart,WarmStart
24,132,212.66,,,1243.67,WarmStart,WarmStart
25,138,302.25,,,1243.67,WarmStart,WarmStart
26,143,283.86,,,1243.67,WarmStart,WarmStart
27,144,286.73,,,1243.67,WarmStart,WarmStart
28,146,312.65,,,1243.67,WarmStart,WarmStart
29,147,326.54,,,1243.67,WarmStart,WarmStart
30,148,328.21,,,1243.67,WarmStart,WarmStart
31,154,63.81,,,1243.67,WarmStart,WarmStart
32,155,92.38,,,1243.67,WarmStart,WarmStart
33,164,220.66,,,1243.67,WarmStart,WarmStart
34,170,405.26,,,1243.67,WarmStart,WarmStart
35,176,76.51244504,,,1243.67,WarmStart,WarmStart
36,182,160.6199195,,,1243.67,WarmStart,WarmStart
37,185,311.2965408,,,1243.67,WarmStart,WarmStart
38,186,318.1919743,,,1243.67,WarmStart,WarmStart
39,195,179.12,,,1243.67,WarmStart,WarmStart
40,198,195.33,,,1243.67,WarmStart,WarmStart
41,200,207.58,,,1243.67,WarmStart,WarmStart
42,201,213.5,,,1243.67,WarmStart,WarmStart
43,207,289.72,,,1243.67,WarmStart,WarmStart
44,208,297.95,,,1243.67,WarmStart,WarmStart
45,216,696.39,,,1243.67,WarmStart,WarmStart
46,217,271.56,,,1243.67,WarmStart,WarmStart
47,219,545.18,,,1243.67,WarmStart,WarmStart
48,231,772.94,,,1243.67,WarmStart,WarmStart
49,22,766.85,733.0254516601562,93.35143280029297,1243.67,ActiveLearning,Continuing
50,222,602.48,749.8671875,71.63121032714844,1243.67,ActiveLearning,Continuing
51,227,695.67,710.2281494140625,71.24353790283203,1243.67,ActiveLearning,Continuing
52,114,291.41,677.5206298828125,81.97478485107422,1243.67,ActiveLearning,Continuing
53,20,688.74,664.611328125,81.81875610351562,1243.67,ActiveLearning,Continuing
54,100,433.78,652.9136962890625,89.70088195800781,1243.67,ActiveLearning,Continuing
55,21,725.7933279,668.9537353515625,72.69667053222656,1243.67,ActiveLearning,Continuing
56,23,788.8326479,676.0172729492188,57.32111740112305,1243.67,ActiveLearning,Continuing
57,112,904.29,670.7042236328125,70.37345123291016,1243.67,ActiveLearning,Continuing
58,220,546.79,844.3849487304688,100.80333709716797,1243.67,ActiveLearning,Continuing
59,226,658.86,712.4935302734375,124.04864501953125,1243.67,ActiveLearning,Continuing
60,26,839.28,691.805908203125,42.949642181396484,1243.67,ActiveLearning,Continuing
61,27,852.33,711.6880493164062,41.81629943847656,1243.67,ActiveLearning,Continuing
62,232,824.47,733.3133544921875,34.10542297363281,1243.67,ActiveLearning,Continuing
63,116,452.8,525.9137573242188,144.19187927246094,1243.67,ActiveLearning,Continuing
64,17,559.01,527.1435546875,135.4891815185547,1243.67,ActiveLearning,Continuing
65,123,552.26,571.6615600585938,90.57369995117188,1243.67,ActiveLearning,Continuing
66,110,770.35,546.1590576171875,96.68238830566406,1243.67,ActiveLearning,Continuing
67,113,226.22,598.1455078125,82.03401184082031,1243.67,ActiveLearning,Continuing
68,139,336.24,484.2603759765625,167.44039916992188,1243.67,ActiveLearning,Continuing
69,224,637.46,516.113037109375,124.06431579589844,1243.67,ActiveLearning,Continuing
70,230,738.1,584.0108642578125,105.36791229248047,1243.67,ActiveLearning,Continuing
71,223,636.48,576.568603515625,99.08455657958984,1243.67,ActiveLearning,Continuing
72,127,1089.12,572.0188598632812,58.465965270996094,1243.67,ActiveLearning,Continuing
73,229,731.11,661.0780029296875,96.52364349365234,1243.67,ActiveLearning,Continuing
