Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,22,766.85,,,1243.67,WarmStart,WarmStart
1,24,800.58,,,1243.67,WarmStart,WarmStart
2,98,233.89,,,1243.67,WarmStart,WarmStart
3,100,433.78,,,1243.67,WarmStart,WarmStart
4,101,484.36,,,1243.67,WarmStart,WarmStart
5,103,562.06,,,1243.67,WarmStart,WarmStart
6,104,580.44,,,1243.67,WarmStart,WarmStart
7,105,607.72,,,1243.67,WarmStart,WarmStart
8,106,618.72,,,1243.67,WarmStart,WarmStart
9,107,625.33,,,1243.67,WarmStart,WarmStart
10,108,659.36,,,1243.67,WarmStart,WarmStart
11,110,770.35,,,1243.67,WarmStart,WarmStart
12,111,838.31,,,1243.67,WarmStart,WarmStart
13,120,540.19,,,1243.67,WarmStart,WarmStart
14,125,608.87,,,1243.67,WarmStart,WarmStart
15,140,259.11,,,1243.67,WarmStart,WarmStart
16,143,283.86,,,1243.67,WarmStart,WarmStart
17,144,286.73,,,1243.67,WarmStart,WarmStart
18,162,217.94,,,1243.67,WarmStart,WarmStart
19,163,220.57,,,1243.67,WarmStart,WarmStart
20,164,220.66,,,1243.67,WarmStart,WarmStart
21,188,339.0080085,,,1243.67,WarmStart,WarmStart
22,190,390.2707837,,,1243.67,WarmStart,WarmStart
23,197,192.98,,,1243.67,WarmStart,WarmStart
24,199,201.63,,,1243.67,WarmStart,WarmStart
25,202,214.93,,,1243.67,WarmStart,WarmStart
26,207,289.72,,,1243.67,WarmStart,WarmStart
27,210,356.76,,,1243.67,WarmStart,WarmStart
28,219,545.18,,,1243.67,WarmStart,WarmStart
29,227,695.67,,,1243.67,WarmStart,WarmStart
30,10,45.97,13907.02734375,225.93844604492188,1243.67,ActiveLearning,Continuing
31,2,14.78,3079.884765625,184.74884033203125,1243.67,ActiveLearning,Continuing
32,13,215.37,1377.7801513671875,173.92691040039062,1243.67,ActiveLearning,Continuing
33,7,33.44,1614.8197021484375,98.99689483642578,1243.67,ActiveLearning,Continuing
34,16,490.06,828.7694702148438,31.352069854736328,1243.67,ActiveLearning,Continuing
35,115,325.56,763.3316650390625,30.37764549255371,1243.67,ActiveLearning,Continuing
36,222,602.48,763.9445190429688,42.46875762939453,1243.67,ActiveLearning,Continuing
37,150,348.88,663.6157836914062,36.93367385864258,1243.67,ActiveLearning,Continuing
38,109,750.9,600.63037109375,34.32952117919922,1243.67,ActiveLearning,Continuing
39,19,634.35,563.625,65.02384948730469,1243.67,ActiveLearning,Continuing
40,20,688.74,544.1755981445312,56.076175689697266,1243.67,ActiveLearning,Continuing
41,21,725.7933279,629.558349609375,50.76240921020508,1243.67,ActiveLearning,Continuing
42,23,788.8326479,667.4913940429688,51.046897888183594,1243.67,ActiveLearning,Continuing
43,25,804.11,657.8258666992188,45.381168365478516,1243.67,ActiveLearning,Continuing
44,26,839.28,689.6618041992188,43.52373504638672,1243.67,ActiveLearning,Continuing
45,27,852.33,669.8164672851562,39.105934143066406,1243.67,ActiveLearning,Continuing
46,232,824.47,748.43896484375,44.61709213256836,1243.67,ActiveLearning,Continuing
47,112,904.29,698.1277465820312,40.64269256591797,1243.67,ActiveLearning,Continuing
48,220,546.79,731.2101440429688,41.67245101928711,1243.67,ActiveLearning,Continuing
49,226,658.86,767.8228759765625,42.736915588378906,1243.67,ActiveLearning,Continuing
50,117,475.46,552.7059936523438,52.83594512939453,1243.67,ActiveLearning,Continuing
51,122,543.75,541.4617919921875,41.75934982299805,1243.67,ActiveLearning,Continuing
52,142,280.38,507.02581787109375,51.044189453125,1243.67,ActiveLearning,Continuing
53,118,529.11,476.17266845703125,49.101280212402344,1243.67,ActiveLearning,Continuing
54,119,535.99,464.8923034667969,45.630489349365234,1243.67,ActiveLearning,Continuing
55,128,1243.67,475.2979431152344,44.60112762451172,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
