Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,17,559.01,,,1243.67,WarmStart,WarmStart
1,22,766.85,,,1243.67,WarmStart,WarmStart
2,24,800.58,,,1243.67,WarmStart,WarmStart
3,99,374.29,,,1243.67,WarmStart,WarmStart
4,100,433.78,,,1243.67,WarmStart,WarmStart
5,101,484.36,,,1243.67,WarmStart,WarmStart
6,102,545.78,,,1243.67,WarmStart,WarmStart
7,103,562.06,,,1243.67,WarmStart,WarmStart
8,104,580.44,,,1243.67,WarmStart,WarmStart
9,105,607.72,,,1243.67,WarmStart,WarmStart
10,106,618.72,,,1243.67,WarmStart,WarmStart
11,107,625.33,,,1243.67,WarmStart,WarmStart
12,108,659.36,,,1243.67,WarmStart,WarmStart
13,110,770.35,,,1243.67,WarmStart,WarmStart
14,111,838.31,,,1243.67,WarmStart,WarmStart
15,113,226.22,,,1243.67,WarmStart,WarmStart
16,115,325.56,,,1243.67,WarmStart,WarmStart
17,118,529.11,,,1243.67,WarmStart,WarmStart
18,120,540.19,,,1243.67,WarmStart,WarmStart
19,122,543.75,,,1243.67,WarmStart,WarmStart
20,124,554.41,,,1243.67,WarmStart,WarmStart
21,125,608.87,,,1243.67,WarmStart,WarmStart
22,129,192.74,,,1243.67,WarmStart,WarmStart
23,140,259.11,,,1243.67,WarmStart,WarmStart
24,141,279.69,,,1243.67,WarmStart,WarmStart
25,143,283.86,,,1243.67,WarmStart,WarmStart
26,144,286.73,,,1243.67,WarmStart,WarmStart
27,146,312.65,,,1243.67,WarmStart,WarmStart
28,147,326.54,,,1243.67,WarmStart,WarmStart
29,148,328.21,,,1243.67,WarmStart,WarmStart
30,158,142.23,,,1243.67,WarmStart,WarmStart
31,163,220.57,,,1243.67,WarmStart,WarmStart
32,164,220.66,,,1243.67,WarmStart,WarmStart
33,168,331.17,,,1243.67,WarmStart,WarmStart
34,169,385.2,,,1243.67,WarmStart,WarmStart
35,170,405.26,,,1243.67,WarmStart,WarmStart
36,186,318.1919743,,,1243.67,WarmStart,WarmStart
37,188,339.0080085,,,1243.67,WarmStart,WarmStart
38,190,390.2707837,,,1243.67,WarmStart,WarmStart
39,194,745.278685,,,1243.67,WarmStart,WarmStart
40,197,192.98,,,1243.67,WarmStart,WarmStart
41,199,201.63,,,1243.67,WarmStart,WarmStart
42,201,213.5,,,1243.67,WarmStart,WarmStart
43,202,214.93,,,1243.67,WarmStart,WarmStart
44,207,289.72,,,1243.67,WarmStart,WarmStart
45,210,356.76,,,1243.67,WarmStart,WarmStart
46,215,457.13,,,1243.67,WarmStart,WarmStart
47,216,696.39,,,1243.67,WarmStart,WarmStart
48,218,537.77,,,1243.67,WarmStart,WarmStart
49,219,545.18,,,1243.67,WarmStart,WarmStart
50,220,546.79,,,1243.67,WarmStart,WarmStart
51,221,561.86,,,1243.67,WarmStart,WarmStart
52,222,602.48,,,1243.67,WarmStart,WarmStart
53,227,695.67,,,1243.67,WarmStart,WarmStart
54,232,824.47,,,1243.67,WarmStart,WarmStart
55,10,45.97,3454.853759765625,391.75372314453125,1243.67,ActiveLearning,Continuing
56,2,14.78,2038.1519775390625,238.0711212158203,1243.67,ActiveLearning,Continuing
57,13,215.37,1050.6348876953125,233.9699249267578,1243.67,ActiveLearning,Continuing
58,211,382.45,1059.28369140625,78.3609848022461,1243.67,ActiveLearning,Continuing
59,137,293.93,945.5560913085938,57.47456741333008,1243.67,ActiveLearning,Continuing
60,16,490.06,829.9761962890625,60.14896774291992,1243.67,ActiveLearning,Continuing
61,1,13.19,681.445068359375,165.69650268554688,1243.67,ActiveLearning,Continuing
62,205,248.62,720.17822265625,68.44953155517578,1243.67,ActiveLearning,Continuing
63,193,733.7295218,762.1068725585938,39.80052947998047,1243.67,ActiveLearning,Continuing
64,150,348.88,676.1084594726562,37.15487289428711,1243.67,ActiveLearning,Continuing
65,183,162.7067112,798.5159912109375,64.00543212890625,1243.67,ActiveLearning,Continuing
66,109,750.9,634.0714721679688,37.921260833740234,1243.67,ActiveLearning,Continuing
67,19,634.35,583.2157592773438,41.91276168823242,1243.67,ActiveLearning,Continuing
68,20,688.74,695.6358032226562,49.9344367980957,1243.67,ActiveLearning,Continuing
69,21,725.7933279,646.5128784179688,45.89663314819336,1243.67,ActiveLearning,Continuing
70,23,788.8326479,661.0809936523438,51.76628875732422,1243.67,ActiveLearning,Continuing
71,25,804.11,681.41650390625,44.96623992919922,1243.67,ActiveLearning,Continuing
72,26,839.28,750.49169921875,55.503665924072266,1243.67,ActiveLearning,Continuing
73,27,852.33,699.8544311523438,53.226783752441406,1243.67,ActiveLearning,Continuing
74,112,904.29,649.4528198242188,44.83938980102539,1243.67,ActiveLearning,Continuing
75,226,658.86,721.58251953125,54.26485824584961,1243.67,ActiveLearning,Continuing
76,229,731.11,651.8916015625,45.78059005737305,1243.67,ActiveLearning,Continuing
77,114,291.41,678.2337646484375,50.90290451049805,1243.67,ActiveLearning,Continuing
78,18,617.92,602.8652954101562,57.387535095214844,1243.67,ActiveLearning,Continuing
79,212,395.74,564.7719116210938,62.9293327331543,1243.67,ActiveLearning,Continuing
80,177,83.28491341,630.2042846679688,75.02375030517578,1243.67,ActiveLearning,Continuing
81,178,111.8949727,564.3091430664062,63.95497131347656,1243.67,ActiveLearning,Continuing
82,117,475.46,565.6660766601562,44.4901237487793,1243.67,ActiveLearning,Continuing
83,225,654.34,535.0070190429688,51.163368225097656,1243.67,ActiveLearning,Continuing
84,116,452.8,558.6066284179688,38.7703857421875,1243.67,ActiveLearning,Continuing
85,119,535.99,517.9707641601562,43.964637756347656,1243.67,ActiveLearning,Continuing
86,128,1243.67,556.0021362304688,38.37002944946289,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
