Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,16,490.06,,,1243.67,WarmStart,WarmStart
1,17,559.01,,,1243.67,WarmStart,WarmStart
2,19,634.35,,,1243.67,WarmStart,WarmStart
3,20,688.74,,,1243.67,WarmStart,WarmStart
4,21,725.7933279,,,1243.67,WarmStart,WarmStart
5,22,766.85,,,1243.67,WarmStart,WarmStart
6,23,788.8326479,,,1243.67,WarmStart,WarmStart
7,24,800.58,,,1243.67,WarmStart,WarmStart
8,25,804.11,,,1243.67,WarmStart,WarmStart
9,26,839.28,,,1243.67,WarmStart,WarmStart
10,27,852.33,,,1243.67,WarmStart,WarmStart
11,99,374.29,,,1243.67,WarmStart,WarmStart
12,100,433.78,,,1243.67,WarmStart,WarmStart
13,101,484.36,,,1243.67,WarmStart,WarmStart
14,102,545.78,,,1243.67,WarmStart,WarmStart
15,103,562.06,,,1243.67,WarmStart,WarmStart
16,104,580.44,,,1243.67,WarmStart,WarmStart
17,105,607.72,,,1243.67,WarmStart,WarmStart
18,106,618.72,,,1243.67,WarmStart,WarmStart
19,107,625.33,,,1243.67,WarmStart,WarmStart
20,108,659.36,,,1243.67,WarmStart,WarmStart
21,110,770.35,,,1243.67,WarmStart,WarmStart
22,111,838.31,,,1243.67,WarmStart,WarmStart
23,112,904.29,,,1243.67,WarmStart,WarmStart
24,113,226.22,,,1243.67,WarmStart,WarmStart
25,114,291.41,,,1243.67,WarmStart,WarmStart
26,115,325.56,,,1243.67,WarmStart,WarmStart
27,118,529.11,,,1243.67,WarmStart,WarmStart
28,120,540.19,,,1243.67,WarmStart,WarmStart
29,121,540.19,,,1243.67,WarmStart,WarmStart
30,122,543.75,,,1243.67,WarmStart,WarmStart
31,125,608.87,,,1243.67,WarmStart,WarmStart
32,127,1089.12,,,1243.67,WarmStart,WarmStart
33,131,207.38,,,1243.67,WarmStart,WarmStart
34,140,259.11,,,1243.67,WarmStart,WarmStart
35,141,279.69,,,1243.67,WarmStart,WarmStart
36,146,312.65,,,1243.67,WarmStart,WarmStart
37,147,326.54,,,1243.67,WarmStart,WarmStart
38,148,328.21,,,1243.67,WarmStart,WarmStart
39,163,220.57,,,1243.67,WarmStart,WarmStart
40,164,220.66,,,1243.67,WarmStart,WarmStart
41,172,542.3,,,1243.67,WarmStart,WarmStart
42,182,160.6199195,,,1243.67,WarmStart,WarmStart
43,188,339.0080085,,,1243.67,WarmStart,WarmStart
44,190,390.2707837,,,1243.67,WarmStart,WarmStart
45,197,192.98,,,1243.67,WarmStart,WarmStart
46,199,201.63,,,1243.67,WarmStart,WarmStart
47,201,213.5,,,1243.67,WarmStart,WarmStart
48,202,214.93,,,1243.67,WarmStart,WarmStart
49,204,240.44,,,1243.67,WarmStart,WarmStart
50,207,289.72,,,1243.67,WarmStart,WarmStart
51,210,356.76,,,1243.67,WarmStart,WarmStart
52,215,457.13,,,1243.67,WarmStart,WarmStart
53,218,537.77,,,1243.67,WarmStart,WarmStart
54,219,545.18,,,1243.67,WarmStart,WarmStart
55,220,546.79,,,1243.67,WarmStart,WarmStart
56,222,602.48,,,1243.67,WarmStart,WarmStart
57,227,695.67,,,1243.67,WarmStart,WarmStart
58,231,772.94,,,1243.67,WarmStart,WarmStart
59,232,824.47,,,1243.67,WarmStart,WarmStart
60,56,18.43,1202.85791015625,165.35206604003906,1243.67,ActiveLearning,Continuing
61,36,11.15,794.8019409179688,82.86671447753906,1243.67,ActiveLearning,Continuing
62,223,636.48,871.8251342773438,43.104156494140625,1243.67,ActiveLearning,Continuing
63,226,658.86,733.1048583984375,25.351551055908203,1243.67,ActiveLearning,Continuing
64,193,733.7295218,713.2249755859375,25.433061599731445,1243.67,ActiveLearning,Continuing
65,116,452.8,757.1065063476562,20.978858947753906,1243.67,ActiveLearning,Continuing
66,194,745.278685,687.1060180664062,23.424501419067383,1243.67,ActiveLearning,Continuing
67,13,215.37,550.8991088867188,206.64324951171875,1243.67,ActiveLearning,Continuing
68,183,162.7067112,655.7014770507812,28.3107852935791,1243.67,ActiveLearning,Continuing
69,176,76.51244504,756.0008544921875,72.19603729248047,1243.67,ActiveLearning,Continuing
70,178,111.8949727,765.7112426757812,61.324012756347656,1243.67,ActiveLearning,Continuing
71,150,348.88,628.7107543945312,33.649932861328125,1243.67,ActiveLearning,Continuing
72,229,731.11,643.2802124023438,29.877723693847656,1243.67,ActiveLearning,Continuing
73,123,552.26,679.18505859375,27.32610511779785,1243.67,ActiveLearning,Continuing
74,126,660.0,667.3590087890625,32.071659088134766,1243.67,ActiveLearning,Continuing
75,177,83.28491341,554.8279418945312,74.7356185913086,1243.67,ActiveLearning,Continuing
76,124,554.41,660.083251953125,49.38322448730469,1243.67,ActiveLearning,Continuing
77,132,212.66,663.765869140625,95.72868347167969,1243.67,ActiveLearning,Continuing
78,18,617.92,559.0462036132812,65.30020904541016,1243.67,ActiveLearning,Continuing
79,109,750.9,582.7371215820312,29.759193420410156,1243.67,ActiveLearning,Continuing
80,224,637.46,552.3665771484375,38.99802017211914,1243.67,ActiveLearning,Continuing
81,10,45.97,244.4102020263672,422.5366516113281,1243.67,ActiveLearning,Continuing
82,230,738.1,636.7319946289062,43.60456085205078,1243.67,ActiveLearning,Continuing
83,187,322.6997586,558.3778686523438,80.36529541015625,1243.67,ActiveLearning,Continuing
84,228,697.4,608.256103515625,69.17979431152344,1243.67,ActiveLearning,Continuing
85,138,302.25,536.5455322265625,45.90789794921875,1243.67,ActiveLearning,Continuing
86,117,475.46,533.80126953125,44.26802062988281,1243.67,ActiveLearning,Continuing
87,169,385.2,501.0065612792969,33.69339370727539,1243.67,ActiveLearning,Continuing
88,208,297.95,498.65899658203125,45.31706237792969,1243.67,ActiveLearning,Continuing
89,119,535.99,503.66815185546875,35.0170783996582,1243.67,ActiveLearning,Continuing
90,128,1243.67,504.544921875,36.676429748535156,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
