Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,7,33.44,,,1243.67,WarmStart,WarmStart
1,9,45.53,,,1243.67,WarmStart,WarmStart
2,16,490.06,,,1243.67,WarmStart,WarmStart
3,17,559.01,,,1243.67,WarmStart,WarmStart
4,18,617.92,,,1243.67,WarmStart,WarmStart
5,19,634.35,,,1243.67,WarmStart,WarmStart
6,20,688.74,,,1243.67,WarmStart,WarmStart
7,21,725.7933279,,,1243.67,WarmStart,WarmStart
8,23,788.8326479,,,1243.67,WarmStart,WarmStart
9,25,804.11,,,1243.67,WarmStart,WarmStart
10,26,839.28,,,1243.67,WarmStart,WarmStart
11,27,852.33,,,1243.67,WarmStart,WarmStart
12,34,8.39,,,1243.67,WarmStart,WarmStart
13,38,12.19,,,1243.67,WarmStart,WarmStart
14,100,433.78,,,1243.67,WarmStart,WarmStart
15,108,659.36,,,1243.67,WarmStart,WarmStart
16,109,750.9,,,1243.67,WarmStart,WarmStart
17,110,770.35,,,1243.67,WarmStart,WarmStart
18,111,838.31,,,1243.67,WarmStart,WarmStart
19,112,904.29,,,1243.67,WarmStart,WarmStart
20,114,291.41,,,1243.67,WarmStart,WarmStart
21,116,452.8,,,1243.67,WarmStart,WarmStart
22,117,475.46,,,1243.67,WarmStart,WarmStart
23,118,529.11,,,1243.67,WarmStart,WarmStart
24,120,540.19,,,1243.67,WarmStart,WarmStart
25,122,543.75,,,1243.67,WarmStart,WarmStart
26,123,552.26,,,1243.67,WarmStart,WarmStart
27,124,554.41,,,1243.67,WarmStart,WarmStart
28,126,660.0,,,1243.67,WarmStart,WarmStart
29,127,1089.12,,,1243.67,WarmStart,WarmStart
30,134,278.51,,,1243.67,WarmStart,WarmStart
31,136,293.6,,,1243.67,WarmStart,WarmStart
32,145,291.83,,,1243.67,WarmStart,WarmStart
33,150,348.88,,,1243.67,WarmStart,WarmStart
34,152,44.1,,,1243.67,WarmStart,WarmStart
35,153,47.22,,,1243.67,WarmStart,WarmStart
36,172,542.3,,,1243.67,WarmStart,WarmStart
37,178,111.8949727,,,1243.67,WarmStart,WarmStart
38,218,537.77,,,1243.67,WarmStart,WarmStart
39,219,545.18,,,1243.67,WarmStart,WarmStart
40,220,546.79,,,1243.67,WarmStart,WarmStart
41,226,658.86,,,1243.67,WarmStart,WarmStart
42,229,731.11,,,1243.67,WarmStart,WarmStart
43,231,772.94,,,1243.67,WarmStart,WarmStart
44,232,824.47,,,1243.67,WarmStart,WarmStart
45,104,580.44,615.4098744381033,317.12,1243.67,ActiveLearning,Continuing
46,22,766.85,596.0355663267602,404.53,1243.67,ActiveLearning,Continuing
47,24,800.58,703.2952750545151,333.07000000000005,1243.67,ActiveLearning,Continuing
48,222,602.48,758.732720506835,241.57000000000005,1243.67,ActiveLearning,Continuing
49,227,695.67,719.6289973373895,198.10000000000002,1243.67,ActiveLearning,Continuing
50,101,484.36,626.3716031186864,336.57000000000005,1243.67,ActiveLearning,Continuing
51,139,336.24,590.8492206015503,489.42999999999995,1243.67,ActiveLearning,Continuing
52,103,562.06,562.4100678601392,502.06999999999994,1243.67,ActiveLearning,Continuing
53,105,607.72,571.1927002976173,317.12,1243.67,ActiveLearning,Continuing
54,164,220.66,517.6543191732026,791.0899999999999,1243.67,ActiveLearning,Continuing
55,223,636.48,563.7294434798608,499.11891666666645,1243.67,ActiveLearning,Continuing
56,224,637.46,602.9781263945852,469.83963588122225,1243.67,ActiveLearning,Continuing
57,230,738.1,626.9777408889754,208.60000000000002,1243.67,ActiveLearning,Continuing
58,169,385.2,528.872042499998,546.48,1243.67,ActiveLearning,Continuing
59,106,618.72,539.1226508387421,434.11,1243.67,ActiveLearning,Continuing
60,113,226.22,569.5852777949127,434.11,1243.67,ActiveLearning,Continuing
61,228,697.4,514.3219889952627,549.69,1243.67,ActiveLearning,Continuing
62,107,625.33,545.6971032650828,405.57,1243.67,ActiveLearning,Continuing
63,138,302.25,502.57295188933386,626.2050273,1243.67,ActiveLearning,Continuing
64,137,293.93,467.30424517984045,658.4550273,1243.67,ActiveLearning,Continuing
65,182,160.6199195,486.39740288268746,546.48,1243.67,ActiveLearning,Continuing
66,115,325.56,456.5128038803768,612.0899999999999,1243.67,ActiveLearning,Continuing
67,186,318.1919743,474.56596306383153,333.50000000000006,1243.67,ActiveLearning,Continuing
68,119,535.99,480.4477117623324,237.28000000000003,1243.67,ActiveLearning,Continuing
69,128,1243.67,506.32258993904674,60.53000000000003,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
