Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,16,490.06,,,1243.67,WarmStart,WarmStart
1,17,559.01,,,1243.67,WarmStart,WarmStart
2,18,617.92,,,1243.67,WarmStart,WarmStart
3,19,634.35,,,1243.67,WarmStart,WarmStart
4,21,725.7933279,,,1243.67,WarmStart,WarmStart
5,22,766.85,,,1243.67,WarmStart,WarmStart
6,23,788.8326479,,,1243.67,WarmStart,WarmStart
7,24,800.58,,,1243.67,WarmStart,WarmStart
8,25,804.11,,,1243.67,WarmStart,WarmStart
9,26,839.28,,,1243.67,WarmStart,WarmStart
10,27,852.33,,,1243.67,WarmStart,WarmStart
11,98,233.89,,,1243.67,WarmStart,WarmStart
12,100,433.78,,,1243.67,WarmStart,WarmStart
13,101,484.36,,,1243.67,WarmStart,WarmStart
14,102,545.78,,,1243.67,WarmStart,WarmStart
15,103,562.06,,,1243.67,WarmStart,WarmStart
16,104,580.44,,,1243.67,WarmStart,WarmStart
17,105,607.72,,,1243.67,WarmStart,WarmStart
18,106,618.72,,,1243.67,WarmStart,WarmStart
19,107,625.33,,,1243.67,WarmStart,WarmStart
20,108,659.36,,,1243.67,WarmStart,WarmStart
21,110,770.35,,,1243.67,WarmStart,WarmStart
22,111,838.31,,,1243.67,WarmStart,WarmStart
23,112,904.29,,,1243.67,WarmStart,WarmStart
24,113,226.22,,,1243.67,WarmStart,WarmStart
25,114,291.41,,,1243.67,WarmStart,WarmStart
26,115,325.56,,,1243.67,WarmStart,WarmStart
27,118,529.11,,,1243.67,WarmStart,WarmStart
28,119,535.99,,,1243.67,WarmStart,WarmStart
29,120,540.19,,,1243.67,WarmStart,WarmStart
30,122,543.75,,,1243.67,WarmStart,WarmStart
31,123,552.26,,,1243.67,WarmStart,WarmStart
32,124,554.41,,,1243.67,WarmStart,WarmStart
33,125,608.87,,,1243.67,WarmStart,WarmStart
34,127,1089.12,,,1243.67,WarmStart,WarmStart
35,140,259.11,,,1243.67,WarmStart,WarmStart
36,141,279.69,,,1243.67,WarmStart,WarmStart
37,143,283.86,,,1243.67,WarmStart,WarmStart
38,144,286.73,,,1243.67,WarmStart,WarmStart
39,146,312.65,,,1243.67,WarmStart,WarmStart
40,150,348.88,,,1243.67,WarmStart,WarmStart
41,158,142.23,,,1243.67,WarmStart,WarmStart
42,162,217.94,,,1243.67,WarmStart,WarmStart
43,163,220.57,,,1243.67,WarmStart,WarmStart
44,164,220.66,,,1243.67,WarmStart,WarmStart
45,169,385.2,,,1243.67,WarmStart,WarmStart
46,178,111.8949727,,,1243.67,WarmStart,WarmStart
47,180,151.3841761,,,1243.67,WarmStart,WarmStart
48,182,160.6199195,,,1243.67,WarmStart,WarmStart
49,188,339.0080085,,,1243.67,WarmStart,WarmStart
50,190,390.2707837,,,1243.67,WarmStart,WarmStart
51,194,745.278685,,,1243.67,WarmStart,WarmStart
52,197,192.98,,,1243.67,WarmStart,WarmStart
53,199,201.63,,,1243.67,WarmStart,WarmStart
54,201,213.5,,,1243.67,WarmStart,WarmStart
55,202,214.93,,,1243.67,WarmStart,WarmStart
56,204,240.44,,,1243.67,WarmStart,WarmStart
57,207,289.72,,,1243.67,WarmStart,WarmStart
58,212,395.74,,,1243.67,WarmStart,WarmStart
59,215,457.13,,,1243.67,WarmStart,WarmStart
60,216,696.39,,,1243.67,WarmStart,WarmStart
61,218,537.77,,,1243.67,WarmStart,WarmStart
62,219,545.18,,,1243.67,WarmStart,WarmStart
63,220,546.79,,,1243.67,WarmStart,WarmStart
64,222,602.48,,,1243.67,WarmStart,WarmStart
65,227,695.67,,,1243.67,WarmStart,WarmStart
66,231,772.94,,,1243.67,WarmStart,WarmStart
67,232,824.47,,,1243.67,WarmStart,WarmStart
68,116,452.8,677.6934624206348,588.3783666666666,1243.67,ActiveLearning,Continuing
69,193,733.7295218,594.747535271915,633.3837123,1243.67,ActiveLearning,Continuing
70,226,658.86,713.1012747179262,357.5,1243.67,ActiveLearning,Continuing
71,126,660.0,637.6875040494225,487.8349416666663,1243.67,ActiveLearning,Continuing
72,183,162.7067112,555.1944115311767,633.3837123,1243.67,ActiveLearning,Continuing
73,0,12.77,552.5541541641159,585.8961890014267,1243.67,ActiveLearning,Continuing
74,228,697.4,555.4120499007482,645.3299999999999,1243.67,ActiveLearning,Continuing
75,223,636.48,626.6759362066865,549.84575,1243.67,ActiveLearning,Continuing
76,213,406.47,587.7835445741725,628.12,1243.67,ActiveLearning,Continuing
77,229,731.11,644.0759193157537,369.49183571428557,1243.67,ActiveLearning,Continuing
78,147,326.54,464.5440527047669,728.6589639333333,1243.67,ActiveLearning,Continuing
79,20,688.74,746.3045540281273,145.09838426603494,1243.67,ActiveLearning,Continuing
80,13,215.37,489.7078098699417,624.81,1243.67,ActiveLearning,Continuing
81,224,637.46,572.4732962816458,482.03,1243.67,ActiveLearning,Continuing
82,192,424.1973941,576.1808266532494,478.145,1243.67,ActiveLearning,Continuing
83,230,738.1,604.0889407391583,384.75,1243.67,ActiveLearning,Continuing
84,139,336.24,469.06809188568565,612.0899999999999,1243.67,ActiveLearning,Continuing
85,208,297.95,510.5588997644499,489.2053333333333,1243.67,ActiveLearning,Continuing
86,130,203.82,443.10475596350045,591.6920078533332,1243.67,ActiveLearning,Continuing
87,28,5.09,395.78858745691673,683.62,1243.67,ActiveLearning,Continuing
88,221,561.86,391.0475784278338,683.62,1243.67,ActiveLearning,Continuing
89,138,302.25,520.1056441219763,412.21616666666637,1243.67,ActiveLearning,Continuing
90,148,328.21,433.38208277431585,546.581849216,1243.67,ActiveLearning,Continuing
91,109,750.9,543.1603286875,363.3464999999995,1243.67,ActiveLearning,Continuing
92,137,293.93,393.81025283395024,633.3837123,1243.67,ActiveLearning,Continuing
93,225,654.34,506.73688118174704,404.41999999999996,1243.67,ActiveLearning,Continuing
94,177,83.28491341,395.8526660920121,641.57,1243.67,ActiveLearning,Continuing
95,117,475.46,510.2622715366404,373.28328880000004,1243.67,ActiveLearning,Continuing
96,187,322.6997586,465.1166751743143,437.28,1243.67,ActiveLearning,Continuing
97,153,47.22,477.6584459052855,404.5189999999999,1243.67,ActiveLearning,Continuing
98,186,318.1919743,392.9852309002914,540.7495218,1243.67,ActiveLearning,Continuing
99,205,248.62,327.4555648110837,650.18,1243.67,ActiveLearning,Continuing
100,136,293.6,445.6888674240002,405.5024999999995,1243.67,ActiveLearning,Continuing
101,203,226.25,283.4592049739665,683.62,1243.67,ActiveLearning,Continuing
102,9,45.53,300.082676345932,649.7164711538456,1243.67,ActiveLearning,Continuing
103,99,374.29,344.95641634537554,578.11,1243.67,ActiveLearning,Continuing
104,210,356.76,334.2498114490832,589.26,1243.67,ActiveLearning,Continuing
105,184,200.7545831,320.93460506340637,584.4950273,1243.67,ActiveLearning,Continuing
106,191,398.5758253,345.57640351450004,500.5771666666666,1243.67,ActiveLearning,Continuing
107,171,419.51,333.47780879133313,503.40999999999997,1243.67,ActiveLearning,Continuing
108,161,214.21,389.41804642935875,393.17,1243.67,ActiveLearning,Continuing
109,142,280.38,429.9611920288316,306.07000000000005,1243.67,ActiveLearning,Continuing
110,11,140.7,272.8055875379326,623.1058,1243.67,ActiveLearning,Continuing
111,217,271.56,259.631403205817,578.11,1243.67,ActiveLearning,Continuing
112,149,328.45,340.73562786541754,424.57541690000005,1243.67,ActiveLearning,Continuing
113,15,411.82,233.21047396059237,605.15,1243.67,ActiveLearning,Continuing
114,128,1243.67,503.12785809412264,60.53000000000003,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
