Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,16,490.06,,,1243.67,WarmStart,WarmStart
1,17,559.01,,,1243.67,WarmStart,WarmStart
2,18,617.92,,,1243.67,WarmStart,WarmStart
3,19,634.35,,,1243.67,WarmStart,WarmStart
4,20,688.74,,,1243.67,WarmStart,WarmStart
5,21,725.7933279,,,1243.67,WarmStart,WarmStart
6,22,766.85,,,1243.67,WarmStart,WarmStart
7,23,788.8326479,,,1243.67,WarmStart,WarmStart
8,24,800.58,,,1243.67,WarmStart,WarmStart
9,25,804.11,,,1243.67,WarmStart,WarmStart
10,26,839.28,,,1243.67,WarmStart,WarmStart
11,27,852.33,,,1243.67,WarmStart,WarmStart
12,98,233.89,,,1243.67,WarmStart,WarmStart
13,99,374.29,,,1243.67,WarmStart,WarmStart
14,100,433.78,,,1243.67,WarmStart,WarmStart
15,101,484.36,,,1243.67,WarmStart,WarmStart
16,102,545.78,,,1243.67,WarmStart,WarmStart
17,103,562.06,,,1243.67,WarmStart,WarmStart
18,104,580.44,,,1243.67,WarmStart,WarmStart
19,105,607.72,,,1243.67,WarmStart,WarmStart
20,106,618.72,,,1243.67,WarmStart,WarmStart
21,107,625.33,,,1243.67,WarmStart,WarmStart
22,108,659.36,,,1243.67,WarmStart,WarmStart
23,109,750.9,,,1243.67,WarmStart,WarmStart
24,110,770.35,,,1243.67,WarmStart,WarmStart
25,111,838.31,,,1243.67,WarmStart,WarmStart
26,112,904.29,,,1243.67,WarmStart,WarmStart
27,113,226.22,,,1243.67,WarmStart,WarmStart
28,114,291.41,,,1243.67,WarmStart,WarmStart
29,116,452.8,,,1243.67,WarmStart,WarmStart
30,118,529.11,,,1243.67,WarmStart,WarmStart
31,119,535.99,,,1243.67,WarmStart,WarmStart
32,120,540.19,,,1243.67,WarmStart,WarmStart
33,121,540.19,,,1243.67,WarmStart,WarmStart
34,122,543.75,,,1243.67,WarmStart,WarmStart
35,123,552.26,,,1243.67,WarmStart,WarmStart
36,125,608.87,,,1243.67,WarmStart,WarmStart
37,127,1089.12,,,1243.67,WarmStart,WarmStart
38,129,192.74,,,1243.67,WarmStart,WarmStart
39,131,207.38,,,1243.67,WarmStart,WarmStart
40,135,281.68,,,1243.67,WarmStart,WarmStart
41,139,336.24,,,1243.67,WarmStart,WarmStart
42,140,259.11,,,1243.67,WarmStart,WarmStart
43,141,279.69,,,1243.67,WarmStart,WarmStart
44,143,283.86,,,1243.67,WarmStart,WarmStart
45,144,286.73,,,1243.67,WarmStart,WarmStart
46,145,291.83,,,1243.67,WarmStart,WarmStart
47,146,312.65,,,1243.67,WarmStart,WarmStart
48,147,326.54,,,1243.67,WarmStart,WarmStart
49,148,328.21,,,1243.67,WarmStart,WarmStart
50,150,348.88,,,1243.67,WarmStart,WarmStart
51,158,142.23,,,1243.67,WarmStart,WarmStart
52,163,220.57,,,1243.67,WarmStart,WarmStart
53,164,220.66,,,1243.67,WarmStart,WarmStart
54,166,249.23,,,1243.67,WarmStart,WarmStart
55,167,250.28,,,1243.67,WarmStart,WarmStart
56,169,385.2,,,1243.67,WarmStart,WarmStart
57,170,405.26,,,1243.67,WarmStart,WarmStart
58,177,83.28491341,,,1243.67,WarmStart,WarmStart
59,182,160.6199195,,,1243.67,WarmStart,WarmStart
60,188,339.0080085,,,1243.67,WarmStart,WarmStart
61,190,390.2707837,,,1243.67,WarmStart,WarmStart
62,194,745.278685,,,1243.67,WarmStart,WarmStart
63,197,192.98,,,1243.67,WarmStart,WarmStart
64,199,201.63,,,1243.67,WarmStart,WarmStart
65,201,213.5,,,1243.67,WarmStart,WarmStart
66,202,214.93,,,1243.67,WarmStart,WarmStart
67,204,240.44,,,1243.67,WarmStart,WarmStart
68,207,289.72,,,1243.67,WarmStart,WarmStart
69,210,356.76,,,1243.67,WarmStart,WarmStart
70,212,395.74,,,1243.67,WarmStart,WarmStart
71,215,457.13,,,1243.67,WarmStart,WarmStart
72,218,537.77,,,1243.67,WarmStart,WarmStart
73,219,545.18,,,1243.67,WarmStart,WarmStart
74,220,546.79,,,1243.67,WarmStart,WarmStart
75,222,602.48,,,1243.67,WarmStart,WarmStart
76,226,658.86,,,1243.67,WarmStart,WarmStart
77,227,695.67,,,1243.67,WarmStart,WarmStart
78,229,731.11,,,1243.67,WarmStart,WarmStart
79,231,772.94,,,1243.67,WarmStart,WarmStart
80,232,824.47,,,1243.67,WarmStart,WarmStart
81,228,697.4,578.3259144082062,636.7665,1243.67,ActiveLearning,Continuing
82,213,406.47,606.223815135399,549.78,1243.67,ActiveLearning,Continuing
83,193,733.7295218,633.5304966816312,418.738685,1243.67,ActiveLearning,Continuing
84,183,162.7067112,644.2646951195148,420.47418499999986,1243.67,ActiveLearning,Continuing
85,224,637.46,576.0767020645335,510.4614073772222,1243.67,ActiveLearning,Continuing
86,126,660.0,647.9890550109617,357.88317857142835,1243.67,ActiveLearning,Continuing
87,230,738.1,617.0879632476167,394.14,1243.67,ActiveLearning,Continuing
88,223,636.48,649.5938849763785,394.14,1243.67,ActiveLearning,Continuing
89,97,86.01,512.7672116669582,661.99377159,1243.67,ActiveLearning,Continuing
90,115,325.56,501.21900758042744,612.0899999999999,1243.67,ActiveLearning,Continuing
91,192,424.1973941,596.5370253768332,381.34000000000003,1243.67,ActiveLearning,Continuing
92,124,554.41,606.1330662894841,326.7026059,1243.67,ActiveLearning,Continuing
93,137,293.93,454.23608481114127,582.5719738,1243.67,ActiveLearning,Continuing
94,138,302.25,520.196989238619,425.47,1243.67,ActiveLearning,Continuing
95,13,215.37,427.9605015257421,570.242383279,1243.67,ActiveLearning,Continuing
96,0,12.77,343.16318846691365,661.99377159,1243.67,ActiveLearning,Continuing
97,178,111.8949727,367.56515458598585,578.7222527333333,1243.67,ActiveLearning,Continuing
98,117,475.46,495.6510971939261,373.28328880000004,1243.67,ActiveLearning,Continuing
99,136,293.6,477.7810395748336,335.21000000000004,1243.67,ActiveLearning,Continuing
100,153,47.22,456.90380920575024,394.22,1243.67,ActiveLearning,Continuing
101,186,318.1919743,393.5554489932747,513.4350273,1243.67,ActiveLearning,Continuing
102,205,248.62,327.84923073675037,650.18,1243.67,ActiveLearning,Continuing
103,216,696.39,341.0031988861507,553.1950865900001,1243.67,ActiveLearning,Continuing
104,221,561.86,381.90569378380064,683.62,1243.67,ActiveLearning,Continuing
105,225,654.34,496.7921277995639,478.57508659,1243.67,ActiveLearning,Continuing
106,187,322.6997586,441.5450994313828,475.73,1243.67,ActiveLearning,Continuing
107,203,226.25,383.3093136005835,584.4950273,1243.67,ActiveLearning,Continuing
108,130,203.82,327.35289749323346,607.12,1243.67,ActiveLearning,Continuing
109,176,76.51244504,362.24707496729184,525.5857532566661,1243.67,ActiveLearning,Continuing
110,184,200.7545831,316.08523828544236,584.4950273,1243.67,ActiveLearning,Continuing
111,208,297.95,315.7669030719995,561.65,1243.67,ActiveLearning,Continuing
112,15,411.82,300.16669467515055,570.6999999999999,1243.67,ActiveLearning,Continuing
113,161,214.21,368.715207645276,463.67755496000007,1243.67,ActiveLearning,Continuing
114,7,33.44,337.78702500232583,534.6350865899999,1243.67,ActiveLearning,Continuing
115,191,398.5758253,339.280338362833,499.085,1243.67,ActiveLearning,Continuing
116,171,419.51,331.78067960618273,500.52666666666664,1243.67,ActiveLearning,Continuing
117,217,271.56,272.5449015967252,539.32,1243.67,ActiveLearning,Continuing
118,11,140.7,252.86266060327486,580.6873333333326,1243.67,ActiveLearning,Continuing
119,128,1243.67,500.1312584199914,60.53000000000003,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
