Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,9,45.53,,,1243.67,WarmStart,WarmStart
1,16,490.06,,,1243.67,WarmStart,WarmStart
2,17,559.01,,,1243.67,WarmStart,WarmStart
3,18,617.92,,,1243.67,WarmStart,WarmStart
4,19,634.35,,,1243.67,WarmStart,WarmStart
5,20,688.74,,,1243.67,WarmStart,WarmStart
6,21,725.7933279,,,1243.67,WarmStart,WarmStart
7,23,788.8326479,,,1243.67,WarmStart,WarmStart
8,25,804.11,,,1243.67,WarmStart,WarmStart
9,26,839.28,,,1243.67,WarmStart,WarmStart
10,27,852.33,,,1243.67,WarmStart,WarmStart
11,34,8.39,,,1243.67,WarmStart,WarmStart
12,41,19.3,,,1243.67,WarmStart,WarmStart
13,100,433.78,,,1243.67,WarmStart,WarmStart
14,110,770.35,,,1243.67,WarmStart,WarmStart
15,112,904.29,,,1243.67,WarmStart,WarmStart
16,114,291.41,,,1243.67,WarmStart,WarmStart
17,116,452.8,,,1243.67,WarmStart,WarmStart
18,117,475.46,,,1243.67,WarmStart,WarmStart
19,118,529.11,,,1243.67,WarmStart,WarmStart
20,122,543.75,,,1243.67,WarmStart,WarmStart
21,123,552.26,,,1243.67,WarmStart,WarmStart
22,124,554.41,,,1243.67,WarmStart,WarmStart
23,126,660.0,,,1243.67,WarmStart,WarmStart
24,127,1089.12,,,1243.67,WarmStart,WarmStart
25,134,278.51,,,1243.67,WarmStart,WarmStart
26,152,44.1,,,1243.67,WarmStart,WarmStart
27,162,217.94,,,1243.67,WarmStart,WarmStart
28,163,220.57,,,1243.67,WarmStart,WarmStart
29,170,405.26,,,1243.67,WarmStart,WarmStart
30,171,419.51,,,1243.67,WarmStart,WarmStart
31,191,398.5758253,,,1243.67,WarmStart,WarmStart
32,192,424.1973941,,,1243.67,WarmStart,WarmStart
33,193,733.7295218,,,1243.67,WarmStart,WarmStart
34,194,745.278685,,,1243.67,WarmStart,WarmStart
35,202,214.93,,,1243.67,WarmStart,WarmStart
36,208,297.95,,,1243.67,WarmStart,WarmStart
37,209,325.42,,,1243.67,WarmStart,WarmStart
38,211,382.45,,,1243.67,WarmStart,WarmStart
39,212,395.74,,,1243.67,WarmStart,WarmStart
40,213,406.47,,,1243.67,WarmStart,WarmStart
41,220,546.79,,,1243.67,WarmStart,WarmStart
42,223,636.48,,,1243.67,WarmStart,WarmStart
43,224,637.46,,,1243.67,WarmStart,WarmStart
44,226,658.86,,,1243.67,WarmStart,WarmStart
45,229,731.11,,,1243.67,WarmStart,WarmStart
46,230,738.1,,,1243.67,WarmStart,WarmStart
47,231,772.94,,,1243.67,WarmStart,WarmStart
48,232,824.47,,,1243.67,WarmStart,WarmStart
49,137,293.93,651.2163784559905,505.2649666666665,1243.67,ActiveLearning,Continuing
50,148,328.21,518.3780800712319,530.3486849999999,1243.67,ActiveLearning,Continuing
51,186,318.1919743,493.1948971347967,522.6752807233333,1243.67,ActiveLearning,Continuing
52,228,697.4,519.9902538971796,491.3006666666651,1243.67,ActiveLearning,Continuing
53,216,696.39,510.2121131434801,534.7969166666662,1243.67,ActiveLearning,Continuing
54,138,302.25,434.91638009308394,688.1995218000001,1243.67,ActiveLearning,Continuing
55,2,14.78,290.6287608852642,761.96,1243.67,ActiveLearning,Continuing
56,146,312.65,579.8927123770906,442.14000000000004,1243.67,ActiveLearning,Continuing
57,22,766.85,548.0982024579531,446.3096770535898,1243.67,ActiveLearning,Continuing
58,139,336.24,618.9768335098809,457.70000000000005,1243.67,ActiveLearning,Continuing
59,24,800.58,667.1650122737228,430.61,1243.67,ActiveLearning,Continuing
60,222,602.48,757.02707730778,366.80000000000007,1243.67,ActiveLearning,Continuing
61,183,162.7067112,617.3612392976815,409.038685,1243.67,ActiveLearning,Continuing
62,106,618.72,558.1928031921146,471.06500000000005,1243.67,ActiveLearning,Continuing
63,101,484.36,577.7333522508573,457.70000000000005,1243.67,ActiveLearning,Continuing
64,13,215.37,278.5438192829352,729.71,1243.67,ActiveLearning,Continuing
65,133,215.93,449.18385416608294,677.09,1243.67,ActiveLearning,Continuing
66,113,226.22,574.321180721133,445.33500000000004,1243.67,ActiveLearning,Continuing
67,103,562.06,498.97659016750083,515.2089639333333,1243.67,ActiveLearning,Continuing
68,164,220.66,497.5815467776432,497.08333333333326,1243.67,ActiveLearning,Continuing
69,104,580.44,543.439996246345,471.3864999999997,1243.67,ActiveLearning,Continuing
70,105,607.72,525.7829180443313,470.2204999999999,1243.67,ActiveLearning,Continuing
71,109,750.9,484.6181614259829,507.5095218,1243.67,ActiveLearning,Continuing
72,120,540.19,554.2346220127774,524.68,1243.67,ActiveLearning,Continuing
73,125,608.87,473.5745057981998,524.68,1243.67,ActiveLearning,Continuing
74,107,625.33,503.6720329767661,513.0695218000001,1243.67,ActiveLearning,Continuing
75,179,135.2652427,493.44448811941004,524.618685,1243.67,ActiveLearning,Continuing
76,169,385.2,463.415696513915,615.6347573,1243.67,ActiveLearning,Continuing
77,180,151.3841761,364.64266664810634,602.3140001666668,1243.67,ActiveLearning,Continuing
78,204,240.44,458.13961460940146,599.5158239,1243.67,ActiveLearning,Continuing
79,196,191.45,376.5473246087542,610.0134423,1243.67,ActiveLearning,Continuing
80,147,326.54,434.1035969051341,517.7995218000001,1243.67,ActiveLearning,Continuing
81,200,207.58,335.83466439424905,616.94,1243.67,ActiveLearning,Continuing
82,219,545.18,394.4987927267098,559.45,1243.67,ActiveLearning,Continuing
83,111,838.31,447.36547468022064,524.68,1243.67,ActiveLearning,Continuing
84,115,325.56,474.1675936563323,612.0899999999999,1243.67,ActiveLearning,Continuing
85,182,160.6199195,460.3735311818559,589.1657887999992,1243.67,ActiveLearning,Continuing
86,142,280.38,449.38652807350945,612.0899999999999,1243.67,ActiveLearning,Continuing
87,150,348.88,441.89758692301075,557.93,1243.67,ActiveLearning,Continuing
88,217,271.56,349.722313939726,653.6864760899983,1243.67,ActiveLearning,Continuing
89,184,200.7545831,383.7882950298331,542.2795218000001,1243.67,ActiveLearning,Continuing
90,15,411.82,362.23759458333257,572.39,1243.67,ActiveLearning,Continuing
91,203,226.25,373.1872979937259,545.0058239,1243.67,ActiveLearning,Continuing
92,227,695.67,717.055218611112,198.10000000000002,1243.67,ActiveLearning,Continuing
93,178,111.8949727,308.2058285280154,604.3351037266666,1243.67,ActiveLearning,Continuing
94,221,561.86,337.1310276303211,584.4950273,1243.67,ActiveLearning,Continuing
95,218,537.77,356.0014076099331,538.7495203000001,1243.67,ActiveLearning,Continuing
96,187,322.6997586,384.2129877127505,495.6354169,1243.67,ActiveLearning,Continuing
97,136,293.6,448.4729853523334,417.75,1243.67,ActiveLearning,Continuing
98,153,47.22,465.7682533551551,401.98999999999995,1243.67,ActiveLearning,Continuing
99,98,233.89,363.31675708333483,570.6999999999999,1243.67,ActiveLearning,Continuing
100,102,545.78,356.8161190680837,570.6999999999999,1243.67,ActiveLearning,Continuing
101,210,356.76,320.6813330288561,572.3879999999992,1243.67,ActiveLearning,Continuing
102,176,76.51244504,363.08917678075034,514.64,1243.67,ActiveLearning,Continuing
103,214,451.64,345.0814600885844,552.9452572999996,1243.67,ActiveLearning,Continuing
104,99,374.29,367.70139275725,542.265249999999,1243.67,ActiveLearning,Continuing
105,130,203.82,298.85742208354986,561.65,1243.67,ActiveLearning,Continuing
106,161,214.21,362.22865112741687,485.34755496,1243.67,ActiveLearning,Continuing
107,225,654.34,490.6701051062477,358.9689999999992,1243.67,ActiveLearning,Continuing
108,205,248.62,342.96694424499975,498.55999999999995,1243.67,ActiveLearning,Continuing
109,119,535.99,467.4891539744036,366.40328880000004,1243.67,ActiveLearning,Continuing
110,12,179.53,249.9558145833338,544.3725,1243.67,ActiveLearning,Continuing
111,108,659.36,565.0196097355015,287.6,1243.67,ActiveLearning,Continuing
112,149,328.45,327.83841849610064,513.4350273,1243.67,ActiveLearning,Continuing
113,143,283.86,280.77737393738346,532.35755496,1243.67,ActiveLearning,Continuing
114,177,83.28491341,217.802026521634,584.6049333333331,1243.67,ActiveLearning,Continuing
115,140,259.11,345.2429434814161,433.88000000000005,1243.67,ActiveLearning,Continuing
116,207,289.72,234.0579762196468,474.4277572999993,1243.67,ActiveLearning,Continuing
117,190,390.2707837,280.84976788976536,473.94582390000005,1243.67,ActiveLearning,Continuing
118,0,12.77,103.69814896117478,570.573333333333,1243.67,ActiveLearning,Continuing
119,141,279.69,273.07067882849975,409.91475729999996,1243.67,ActiveLearning,Continuing
120,129,192.74,303.65757531509985,364.5015040249999,1243.67,ActiveLearning,Continuing
121,168,331.17,258.5020430112433,454.48508659,1243.67,ActiveLearning,Continuing
