Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,16,490.06,,,1243.67,WarmStart,WarmStart
1,17,559.01,,,1243.67,WarmStart,WarmStart
2,19,634.35,,,1243.67,WarmStart,WarmStart
3,20,688.74,,,1243.67,WarmStart,WarmStart
4,21,725.7933279,,,1243.67,WarmStart,WarmStart
5,22,766.85,,,1243.67,WarmStart,WarmStart
6,23,788.8326479,,,1243.67,WarmStart,WarmStart
7,24,800.58,,,1243.67,WarmStart,WarmStart
8,25,804.11,,,1243.67,WarmStart,WarmStart
9,26,839.28,,,1243.67,WarmStart,WarmStart
10,27,852.33,,,1243.67,WarmStart,WarmStart
11,98,233.89,,,1243.67,WarmStart,WarmStart
12,99,374.29,,,1243.67,WarmStart,WarmStart
13,100,433.78,,,1243.67,WarmStart,WarmStart
14,105,607.72,,,1243.67,WarmStart,WarmStart
15,106,618.72,,,1243.67,WarmStart,WarmStart
16,110,770.35,,,1243.67,WarmStart,WarmStart
17,111,838.31,,,1243.67,WarmStart,WarmStart
18,112,904.29,,,1243.67,WarmStart,WarmStart
19,114,291.41,,,1243.67,WarmStart,WarmStart
20,118,529.11,,,1243.67,WarmStart,WarmStart
21,119,535.99,,,1243.67,WarmStart,WarmStart
22,122,543.75,,,1243.67,WarmStart,WarmStart
23,123,552.26,,,1243.67,WarmStart,WarmStart
24,127,1089.12,,,1243.67,WarmStart,WarmStart
25,162,217.94,,,1243.67,WarmStart,WarmStart
26,163,220.57,,,1243.67,WarmStart,WarmStart
27,164,220.66,,,1243.67,WarmStart,WarmStart
28,169,385.2,,,1243.67,WarmStart,WarmStart
29,170,405.26,,,1243.67,WarmStart,WarmStart
30,171,419.51,,,1243.67,WarmStart,WarmStart
31,181,155.3457121,,,1243.67,WarmStart,WarmStart
32,182,160.6199195,,,1243.67,WarmStart,WarmStart
33,188,339.0080085,,,1243.67,WarmStart,WarmStart
34,190,390.2707837,,,1243.67,WarmStart,WarmStart
35,197,192.98,,,1243.67,WarmStart,WarmStart
36,198,195.33,,,1243.67,WarmStart,WarmStart
37,199,201.63,,,1243.67,WarmStart,WarmStart
38,201,213.5,,,1243.67,WarmStart,WarmStart
39,204,240.44,,,1243.67,WarmStart,WarmStart
40,206,268.25,,,1243.67,WarmStart,WarmStart
41,210,356.76,,,1243.67,WarmStart,WarmStart
42,215,457.13,,,1243.67,WarmStart,WarmStart
43,218,537.77,,,1243.67,WarmStart,WarmStart
44,219,545.18,,,1243.67,WarmStart,WarmStart
45,220,546.79,,,1243.67,WarmStart,WarmStart
46,226,658.86,,,1243.67,WarmStart,WarmStart
47,227,695.67,,,1243.67,WarmStart,WarmStart
48,231,772.94,,,1243.67,WarmStart,WarmStart
49,232,824.47,,,1243.67,WarmStart,WarmStart
50,116,452.8,680.2320872023812,541.8669333333322,1243.67,ActiveLearning,Continuing
51,183,162.7067112,552.6914099278076,609.7300805,1243.67,ActiveLearning,Continuing
52,139,336.24,586.8381738349174,675.6032888,1243.67,ActiveLearning,Continuing
53,150,348.88,490.0475983274993,617.65,1243.67,ActiveLearning,Continuing
54,126,660.0,635.9827633730162,444.8566666666666,1243.67,ActiveLearning,Continuing
55,113,226.22,523.6790685835714,547.6850000000001,1243.67,ActiveLearning,Continuing
56,13,215.37,464.29864189106496,629.1449999999998,1243.67,ActiveLearning,Continuing
57,0,12.77,479.7861060851075,587.7066666666667,1243.67,ActiveLearning,Continuing
58,18,617.92,481.83700994047757,735.355,1243.67,ActiveLearning,Continuing
59,8,37.09,330.6404972854431,735.4764620718181,1243.67,ActiveLearning,Continuing
60,101,484.36,526.4534329166676,544.13,1243.67,ActiveLearning,Continuing
61,11,140.7,330.9539110119038,741.5966666666667,1243.67,ActiveLearning,Continuing
62,115,325.56,466.2667231295585,544.13,1243.67,ActiveLearning,Continuing
63,229,731.11,633.262693453359,364.48524999999995,1243.67,ActiveLearning,Continuing
64,103,562.06,519.4553613095245,387.06000000000006,1243.67,ActiveLearning,Continuing
65,120,540.19,486.6432488414711,392.5,1243.67,ActiveLearning,Continuing
66,224,637.46,353.9509596622569,529.9745804999997,1243.67,ActiveLearning,Continuing
67,230,738.1,548.0771548325843,438.0285416666667,1243.67,ActiveLearning,Continuing
68,223,636.48,409.60440704427026,545.12,1243.67,ActiveLearning,Continuing
69,216,696.39,380.62161780058415,677.6900804999999,1243.67,ActiveLearning,Continuing
70,184,200.7545831,441.0519394713218,541.0442879,1243.67,ActiveLearning,Continuing
71,228,697.4,472.5151725733343,508.68999999999994,1243.67,ActiveLearning,Continuing
72,104,580.44,525.0683096379884,475.04599999999994,1243.67,ActiveLearning,Continuing
73,146,312.65,408.17362651793997,578.0382499999994,1243.67,ActiveLearning,Continuing
74,138,302.25,503.50202673834525,451.76481666666666,1243.67,ActiveLearning,Continuing
75,221,561.86,394.82018844116726,555.69,1243.67,ActiveLearning,Continuing
76,187,322.6997586,436.2526324891665,495.6354169,1243.67,ActiveLearning,Continuing
77,192,424.1973941,402.4983605538928,534.7976283849999,1243.67,ActiveLearning,Continuing
78,147,326.54,408.2025215050005,495.6354169,1243.67,ActiveLearning,Continuing
79,70,14.99,210.92632015235688,683.62,1243.67,ActiveLearning,Continuing
80,213,406.47,379.3184021894169,543.9334138333332,1243.67,ActiveLearning,Continuing
81,124,554.41,472.7570756843106,415.82000000000005,1243.67,ActiveLearning,Continuing
82,191,398.5758253,369.75287906565484,499.1354999999999,1243.67,ActiveLearning,Continuing
83,107,625.33,499.0724756644171,385.9244999999996,1243.67,ActiveLearning,Continuing
84,125,608.87,420.72655417825024,464.7100805,1243.67,ActiveLearning,Continuing
85,117,475.46,490.9476058962355,373.28328880000004,1243.67,ActiveLearning,Continuing
86,143,283.86,337.48875251527403,571.78,1243.67,ActiveLearning,Continuing
87,203,226.25,317.26165244333345,541.0442879,1243.67,ActiveLearning,Continuing
88,222,602.48,741.6920719246028,108.42699999999991,1243.67,ActiveLearning,Continuing
89,102,545.78,449.95198335875,404.41999999999996,1243.67,ActiveLearning,Continuing
90,153,47.22,461.4961939231665,410.4766666666666,1243.67,ActiveLearning,Continuing
91,225,654.34,454.56550756999815,514.64,1243.67,ActiveLearning,Continuing
92,217,271.56,364.03138945374985,578.11,1243.67,ActiveLearning,Continuing
93,130,203.82,332.8532267694996,561.65,1243.67,ActiveLearning,Continuing
94,109,750.9,513.9915110194887,410.26,1243.67,ActiveLearning,Continuing
95,177,83.28491341,297.36651387159526,560.88,1243.67,ActiveLearning,Continuing
96,166,249.23,341.0928525253333,541.0442879,1243.67,ActiveLearning,Continuing
97,136,293.6,414.09469087525054,417.16541689999997,1243.67,ActiveLearning,Continuing
98,148,328.21,402.05465762809496,412.4066666666662,1243.67,ActiveLearning,Continuing
99,140,259.11,368.7424403610823,432.35,1243.67,ActiveLearning,Continuing
100,15,411.82,208.37992937753165,576.1859166666661,1243.67,ActiveLearning,Continuing
101,202,214.93,342.57606637757107,541.0442879,1243.67,ActiveLearning,Continuing
102,208,297.95,333.3712349998329,453.5242879,1243.67,ActiveLearning,Continuing
103,149,328.45,353.5778014701085,424.57541690000005,1243.67,ActiveLearning,Continuing
104,142,280.38,407.2655694289153,342.3047999999992,1243.67,ActiveLearning,Continuing
105,176,76.51244504,294.87802212759595,480.88708658999786,1243.67,ActiveLearning,Continuing
106,161,214.21,353.7274007530505,485.34755496,1243.67,ActiveLearning,Continuing
107,1,13.19,199.99996065948352,579.9166666666666,1243.67,ActiveLearning,Continuing
108,168,331.17,287.4594162300754,485.34755496,1243.67,ActiveLearning,Continuing
109,186,318.1919743,378.374110155333,405.62149999999997,1243.67,ActiveLearning,Continuing
110,108,659.36,569.9071738027114,191.55000000000007,1243.67,ActiveLearning,Continuing
111,128,1243.67,496.26417065166606,257.6069999999999,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
