Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,17,559.01,,,1243.67,WarmStart,WarmStart
1,22,766.85,,,1243.67,WarmStart,WarmStart
2,24,800.58,,,1243.67,WarmStart,WarmStart
3,99,374.29,,,1243.67,WarmStart,WarmStart
4,100,433.78,,,1243.67,WarmStart,WarmStart
5,101,484.36,,,1243.67,WarmStart,WarmStart
6,102,545.78,,,1243.67,WarmStart,WarmStart
7,103,562.06,,,1243.67,WarmStart,WarmStart
8,104,580.44,,,1243.67,WarmStart,WarmStart
9,105,607.72,,,1243.67,WarmStart,WarmStart
10,106,618.72,,,1243.67,WarmStart,WarmStart
11,107,625.33,,,1243.67,WarmStart,WarmStart
12,108,659.36,,,1243.67,WarmStart,WarmStart
13,110,770.35,,,1243.67,WarmStart,WarmStart
14,111,838.31,,,1243.67,WarmStart,WarmStart
15,113,226.22,,,1243.67,WarmStart,WarmStart
16,115,325.56,,,1243.67,WarmStart,WarmStart
17,118,529.11,,,1243.67,WarmStart,WarmStart
18,120,540.19,,,1243.67,WarmStart,WarmStart
19,122,543.75,,,1243.67,WarmStart,WarmStart
20,124,554.41,,,1243.67,WarmStart,WarmStart
21,125,608.87,,,1243.67,WarmStart,WarmStart
22,129,192.74,,,1243.67,WarmStart,WarmStart
23,140,259.11,,,1243.67,WarmStart,WarmStart
24,141,279.69,,,1243.67,WarmStart,WarmStart
25,143,283.86,,,1243.67,WarmStart,WarmStart
26,144,286.73,,,1243.67,WarmStart,WarmStart
27,146,312.65,,,1243.67,WarmStart,WarmStart
28,147,326.54,,,1243.67,WarmStart,WarmStart
29,148,328.21,,,1243.67,WarmStart,WarmStart
30,158,142.23,,,1243.67,WarmStart,WarmStart
31,163,220.57,,,1243.67,WarmStart,WarmStart
32,164,220.66,,,1243.67,WarmStart,WarmStart
33,168,331.17,,,1243.67,WarmStart,WarmStart
34,169,385.2,,,1243.67,WarmStart,WarmStart
35,170,405.26,,,1243.67,WarmStart,WarmStart
36,186,318.1919743,,,1243.67,WarmStart,WarmStart
37,188,339.0080085,,,1243.67,WarmStart,WarmStart
38,190,390.2707837,,,1243.67,WarmStart,WarmStart
39,194,745.278685,,,1243.67,WarmStart,WarmStart
40,197,192.98,,,1243.67,WarmStart,WarmStart
41,199,201.63,,,1243.67,WarmStart,WarmStart
42,201,213.5,,,1243.67,WarmStart,WarmStart
43,202,214.93,,,1243.67,WarmStart,WarmStart
44,207,289.72,,,1243.67,WarmStart,WarmStart
45,210,356.76,,,1243.67,WarmStart,WarmStart
46,215,457.13,,,1243.67,WarmStart,WarmStart
47,216,696.39,,,1243.67,WarmStart,WarmStart
48,218,537.77,,,1243.67,WarmStart,WarmStart
49,219,545.18,,,1243.67,WarmStart,WarmStart
50,220,546.79,,,1243.67,WarmStart,WarmStart
51,221,561.86,,,1243.67,WarmStart,WarmStart
52,222,602.48,,,1243.67,WarmStart,WarmStart
53,227,695.67,,,1243.67,WarmStart,WarmStart
54,232,824.47,,,1243.67,WarmStart,WarmStart
55,16,490.06,780.0579223632812,95.17501068115234,1243.67,ActiveLearning,Continuing
56,193,733.7295218,640.5975952148438,198.4169158935547,1243.67,ActiveLearning,Continuing
57,19,634.35,667.8807983398438,111.45152282714844,1243.67,ActiveLearning,Continuing
58,20,688.74,665.7970581054688,95.24143981933594,1243.67,ActiveLearning,Continuing
59,183,162.7067112,637.0515747070312,142.69749450683594,1243.67,ActiveLearning,Continuing
60,21,725.7933279,661.9116821289062,72.13076782226562,1243.67,ActiveLearning,Continuing
61,23,788.8326479,680.734619140625,46.52360153198242,1243.67,ActiveLearning,Continuing
62,25,804.11,692.3302001953125,48.996768951416016,1243.67,ActiveLearning,Continuing
63,26,839.28,709.6448364257812,45.36986541748047,1243.67,ActiveLearning,Continuing
64,27,852.33,729.0197143554688,42.17010498046875,1243.67,ActiveLearning,Continuing
65,112,904.29,609.7241821289062,96.41997528076172,1243.67,ActiveLearning,Continuing
66,226,658.86,746.1296997070312,107.44436645507812,1243.67,ActiveLearning,Continuing
67,13,215.37,587.7694702148438,116.243408203125,1243.67,ActiveLearning,Continuing
68,114,291.41,592.7442626953125,92.48212432861328,1243.67,ActiveLearning,Continuing
69,18,617.92,571.902587890625,69.63775634765625,1243.67,ActiveLearning,Continuing
70,138,302.25,549.3953857421875,88.24479675292969,1243.67,ActiveLearning,Continuing
71,225,654.34,536.259033203125,84.40088653564453,1243.67,ActiveLearning,Continuing
72,139,336.24,521.1464233398438,114.57758331298828,1243.67,ActiveLearning,Continuing
73,0,12.77,514.0303344726562,136.2183074951172,1243.67,ActiveLearning,Continuing
74,117,475.46,525.3986206054688,74.138671875,1243.67,ActiveLearning,Continuing
75,109,750.9,525.2283325195312,80.28150177001953,1243.67,ActiveLearning,Continuing
76,119,535.99,491.8279113769531,82.69171142578125,1243.67,ActiveLearning,Continuing
77,128,1243.67,524.0252685546875,31.71245765686035,1243.67,ActiveLearning,Max Conductivity (measured) (S/cm) in Dataset reached
