Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,22,766.85,,,1243.67,WarmStart,WarmStart
1,24,800.58,,,1243.67,WarmStart,WarmStart
2,98,233.89,,,1243.67,WarmStart,WarmStart
3,100,433.78,,,1243.67,WarmStart,WarmStart
4,101,484.36,,,1243.67,WarmStart,WarmStart
5,103,562.06,,,1243.67,WarmStart,WarmStart
6,104,580.44,,,1243.67,WarmStart,WarmStart
7,105,607.72,,,1243.67,WarmStart,WarmStart
8,106,618.72,,,1243.67,WarmStart,WarmStart
9,107,625.33,,,1243.67,WarmStart,WarmStart
10,108,659.36,,,1243.67,WarmStart,WarmStart
11,110,770.35,,,1243.67,WarmStart,WarmStart
12,111,838.31,,,1243.67,WarmStart,WarmStart
13,120,540.19,,,1243.67,WarmStart,WarmStart
14,125,608.87,,,1243.67,WarmStart,WarmStart
15,140,259.11,,,1243.67,WarmStart,WarmStart
16,143,283.86,,,1243.67,WarmStart,WarmStart
17,144,286.73,,,1243.67,WarmStart,WarmStart
18,162,217.94,,,1243.67,WarmStart,WarmStart
19,163,220.57,,,1243.67,WarmStart,WarmStart
20,164,220.66,,,1243.67,WarmStart,WarmStart
21,188,339.0080085,,,1243.67,WarmStart,WarmStart
22,190,390.2707837,,,1243.67,WarmStart,WarmStart
23,197,192.98,,,1243.67,WarmStart,WarmStart
24,199,201.63,,,1243.67,WarmStart,WarmStart
25,202,214.93,,,1243.67,WarmStart,WarmStart
26,207,289.72,,,1243.67,WarmStart,WarmStart
27,210,356.76,,,1243.67,WarmStart,WarmStart
28,219,545.18,,,1243.67,WarmStart,WarmStart
29,227,695.67,,,1243.67,WarmStart,WarmStart
30,16,490.06,726.052001953125,115.86792755126953,1243.67,ActiveLearning,Continuing
31,222,602.48,745.191650390625,56.560813903808594,1243.67,ActiveLearning,Continuing
32,112,904.29,667.2322998046875,151.4497833251953,1243.67,ActiveLearning,Continuing
33,220,546.79,822.0875244140625,126.23621368408203,1243.67,ActiveLearning,Continuing
34,226,658.86,722.0494384765625,128.8370819091797,1243.67,ActiveLearning,Continuing
35,113,226.22,696.6221313476562,93.57159423828125,1243.67,ActiveLearning,Continuing
36,114,291.41,553.9011840820312,121.32868957519531,1243.67,ActiveLearning,Continuing
37,19,634.35,554.1748046875,106.58683013916016,1243.67,ActiveLearning,Continuing
38,20,688.74,572.816650390625,78.79457092285156,1243.67,ActiveLearning,Continuing
39,21,725.7933279,614.9049072265625,51.27580261230469,1243.67,ActiveLearning,Continuing
40,23,788.8326479,642.3339233398438,46.764183044433594,1243.67,ActiveLearning,Continuing
41,25,804.11,671.3334350585938,45.31735610961914,1243.67,ActiveLearning,Continuing
42,26,839.28,692.7723999023438,42.828739166259766,1243.67,ActiveLearning,Continuing
43,27,852.33,708.7977294921875,41.2880744934082,1243.67,ActiveLearning,Continuing
44,232,824.47,727.2496948242188,38.67896270751953,1243.67,ActiveLearning,Continuing
45,150,348.88,537.2017822265625,81.4894027709961,1243.67,ActiveLearning,Continuing
46,13,215.37,496.7565612792969,117.12528228759766,1243.67,ActiveLearning,Continuing
47,8,37.09,497.5384216308594,138.1442108154297,1243.67,ActiveLearning,Continuing
48,115,325.56,484.5829162597656,137.46121215820312,1243.67,ActiveLearning,Continuing
49,17,559.01,462.92919921875,172.45631408691406,1243.67,ActiveLearning,Continuing
50,18,617.92,519.5950317382812,132.25453186035156,1243.67,ActiveLearning,Continuing
51,102,545.78,515.8482055664062,106.12271881103516,1243.67,ActiveLearning,Continuing
52,138,302.25,502.73681640625,78.85147857666016,1243.67,ActiveLearning,Continuing
53,109,750.9,486.140625,56.30998229980469,1243.67,ActiveLearning,Continuing
54,124,554.41,511.1500244140625,107.5790023803711,1243.67,ActiveLearning,Continuing
55,139,336.24,439.2548828125,146.02505493164062,1243.67,ActiveLearning,Continuing
56,153,47.22,465.5011291503906,99.41230773925781,1243.67,ActiveLearning,Continuing
57,136,293.6,464.8714599609375,103.53892517089844,1243.67,ActiveLearning,Continuing
58,122,543.75,440.2760925292969,137.64694213867188,1243.67,ActiveLearning,Continuing
59,182,160.6199195,420.5630798339844,126.82172393798828,1243.67,ActiveLearning,Continuing
60,169,385.2,433.0278625488281,98.33486938476562,1243.67,ActiveLearning,Continuing
61,11,140.7,394.05804443359375,146.61631774902344,1243.67,ActiveLearning,Continuing
62,116,452.8,379.6309509277344,131.16818237304688,1243.67,ActiveLearning,Continuing
63,123,552.26,403.3811340332031,83.39231872558594,1243.67,ActiveLearning,Continuing
64,224,637.46,411.08831787109375,127.81271362304688,1243.67,ActiveLearning,Continuing
65,230,738.1,501.5067138671875,179.31483459472656,1243.67,ActiveLearning,Continuing
66,223,636.48,507.95123291015625,93.57728576660156,1243.67,ActiveLearning,Continuing
67,228,697.4,532.6592407226562,104.17818450927734,1243.67,ActiveLearning,Continuing
68,192,424.1973941,411.3381042480469,132.86614990234375,1243.67,ActiveLearning,Continuing
69,126,660.0,408.0282287597656,76.01637268066406,1243.67,ActiveLearning,Continuing
70,127,1089.12,459.1234436035156,99.92488098144531,1243.67,ActiveLearning,Continuing
71,229,731.11,590.1624755859375,193.71124267578125,1243.67,ActiveLearning,Continuing
72,231,772.94,622.7371215820312,137.85809326171875,1243.67,ActiveLearning,Continuing
73,146,312.65,374.0215759277344,116.98482513427734,1243.67,ActiveLearning,Continuing
74,142,280.38,359.74102783203125,79.0856704711914,1243.67,ActiveLearning,Continuing
75,213,406.47,367.4345397949219,73.68571472167969,1243.67,ActiveLearning,Continuing
76,179,135.2652427,356.82257080078125,69.86271667480469,1243.67,ActiveLearning,Continuing
77,186,318.1919743,325.7762145996094,73.87274169921875,1243.67,ActiveLearning,Continuing
78,148,328.21,333.3434753417969,55.336090087890625,1243.67,ActiveLearning,Continuing
79,155,92.38,290.13824462890625,87.90592956542969,1243.67,ActiveLearning,Continuing
80,216,696.39,301.9832458496094,98.64667510986328,1243.67,ActiveLearning,Continuing
81,2,14.78,377.44683837890625,140.7953643798828,1243.67,ActiveLearning,Continuing
82,145,291.83,315.9420471191406,72.23292541503906,1243.67,ActiveLearning,Continuing
83,171,419.51,308.73284912109375,69.9783935546875,1243.67,ActiveLearning,Continuing
84,204,240.44,309.80902099609375,69.89482879638672,1243.67,ActiveLearning,Continuing
85,166,249.23,313.28363037109375,57.2857666015625,1243.67,ActiveLearning,Continuing
86,149,328.45,311.0378723144531,64.05399322509766,1243.67,ActiveLearning,Continuing
87,0,12.77,248.84576416015625,159.6570281982422,1243.67,ActiveLearning,Continuing
88,184,200.7545831,280.7303466796875,64.14878845214844,1243.67,ActiveLearning,Continuing
89,214,451.64,283.0904846191406,53.478668212890625,1243.67,ActiveLearning,Continuing
