Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Conductivity (measured) (S/cm) in Dataset,Phase,Stopping Reason
0,4,16.94,,,1243.67,WarmStart,WarmStart
1,9,45.53,,,1243.67,WarmStart,WarmStart
2,16,490.06,,,1243.67,WarmStart,WarmStart
3,19,634.35,,,1243.67,WarmStart,WarmStart
4,28,5.09,,,1243.67,WarmStart,WarmStart
5,38,12.19,,,1243.67,WarmStart,WarmStart
6,39,18.25,,,1243.67,WarmStart,WarmStart
7,45,7.84,,,1243.67,WarmStart,WarmStart
8,52,16.66,,,1243.67,WarmStart,WarmStart
9,53,16.69,,,1243.67,WarmStart,WarmStart
10,58,31.24,,,1243.67,WarmStart,WarmStart
11,60,63.53,,,1243.67,WarmStart,WarmStart
12,105,607.72,,,1243.67,WarmStart,WarmStart
13,114,291.41,,,1243.67,WarmStart,WarmStart
14,116,452.8,,,1243.67,WarmStart,WarmStart
15,123,552.26,,,1243.67,WarmStart,WarmStart
16,126,660.0,,,1243.67,WarmStart,WarmStart
17,127,1089.12,,,1243.67,WarmStart,WarmStart
18,154,63.81,,,1243.67,WarmStart,WarmStart
19,178,111.8949727,,,1243.67,WarmStart,WarmStart
20,220,546.79,,,1243.67,WarmStart,WarmStart
21,221,561.86,,,1243.67,WarmStart,WarmStart
22,222,602.48,,,1243.67,WarmStart,WarmStart
23,223,636.48,,,1243.67,WarmStart,WarmStart
24,225,654.34,,,1243.67,WarmStart,WarmStart
25,229,731.11,,,1243.67,WarmStart,WarmStart
26,231,772.94,,,1243.67,WarmStart,WarmStart
27,153,47.22,525.0172729492188,210.7322540283203,1243.67,ActiveLearning,Continuing
28,140,259.11,544.1819458007812,186.06893920898438,1243.67,ActiveLearning,Continuing
29,164,220.66,509.40118408203125,204.81314086914062,1243.67,ActiveLearning,Continuing
30,17,559.01,482.6656799316406,206.1568603515625,1243.67,ActiveLearning,Continuing
31,106,618.72,530.8005981445312,151.12156677246094,1243.67,ActiveLearning,Continuing
32,104,580.44,570.6723022460938,97.52396392822266,1243.67,ActiveLearning,Continuing
33,122,543.75,500.96600341796875,191.65016174316406,1243.67,ActiveLearning,Continuing
34,18,617.92,498.7757873535156,172.59283447265625,1243.67,ActiveLearning,Continuing
35,224,637.46,565.2786254882812,103.60602569580078,1243.67,ActiveLearning,Continuing
36,101,484.36,572.8271484375,97.19164276123047,1243.67,ActiveLearning,Continuing
37,230,738.1,605.9406127929688,64.45459747314453,1243.67,ActiveLearning,Continuing
38,103,562.06,552.618896484375,113.62432861328125,1243.67,ActiveLearning,Continuing
39,124,554.41,522.7254638671875,139.93521118164062,1243.67,ActiveLearning,Continuing
40,192,424.1973941,464.5963134765625,198.50048828125,1243.67,ActiveLearning,Continuing
41,102,545.78,452.1993408203125,210.8074188232422,1243.67,ActiveLearning,Continuing
42,138,302.25,458.46453857421875,189.9482879638672,1243.67,ActiveLearning,Continuing
43,110,770.35,564.7738647460938,64.44864654541016,1243.67,ActiveLearning,Continuing
44,112,904.29,589.7644653320312,73.39025115966797,1243.67,ActiveLearning,Continuing
45,226,658.86,741.4659423828125,131.8137969970703,1243.67,ActiveLearning,Continuing
46,20,688.74,561.8754272460938,84.5148696899414,1243.67,ActiveLearning,Continuing
47,21,725.7933279,598.1702880859375,58.66970443725586,1243.67,ActiveLearning,Continuing
48,23,788.8326479,627.0765380859375,51.200172424316406,1243.67,ActiveLearning,Continuing
49,25,804.11,664.1200561523438,46.12629699707031,1243.67,ActiveLearning,Continuing
50,26,839.28,692.431396484375,41.732513427734375,1243.67,ActiveLearning,Continuing
51,27,852.33,713.170654296875,36.3871955871582,1243.67,ActiveLearning,Continuing
52,232,824.47,734.5183715820312,34.82884216308594,1243.67,ActiveLearning,Continuing
53,100,433.78,592.2942504882812,43.348690032958984,1243.67,ActiveLearning,Continuing
54,22,766.85,600.6455688476562,29.36370086669922,1243.67,ActiveLearning,Continuing
55,24,800.58,681.7840576171875,62.840118408203125,1243.67,ActiveLearning,Continuing
56,227,695.67,727.0377807617188,46.12889099121094,1243.67,ActiveLearning,Continuing
57,113,226.22,616.8267211914062,74.60691833496094,1243.67,ActiveLearning,Continuing
58,108,659.36,581.7283935546875,40.69112777709961,1243.67,ActiveLearning,Continuing
59,213,406.47,435.96209716796875,117.49734497070312,1243.67,ActiveLearning,Continuing
60,139,336.24,405.95257568359375,125.26827239990234,1243.67,ActiveLearning,Continuing
61,109,750.9,395.4437561035156,109.98255157470703,1243.67,ActiveLearning,Continuing
