Iteration,Index,Observed Target Value
0,117,475.46
1,220,546.79
2,34,8.39
3,162,217.94
4,200,207.58
5,87,9.62
6,193,733.7295218
7,212,395.74
8,71,16.13
9,44,7.09
10,152,44.1
11,99,374.29
12,167,250.28
13,190,390.2707837
14,169,385.2
15,229,731.11
16,130,203.82
17,94,20.03
18,124,554.41
19,73,17.57
20,42,49.98
21,205,248.62
22,144,286.73
23,0,12.77
24,183,162.7067112
25,153,47.22
26,76,28.39
27,148,328.21
28,59,34.35
29,187,322.6997586
30,168,331.17
31,19,634.35
32,108,659.36
33,95,29.81
34,35,10.32
35,228,697.4
36,113,226.22
37,161,214.21
38,211,382.45
39,6,26.19
40,204,240.44
41,174,41.89833748
42,18,617.92
43,57,28.51
44,177,83.28491341
45,232,824.47
46,214,451.64
47,26,839.28
48,91,13.25
49,21,725.7933279
50,218,537.77
51,140,259.11
52,125,608.87
53,219,545.18
54,109,750.9
55,1,13.19
56,129,192.74
57,197,192.98
58,195,179.12
59,221,561.86
60,10,45.97
61,115,325.56
62,230,738.1
63,172,542.3
64,180,151.3841761
65,93,17.35
66,92,13.55
67,192,424.1973941
68,88,9.71
69,14,218.67
70,36,11.15
71,90,11.47
72,100,433.78
73,111,838.31
74,154,63.81
75,166,249.23
76,69,14.78
77,101,484.36
78,138,302.25
79,75,26.57
80,222,602.48
81,66,12.36
82,207,289.72
83,68,13.99
84,143,283.86
85,67,13.46
86,184,200.7545831
87,54,17.89
88,127,1089.12
89,198,195.33
90,50,14.08
91,46,7.85
92,146,312.65
93,3,16.34
94,105,607.72
95,202,214.93
96,82,6.68
97,122,543.75
98,5,24.01
99,96,45.34
100,209,325.42
101,97,86.01
102,81,6.31
103,139,336.24
104,231,772.94
105,65,11.49
106,141,279.69
107,186,318.1919743
108,60,63.53
109,55,17.96
110,86,7.96
111,176,76.51244504
112,142,280.38
113,206,268.25
114,128,1243.67
