Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,26,-1267615,-57505.297,587.4315,-23707,Continuing
2,7,-144556,-1711.7579,40.004036,-23707,Continuing
3,0,-480185,-43179.383,4492.899,-23707,Continuing
4,58,-221696,-44681.57,1487.1058,-23707,Continuing
5,29,-286689,-136374.3,1372.3655,-23707,Continuing
6,8,-351227,-146839.69,3510.7014,-23707,Continuing
7,60,-38893,-181588.61,1325.7511,-23707,Continuing
8,61,-449878,-48283.348,1226.1522,-23707,Continuing
9,84,-24723,-123607.6,3689.5232,-23707,Continuing
10,57,-237318,-55175.14,5293.0615,-23707,Continuing
11,59,-123157,-126183.86,7506.4854,-23707,Continuing
12,86,-91681,-133251.14,6072.5356,-23707,Continuing
13,85,-27122,-124439.74,4893.35,-23707,Continuing
14,112,-23707,-121538.93,4436.9946,-23707,Max -Instability index reached
