Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,26,-1267615,-57449.688,550.8994,-23707,Continuing
2,120,-91655,-4290.0825,1777.1311,-23707,Continuing
3,42,-482218,-12488.041,8008.063,-23707,Continuing
4,0,-480185,-39764.992,783.3515,-23707,Continuing
5,29,-286689,-58589.53,1100.3767,-23707,Continuing
6,88,-132641,-71218.95,830.42487,-23707,Continuing
7,61,-449878,-84286.984,580.06903,-23707,Continuing
8,78,-127394,-108829.555,1148.9352,-23707,Continuing
9,3,-239852,-38234.92,1795.8407,-23707,Continuing
10,92,-261756,-99605.31,4788.2666,-23707,Continuing
11,100,-175885,-85167.484,2001.2477,-23707,Continuing
12,40,-343647,-112621.53,2063.5488,-23707,Continuing
13,96,-383479,-96364.95,1370.371,-23707,Continuing
14,44,-299002,-118263.39,2111.8374,-23707,Continuing
15,98,-147202,-106878.58,4978.8604,-23707,Continuing
16,121,-107908,-113488.91,2206.7097,-23707,Continuing
17,122,-168856,-106034.445,2198.5815,-23707,Continuing
18,123,-292981,-122647.4,1647.6322,-23707,Continuing
19,105,-141683,-150248.3,3492.8489,-23707,Continuing
20,67,-227835,-154325.73,2622.0112,-23707,Continuing
21,104,-208028,-155470.11,2830.3728,-23707,Continuing
22,102,-129483,-148533.12,2364.061,-23707,Continuing
23,74,-140574,-145273.03,1989.7153,-23707,Continuing
24,103,-145224,-162880.89,2678.586,-23707,Continuing
25,75,-59256,-156543.47,2150.7258,-23707,Continuing
26,124,-55524,-100125.53,2552.017,-23707,Continuing
27,125,-88158,-71489.38,2132.7043,-23707,Continuing
28,126,-93928,-70435.62,2139.1504,-23707,Continuing
29,127,-184086,-76146.2,1927.6558,-23707,Continuing
30,101,-239057,-94720.33,2894.1082,-23707,Continuing
31,30,-209698,-155247.16,4828.0366,-23707,Continuing
32,85,-27122,-187296.23,5492.2715,-23707,Continuing
33,86,-91681,-20876.547,4842.967,-23707,Continuing
34,58,-221696,-65239.96,7509.249,-23707,Continuing
35,59,-123157,-164370.69,5617.295,-23707,Continuing
36,60,-38893,-140653.19,4706.9204,-23707,Continuing
37,2,-144074,-150716.22,3299.2825,-23707,Continuing
38,87,-183180,-143130.84,1951.2982,-23707,Continuing
39,73,-96638,-145438.86,2234.2935,-23707,Continuing
40,116,-26197,-177724.58,2334.2957,-23707,Continuing
41,117,-38370,-59075.758,2587.189,-23707,Continuing
42,118,-107494,-39394.52,2876.315,-23707,Continuing
43,119,-119938,-57577.254,2915.4668,-23707,Continuing
44,71,-87667,-146025.28,3524.955,-23707,Continuing
45,39,-98773,-103110.72,3497.1248,-23707,Continuing
46,94,-136004,-178055.02,5145.5923,-23707,Continuing
47,57,-237318,-197250.31,9541.054,-23707,Continuing
48,56,-133495,-219527.39,13941.337,-23707,Continuing
49,31,-316345,-211792.2,2679.2422,-23707,Continuing
50,64,-269180,-230344.36,3280.1553,-23707,Continuing
51,66,-284939,-230403.8,3261.9014,-23707,Continuing
52,4,-416657,-245479.84,2801.0134,-23707,Continuing
53,34,-287734,-240388.44,3945.6697,-23707,Continuing
54,77,-476197,-262360.3,3211.6836,-23707,Continuing
55,7,-144556,-409520.34,85076.52,-23707,Continuing
56,65,-349707,-157279.58,11857.41,-23707,Continuing
57,8,-351227,-210397.06,15437.457,-23707,Continuing
58,32,-207474,-256102.98,4845.16,-23707,Continuing
59,35,-302631,-272103.62,3120.5608,-23707,Continuing
60,89,-120257,-256730.22,3534.1108,-23707,Continuing
61,33,-132665,-165119.2,3086.6191,-23707,Continuing
62,72,-339668,-277934.5,9990.167,-23707,Continuing
63,63,-300244,-284375.84,4192.4854,-23707,Continuing
64,91,-225170,-283624.75,3033.064,-23707,Continuing
65,5,-253423,-280165.3,2661.3977,-23707,Continuing
66,6,-273687,-266141.84,2559.4768,-23707,Continuing
67,93,-211852,-266833.2,2219.475,-23707,Continuing
68,84,-24723,-232567.88,33438.977,-23707,Continuing
69,112,-23707,-78837.19,27708.031,-23707,Max -Instability index reached
