Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,6,273687.0,,,23707.0,WarmStart,WarmStart
1,9,914156.0,,,23707.0,WarmStart,WarmStart
2,21,1167261.0,,,23707.0,WarmStart,WarmStart
3,22,1182236.0,,,23707.0,WarmStart,WarmStart
4,44,299002.0,,,23707.0,WarmStart,WarmStart
5,51,293210.0,,,23707.0,WarmStart,WarmStart
6,61,449878.0,,,23707.0,WarmStart,WarmStart
7,63,300244.0,,,23707.0,WarmStart,WarmStart
8,65,349707.0,,,23707.0,WarmStart,WarmStart
9,86,91681.0,,,23707.0,WarmStart,WarmStart
10,112,23707.0,,,23707.0,WarmStart,WarmStart
11,115,98439.0,,,23707.0,WarmStart,WarmStart
12,126,93928.0,,,23707.0,WarmStart,WarmStart
13,129,316310.0,,,23707.0,WarmStart,WarmStart
14,131,422140.0,,,23707.0,WarmStart,WarmStart
15,0,480185.0,100030.24416057952,213266.17069646603,23707.0,ActiveLearning,Continuing
16,1,505657.0,195466.58761014647,232032.57871319356,23707.0,ActiveLearning,Continuing
17,7,144556.0,249262.9546797054,257551.62450094405,23707.0,ActiveLearning,Continuing
18,8,351227.0,218071.85491160033,237388.56648862554,23707.0,ActiveLearning,Continuing
19,56,133495.0,247697.96525712332,216871.45395951843,23707.0,ActiveLearning,Continuing
20,57,237318.0,235481.2343047571,209010.3650456016,23707.0,ActiveLearning,Continuing
21,84,24723.0,236118.0820024979,199947.8924682886,23707.0,ActiveLearning,Continuing
22,113,59211.0,218185.22212887285,199100.1022385763,23707.0,ActiveLearning,Continuing
23,26,1267615.0,1.554847918040855e-08,324430.2891906173,23707.0,ActiveLearning,Continuing
24,114,80413.0,214950.47303709597,196498.5626709359,23707.0,ActiveLearning,Continuing
25,28,57484.0,207458.7628375929,191938.31398199353,23707.0,ActiveLearning,Continuing
26,29,286689.0,196651.6265355458,188272.24909408038,23707.0,ActiveLearning,Continuing
27,85,27122.0,203173.08271073978,184680.42261438066,23707.0,ActiveLearning,Continuing
28,58,221696.0,192493.72570794195,182778.2360189818,23707.0,ActiveLearning,Continuing
29,59,123157.0,195164.2271543742,178748.73667574613,23707.0,ActiveLearning,Continuing
30,60,38893.0,189676.4377463292,174519.59455819006,23707.0,ActiveLearning,Continuing
31,2,144074.0,179574.5326891689,172412.9711143524,23707.0,ActiveLearning,Continuing
32,87,183180.0,175387.20491106607,168116.67910267226,23707.0,ActiveLearning,Continuing
33,62,40621.0,177681.89942460545,166483.31554683624,23707.0,ActiveLearning,Continuing
34,88,132641.0,164469.21235128553,164198.52638359612,23707.0,ActiveLearning,Continuing
35,30,209698.0,160100.87534796013,160566.30010184366,23707.0,ActiveLearning,Continuing
36,31,316345.0,163726.47761268218,157779.9879276118,23707.0,ActiveLearning,Continuing
37,32,207474.0,178902.76920165226,158884.2523184834,23707.0,ActiveLearning,Continuing
38,89,120257.0,181515.13869574285,156237.2450559308,23707.0,ActiveLearning,Continuing
39,33,132665.0,176921.12675423492,153501.2410710527,23707.0,ActiveLearning,Continuing
40,95,163985.0,181711.55380996765,148230.7964790703,23707.0,ActiveLearning,Continuing
41,36,190636.0,180840.25167973118,146068.46413009166,23707.0,ActiveLearning,Continuing
42,37,342685.0,180625.00465809394,143658.88989428323,23707.0,ActiveLearning,Continuing
43,67,227835.0,188620.11606743932,144263.97601967287,23707.0,ActiveLearning,Continuing
44,96,383479.0,190210.12646605662,143191.47096811794,23707.0,ActiveLearning,Continuing
45,66,284939.0,194534.9622377006,144691.22598823206,23707.0,ActiveLearning,Continuing
