Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,36,190636.0,,,23707.0,WarmStart,WarmStart
6,42,482218.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,55,463506.0,,,23707.0,WarmStart,WarmStart
9,66,284939.0,,,23707.0,WarmStart,WarmStart
10,68,180293.0,,,23707.0,WarmStart,WarmStart
11,69,252077.0,,,23707.0,WarmStart,WarmStart
12,80,438903.0,,,23707.0,WarmStart,WarmStart
13,86,91681.0,,,23707.0,WarmStart,WarmStart
14,109,452558.0,,,23707.0,WarmStart,WarmStart
15,112,23707.0,,,23707.0,WarmStart,WarmStart
16,117,38370.0,,,23707.0,WarmStart,WarmStart
17,118,107494.0,,,23707.0,WarmStart,WarmStart
18,126,93928.0,,,23707.0,WarmStart,WarmStart
19,130,319618.0,,,23707.0,WarmStart,WarmStart
20,134,593083.0,,,23707.0,WarmStart,WarmStart
21,135,1375402.0,,,23707.0,WarmStart,WarmStart
22,0,480185.0,63284.63870611642,150507.89859393964,23707.0,ActiveLearning,Continuing
23,84,24723.0,177343.956242363,156724.93218400472,23707.0,ActiveLearning,Continuing
24,56,133495.0,159826.13752733287,158170.99114483513,23707.0,ActiveLearning,Continuing
25,57,237318.0,157446.0108000491,151939.76481392147,23707.0,ActiveLearning,Continuing
26,59,123157.0,116184.65981180336,124826.80188747711,23707.0,ActiveLearning,Continuing
27,113,59211.0,163171.09504095666,142303.65355999925,23707.0,ActiveLearning,Continuing
28,58,221696.0,104753.41706769932,115673.46828818019,23707.0,ActiveLearning,Continuing
29,114,80413.0,159168.80510886342,137235.99911837783,23707.0,ActiveLearning,Continuing
30,85,27122.0,115792.6766553615,114395.047621648,23707.0,ActiveLearning,Continuing
31,60,38893.0,107505.27401614707,112641.05085716007,23707.0,ActiveLearning,Continuing
32,28,57484.0,106523.74736668867,108056.12053862342,23707.0,ActiveLearning,Continuing
33,29,286689.0,101933.35076483806,105225.98839077867,23707.0,ActiveLearning,Continuing
34,2,144074.0,115592.54289449212,113532.36666596995,23707.0,ActiveLearning,Continuing
35,87,183180.0,117816.19109880761,110911.0141318816,23707.0,ActiveLearning,Continuing
36,67,227835.0,123384.35605353868,107736.44229783182,23707.0,ActiveLearning,Continuing
37,61,449878.0,133534.01449075164,110247.8599141958,23707.0,ActiveLearning,Continuing
38,115,98439.0,155827.64262318233,134866.97672829768,23707.0,ActiveLearning,Continuing
39,1,505657.0,153702.1962762567,141880.12895266176,23707.0,ActiveLearning,Continuing
40,116,26197.0,144853.32030557902,117798.02916106606,23707.0,ActiveLearning,Continuing
41,119,119938.0,133824.35673006275,115877.44692224744,23707.0,ActiveLearning,Continuing
42,71,87667.0,136425.85559174733,112818.31724491823,23707.0,ActiveLearning,Continuing
43,98,147202.0,134192.11344057907,111734.07545263488,23707.0,ActiveLearning,Continuing
44,39,98773.0,137679.99357277402,108486.44744709074,23707.0,ActiveLearning,Continuing
45,74,140574.0,146528.5379402615,110243.05444673199,23707.0,ActiveLearning,Continuing
46,75,59256.0,152934.8218904264,109820.1202806388,23707.0,ActiveLearning,Continuing
47,124,55524.0,137764.5173870103,107735.8382752485,23707.0,ActiveLearning,Continuing
48,125,88158.0,125652.1997111845,105727.9707337328,23707.0,ActiveLearning,Continuing
49,127,184086.0,120309.71088655632,103498.06329849821,23707.0,ActiveLearning,Continuing
50,101,239057.0,129378.31155085305,101854.71881413355,23707.0,ActiveLearning,Continuing
51,102,129483.0,144748.07812452115,104630.46531184115,23707.0,ActiveLearning,Continuing
52,91,225170.0,165849.19533873114,234131.68361509702,23707.0,ActiveLearning,Continuing
53,103,145224.0,156726.02132392608,104143.19909332872,23707.0,ActiveLearning,Continuing
54,100,175885.0,163548.28270575262,101997.86991442867,23707.0,ActiveLearning,Continuing
55,94,136004.0,168423.51354093026,98733.23028328022,23707.0,ActiveLearning,Continuing
56,99,192477.0,168255.78074841996,98495.31926090922,23707.0,ActiveLearning,Continuing
57,72,339668.0,173877.39061527755,96481.29809121066,23707.0,ActiveLearning,Continuing
58,78,127394.0,180288.01394170092,103259.36961912067,23707.0,ActiveLearning,Continuing
59,73,96638.0,176576.82078301616,98870.21960848541,23707.0,ActiveLearning,Continuing
60,104,208028.0,174855.10590092052,101198.70532258379,23707.0,ActiveLearning,Continuing
61,95,163985.0,176774.95464841079,97447.32155466893,23707.0,ActiveLearning,Continuing
62,120,91655.0,179264.9270581447,97274.67620528425,23707.0,ActiveLearning,Continuing
63,121,107908.0,170737.0994224624,96638.98160836221,23707.0,ActiveLearning,Continuing
64,122,168856.0,165116.1769522896,95666.56180128797,23707.0,ActiveLearning,Continuing
65,123,292981.0,165336.93558262332,94408.32729655407,23707.0,ActiveLearning,Continuing
66,105,141683.0,181715.51617698083,99088.87643571809,23707.0,ActiveLearning,Continuing
67,44,299002.0,202104.09183692196,96543.43657297447,23707.0,ActiveLearning,Continuing
68,37,342685.0,207309.33111027116,95358.77670910525,23707.0,ActiveLearning,Continuing
69,64,269180.0,219509.9682638631,120172.01734251104,23707.0,ActiveLearning,Continuing
70,76,272660.0,230595.8999658162,99234.54109084974,23707.0,ActiveLearning,Continuing
71,41,370439.0,236536.7983996557,95646.27977429131,23707.0,ActiveLearning,Continuing
72,34,287734.0,243231.0606343707,122092.24493163747,23707.0,ActiveLearning,Continuing
73,62,40621.0,242898.73369033783,95530.26955041465,23707.0,ActiveLearning,Continuing
74,96,383479.0,224032.49811820843,98056.44893981787,23707.0,ActiveLearning,Continuing
75,128,258154.0,237937.3180958115,111753.360380424,23707.0,ActiveLearning,Continuing
76,129,316310.0,243948.72528251517,106365.97221688175,23707.0,ActiveLearning,Continuing
77,88,132641.0,253020.88529404264,98503.29391871138,23707.0,ActiveLearning,Continuing
78,30,209698.0,247682.54447256002,99218.40424309087,23707.0,ActiveLearning,Continuing
79,40,343647.0,254395.73405466104,97528.01385265811,23707.0,ActiveLearning,Continuing
80,131,422140.0,257805.4777889979,102898.08112063132,23707.0,ActiveLearning,Continuing
81,21,1167261.0,272403.5839472403,266506.3766703404,23707.0,ActiveLearning,Continuing
82,17,1103450.0,172158.8551875176,280519.0772510195,23707.0,ActiveLearning,Continuing
83,90,318600.0,239865.36649569025,112681.93694254161,23707.0,ActiveLearning,Continuing
84,35,302631.0,267158.7188861139,114052.37054473342,23707.0,ActiveLearning,Continuing
85,32,207474.0,268507.0917611333,99667.19771664716,23707.0,ActiveLearning,Continuing
86,3,239852.0,263676.603700225,106870.40318639828,23707.0,ActiveLearning,Continuing
87,4,416657.0,257548.55656380858,103058.32514359902,23707.0,ActiveLearning,Continuing
88,89,120257.0,276344.7528029583,99065.14610827903,23707.0,ActiveLearning,Continuing
89,33,132665.0,264915.3848667887,99841.35856040202,23707.0,ActiveLearning,Continuing
90,63,300244.0,259660.63378527542,101251.26601334814,23707.0,ActiveLearning,Continuing
91,97,206695.0,279292.80246737244,101074.37535024228,23707.0,ActiveLearning,Continuing
92,92,261756.0,300276.8726177744,130895.55867801224,23707.0,ActiveLearning,Continuing
93,70,286563.0,289936.35754358594,118341.66897239308,23707.0,ActiveLearning,Continuing
94,47,416405.0,273444.49436946947,129164.64688616671,23707.0,ActiveLearning,Continuing
95,5,253423.0,293651.4501783095,123708.34518711508,23707.0,ActiveLearning,Continuing
96,8,351227.0,316112.27451590705,154358.02825512917,23707.0,ActiveLearning,Continuing
97,6,273687.0,277278.3540197133,110529.2537193541,23707.0,ActiveLearning,Continuing
98,93,211852.0,314260.6720887183,131817.41345804688,23707.0,ActiveLearning,Continuing
99,38,224858.0,319674.65117659245,120331.87472861806,23707.0,ActiveLearning,Continuing
100,65,349707.0,322973.29984909174,113094.5988700028,23707.0,ActiveLearning,Continuing
101,7,144556.0,320267.1294699215,137620.80675485614,23707.0,ActiveLearning,Continuing
102,77,476197.0,350121.6221812901,129662.35239851905,23707.0,ActiveLearning,Continuing
103,43,228347.0,383146.8759817716,114072.34609872485,23707.0,ActiveLearning,Continuing
104,9,914156.0,363334.14413835725,133783.21898574493,23707.0,ActiveLearning,Continuing
105,45,481313.0,375639.42992824427,143428.24415328781,23707.0,ActiveLearning,Continuing
106,46,482674.0,386292.90070763795,142577.45720221353,23707.0,ActiveLearning,Continuing
107,49,234879.0,378353.34458749683,109313.57857536316,23707.0,ActiveLearning,Continuing
108,50,199330.0,378795.4338771733,101992.4299375641,23707.0,ActiveLearning,Continuing
109,48,404845.0,377281.01474871533,142173.20215353236,23707.0,ActiveLearning,Continuing
110,52,456484.0,412932.59871709836,141632.32763218146,23707.0,ActiveLearning,Continuing
111,10,981850.0,418553.35623582103,142134.42993529435,23707.0,ActiveLearning,Continuing
112,23,1281399.0,335339.6599644576,317580.6648239251,23707.0,ActiveLearning,Continuing
113,79,548909.0,389325.32324422325,123477.55879975698,23707.0,ActiveLearning,Continuing
114,53,374938.0,391275.11573623493,104427.97564603324,23707.0,ActiveLearning,Continuing
115,54,376516.0,438131.02271339856,147637.83638552355,23707.0,ActiveLearning,Continuing
116,15,102012.0,465919.528523292,123237.39473039628,23707.0,ActiveLearning,Continuing
117,16,128971.0,305395.31292275514,115897.00660012448,23707.0,ActiveLearning,Continuing
118,81,489801.0,275660.755539413,123377.3959608094,23707.0,ActiveLearning,Continuing
119,111,375241.0,490049.8328476524,121372.81409110517,23707.0,ActiveLearning,Continuing
120,110,794499.0,459378.7691504323,129041.3827215336,23707.0,ActiveLearning,Continuing
121,13,714735.0,439462.37902519223,152636.86755381958,23707.0,ActiveLearning,Continuing
122,20,533060.0,527441.6522909543,132221.54221516955,23707.0,ActiveLearning,Continuing
123,132,503950.0,528908.4092277266,112580.7339291317,23707.0,ActiveLearning,Continuing
124,14,925193.0,446677.1252708204,155600.9179074815,23707.0,ActiveLearning,Continuing
125,106,437082.0,562875.1476730566,162139.47186184165,23707.0,ActiveLearning,Continuing
126,133,541686.0,507383.22599252604,107875.57691736628,23707.0,ActiveLearning,Continuing
127,82,252642.0,516308.65238938294,106260.6340603457,23707.0,ActiveLearning,Continuing
128,108,719564.0,494866.3425179575,108073.23716064915,23707.0,ActiveLearning,Continuing
129,107,701140.0,564375.8155664707,112677.8918063316,23707.0,ActiveLearning,Continuing
130,25,876981.0,705445.517200796,293975.9313784501,23707.0,ActiveLearning,Continuing
131,22,1182236.0,709307.4515316422,169770.01001133918,23707.0,ActiveLearning,Continuing
132,18,1155542.0,1005514.3550300142,139547.94327924293,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1201594.4658134596,139571.64086485404,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1273040.3751642974,122863.13661411984,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1272167.6274714496,115652.15227644007,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1326795.2261930432,113017.04977037178,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1344170.589077939,110352.03456187672,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1382902.5066052133,110313.05796202002,23707.0,ActiveLearning,Continuing
