Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,36,190636.0,,,23707.0,WarmStart,WarmStart
6,42,482218.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,55,463506.0,,,23707.0,WarmStart,WarmStart
9,66,284939.0,,,23707.0,WarmStart,WarmStart
10,68,180293.0,,,23707.0,WarmStart,WarmStart
11,69,252077.0,,,23707.0,WarmStart,WarmStart
12,78,127394.0,,,23707.0,WarmStart,WarmStart
13,80,438903.0,,,23707.0,WarmStart,WarmStart
14,86,91681.0,,,23707.0,WarmStart,WarmStart
15,109,452558.0,,,23707.0,WarmStart,WarmStart
16,112,23707.0,,,23707.0,WarmStart,WarmStart
17,117,38370.0,,,23707.0,WarmStart,WarmStart
18,118,107494.0,,,23707.0,WarmStart,WarmStart
19,126,93928.0,,,23707.0,WarmStart,WarmStart
20,130,319618.0,,,23707.0,WarmStart,WarmStart
21,134,593083.0,,,23707.0,WarmStart,WarmStart
22,135,1375402.0,,,23707.0,WarmStart,WarmStart
23,0,480185.0,56306.58792779104,148314.5128797701,23707.0,ActiveLearning,Continuing
24,28,57484.0,170814.85520272166,152355.9600053028,23707.0,ActiveLearning,Continuing
25,84,24723.0,160244.44297030353,150766.02430739306,23707.0,ActiveLearning,Continuing
26,57,237318.0,146664.12025544196,151036.42596705363,23707.0,ActiveLearning,Continuing
27,29,286689.0,155577.48140334513,145048.51879846415,23707.0,ActiveLearning,Continuing
28,85,27122.0,165112.6497069913,143735.59041106346,23707.0,ActiveLearning,Continuing
29,58,221696.0,156329.72458495185,142932.35534889923,23707.0,ActiveLearning,Continuing
30,113,59211.0,160632.29905102344,140872.7859366825,23707.0,ActiveLearning,Continuing
31,114,80413.0,153633.00308699525,139129.17786330305,23707.0,ActiveLearning,Continuing
32,115,98439.0,148950.26385437587,136646.21032546717,23707.0,ActiveLearning,Continuing
33,56,133495.0,147815.35146868604,135394.14947552033,23707.0,ActiveLearning,Continuing
34,59,123157.0,106707.98682448367,113941.46360358597,23707.0,ActiveLearning,Continuing
35,60,38893.0,109572.58686361785,111500.22403715848,23707.0,ActiveLearning,Continuing
36,2,144074.0,109467.96960319897,109753.60272337534,23707.0,ActiveLearning,Continuing
37,87,183180.0,112504.4396351371,107432.72756917922,23707.0,ActiveLearning,Continuing
38,67,227835.0,116227.1169831239,104294.28407521761,23707.0,ActiveLearning,Continuing
39,61,449878.0,129079.45646418602,107426.09546925302,23707.0,ActiveLearning,Continuing
40,1,505657.0,155297.80778600162,140976.54793543613,23707.0,ActiveLearning,Continuing
41,116,26197.0,136282.08832046864,115949.09334452853,23707.0,ActiveLearning,Continuing
42,119,119938.0,126203.76640835925,113832.86045599356,23707.0,ActiveLearning,Continuing
43,98,147202.0,129469.40551828922,112085.79681000477,23707.0,ActiveLearning,Continuing
44,71,87667.0,132304.05972900643,109304.0334780957,23707.0,ActiveLearning,Continuing
45,39,98773.0,135427.61269105697,107286.60360652182,23707.0,ActiveLearning,Continuing
46,74,140574.0,134962.00241132895,107795.809977856,23707.0,ActiveLearning,Continuing
47,124,55524.0,142785.1772201924,107780.64519855416,23707.0,ActiveLearning,Continuing
48,75,59256.0,129872.76899475227,105817.06075481045,23707.0,ActiveLearning,Continuing
49,125,88158.0,120293.5300257472,103853.64991554023,23707.0,ActiveLearning,Continuing
50,127,184086.0,116018.36871350337,101786.89138353293,23707.0,ActiveLearning,Continuing
51,101,239057.0,126511.40926779169,100628.61209116298,23707.0,ActiveLearning,Continuing
52,102,129483.0,136734.10620981985,102586.28163089586,23707.0,ActiveLearning,Continuing
53,103,145224.0,149984.7139835979,102260.58076498257,23707.0,ActiveLearning,Continuing
54,91,225170.0,165014.81259318168,233087.59897942957,23707.0,ActiveLearning,Continuing
55,100,175885.0,157414.99991212116,100363.68152412034,23707.0,ActiveLearning,Continuing
56,94,136004.0,169748.3030280091,97796.46032566909,23707.0,ActiveLearning,Continuing
57,99,192477.0,168403.56833921708,97659.61931392137,23707.0,ActiveLearning,Continuing
58,72,339668.0,174725.8768756101,95644.7453214781,23707.0,ActiveLearning,Continuing
59,73,96638.0,176576.82078301808,98870.21960848497,23707.0,ActiveLearning,Continuing
60,104,208028.0,174855.10590090643,101198.70532251218,23707.0,ActiveLearning,Continuing
61,95,163985.0,176774.95464834457,97447.32155466138,23707.0,ActiveLearning,Continuing
62,120,91655.0,179264.927058135,97274.67620533914,23707.0,ActiveLearning,Continuing
63,121,107908.0,170737.09942246092,96638.981608362,23707.0,ActiveLearning,Continuing
64,122,168856.0,165116.1769522878,95666.56180127207,23707.0,ActiveLearning,Continuing
65,123,292981.0,165336.93558262254,94408.3272965996,23707.0,ActiveLearning,Continuing
66,105,141683.0,181715.51617698037,99088.87643571766,23707.0,ActiveLearning,Continuing
67,44,299002.0,202104.0918369256,96543.43657297509,23707.0,ActiveLearning,Continuing
68,37,342685.0,207309.33111027296,95358.77670910487,23707.0,ActiveLearning,Continuing
69,64,269180.0,219509.9681109393,120172.0176449622,23707.0,ActiveLearning,Continuing
70,76,272660.0,230595.89996581542,99234.54109084953,23707.0,ActiveLearning,Continuing
71,41,370439.0,236536.79839965844,95646.27977432616,23707.0,ActiveLearning,Continuing
72,34,287734.0,243231.0606343708,122092.2449316377,23707.0,ActiveLearning,Continuing
73,62,40621.0,242898.7336903369,95530.26955041413,23707.0,ActiveLearning,Continuing
74,96,383479.0,224032.49811820706,98056.44893981803,23707.0,ActiveLearning,Continuing
75,128,258154.0,237937.31809580894,111753.36038042438,23707.0,ActiveLearning,Continuing
76,129,316310.0,243948.72528101722,106365.97221775509,23707.0,ActiveLearning,Continuing
77,88,132641.0,253020.88529404145,98503.29391871204,23707.0,ActiveLearning,Continuing
78,30,209698.0,247682.54447256197,99218.4042430916,23707.0,ActiveLearning,Continuing
79,40,343647.0,254395.7340546599,97528.01385265864,23707.0,ActiveLearning,Continuing
80,131,422140.0,257805.47820137258,102898.08050386213,23707.0,ActiveLearning,Continuing
81,21,1167261.0,272403.5839567654,266506.3766626858,23707.0,ActiveLearning,Continuing
82,17,1103450.0,172158.85518752082,280519.07725101785,23707.0,ActiveLearning,Continuing
83,90,318600.0,239865.36649600786,112681.93694266035,23707.0,ActiveLearning,Continuing
84,35,302631.0,267158.71888600884,114052.37054475141,23707.0,ActiveLearning,Continuing
85,32,207474.0,268507.09176090517,99667.19771661497,23707.0,ActiveLearning,Continuing
86,3,239852.0,263676.6037002255,106870.4031863989,23707.0,ActiveLearning,Continuing
87,4,416657.0,257548.55656380783,103058.32514359802,23707.0,ActiveLearning,Continuing
88,89,120257.0,276344.752802946,99065.14610830128,23707.0,ActiveLearning,Continuing
89,33,132665.0,264915.3848667769,99841.35856041157,23707.0,ActiveLearning,Continuing
90,63,300244.0,259660.6337847261,101251.26601339436,23707.0,ActiveLearning,Continuing
91,97,206695.0,279292.80246742244,101074.37535022428,23707.0,ActiveLearning,Continuing
92,92,261756.0,300276.8726179421,130895.55867784003,23707.0,ActiveLearning,Continuing
93,70,286563.0,289936.3575358504,118341.6689823476,23707.0,ActiveLearning,Continuing
94,47,416405.0,273444.4943651594,129164.6468721376,23707.0,ActiveLearning,Continuing
95,5,253423.0,293651.4501788669,123708.34518697068,23707.0,ActiveLearning,Continuing
96,7,144556.0,316112.2745159056,154358.02825512938,23707.0,ActiveLearning,Continuing
97,8,351227.0,255820.99770603323,146104.39354655056,23707.0,ActiveLearning,Continuing
98,65,349707.0,298001.9863435448,138695.68400704078,23707.0,ActiveLearning,Continuing
99,6,273687.0,282993.95645654795,111012.20290198513,23707.0,ActiveLearning,Continuing
100,93,211852.0,282686.89923522295,107255.36555374954,23707.0,ActiveLearning,Continuing
101,38,224858.0,308950.24879052263,131867.49411466185,23707.0,ActiveLearning,Continuing
102,77,476197.0,350121.6221812866,129662.35239851917,23707.0,ActiveLearning,Continuing
103,43,228347.0,383146.8759817718,114072.34609872446,23707.0,ActiveLearning,Continuing
104,9,914156.0,363334.1441383559,133783.21898574493,23707.0,ActiveLearning,Continuing
105,45,481313.0,375639.42992824723,143428.2441532874,23707.0,ActiveLearning,Continuing
106,46,482674.0,386292.90070763865,142577.45720221315,23707.0,ActiveLearning,Continuing
107,49,234879.0,378353.344587498,109313.57857536482,23707.0,ActiveLearning,Continuing
108,50,199330.0,378795.4338771708,101992.4299375641,23707.0,ActiveLearning,Continuing
109,48,404845.0,377281.01474871323,142173.20215353242,23707.0,ActiveLearning,Continuing
110,52,456484.0,412932.59871710086,141632.32763218143,23707.0,ActiveLearning,Continuing
111,10,981850.0,418553.3561389048,142134.42896323634,23707.0,ActiveLearning,Continuing
112,23,1281399.0,335339.65996444534,317580.66482392565,23707.0,ActiveLearning,Continuing
113,79,548909.0,389325.32324421784,123477.55879971493,23707.0,ActiveLearning,Continuing
114,53,374938.0,391275.1157362225,104427.97564604961,23707.0,ActiveLearning,Continuing
115,54,376516.0,438131.0227134021,147637.83638552367,23707.0,ActiveLearning,Continuing
116,15,102012.0,465919.5285232934,123237.39473039686,23707.0,ActiveLearning,Continuing
117,16,128971.0,305395.31278909824,115897.00660307055,23707.0,ActiveLearning,Continuing
118,81,489801.0,275660.7555394148,123377.39596081023,23707.0,ActiveLearning,Continuing
119,111,375241.0,490049.83284769574,121372.81409139022,23707.0,ActiveLearning,Continuing
120,110,794499.0,459378.76915042667,129041.38272154426,23707.0,ActiveLearning,Continuing
121,13,714735.0,439462.3790251907,152636.86755381981,23707.0,ActiveLearning,Continuing
122,20,533060.0,527441.6522909536,132221.54221516938,23707.0,ActiveLearning,Continuing
123,132,503950.0,528908.4092277226,112580.73392914697,23707.0,ActiveLearning,Continuing
124,14,925193.0,446677.12527081947,155600.91790748033,23707.0,ActiveLearning,Continuing
125,106,437082.0,562875.1476730364,162139.4718617839,23707.0,ActiveLearning,Continuing
126,133,541686.0,507383.225992525,107875.57691736076,23707.0,ActiveLearning,Continuing
127,82,252642.0,516308.65238938824,106260.63406035145,23707.0,ActiveLearning,Continuing
128,108,719564.0,494866.34251795814,108073.23716065058,23707.0,ActiveLearning,Continuing
129,107,701140.0,564375.9466518901,112677.37617148948,23707.0,ActiveLearning,Continuing
130,25,876981.0,705445.5172007504,293975.93137845513,23707.0,ActiveLearning,Continuing
131,22,1182236.0,709307.451531645,169770.0100113396,23707.0,ActiveLearning,Continuing
132,18,1155542.0,1005514.3550300143,139547.94327924293,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1201594.4658134594,139571.64086485427,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1273040.3751642944,122863.13661412339,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1272167.62747145,115652.15227644013,23707.0,ActiveLearning,Continuing
136,138,1755056.0,1326795.22619307,113017.04977032232,23707.0,ActiveLearning,Continuing
137,136,1413800.0,1408064.9815411256,116857.18502720026,23707.0,ActiveLearning,Continuing
138,137,1583406.0,1409354.4563646037,114663.92925249953,23707.0,ActiveLearning,Continuing
