Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,4,416657.0,,,23707.0,WarmStart,WarmStart
1,11,284710.0,,,23707.0,WarmStart,WarmStart
2,12,602576.0,,,23707.0,WarmStart,WarmStart
3,16,128971.0,,,23707.0,WarmStart,WarmStart
4,19,446747.0,,,23707.0,WarmStart,WarmStart
5,26,1267615.0,,,23707.0,WarmStart,WarmStart
6,27,1274993.0,,,23707.0,WarmStart,WarmStart
7,31,316345.0,,,23707.0,WarmStart,WarmStart
8,36,190636.0,,,23707.0,WarmStart,WarmStart
9,42,482218.0,,,23707.0,WarmStart,WarmStart
10,51,293210.0,,,23707.0,WarmStart,WarmStart
11,55,463506.0,,,23707.0,WarmStart,WarmStart
12,60,38893.0,,,23707.0,WarmStart,WarmStart
13,66,284939.0,,,23707.0,WarmStart,WarmStart
14,68,180293.0,,,23707.0,WarmStart,WarmStart
15,69,252077.0,,,23707.0,WarmStart,WarmStart
16,73,96638.0,,,23707.0,WarmStart,WarmStart
17,78,127394.0,,,23707.0,WarmStart,WarmStart
18,80,438903.0,,,23707.0,WarmStart,WarmStart
19,86,91681.0,,,23707.0,WarmStart,WarmStart
20,109,452558.0,,,23707.0,WarmStart,WarmStart
21,112,23707.0,,,23707.0,WarmStart,WarmStart
22,117,38370.0,,,23707.0,WarmStart,WarmStart
23,118,107494.0,,,23707.0,WarmStart,WarmStart
24,126,93928.0,,,23707.0,WarmStart,WarmStart
25,130,319618.0,,,23707.0,WarmStart,WarmStart
26,132,503950.0,,,23707.0,WarmStart,WarmStart
27,134,593083.0,,,23707.0,WarmStart,WarmStart
28,135,1375402.0,,,23707.0,WarmStart,WarmStart
29,0,480185.0,43341.54390481241,156045.41778031102,23707.0,ActiveLearning,Continuing
30,59,123157.0,88893.75961597398,113473.48828778032,23707.0,ActiveLearning,Continuing
31,2,144074.0,97930.40112244898,110669.80128372871,23707.0,ActiveLearning,Continuing
32,87,183180.0,102872.10104844849,108081.46887189854,23707.0,ActiveLearning,Continuing
33,58,221696.0,110157.2577046455,107256.12830288446,23707.0,ActiveLearning,Continuing
34,61,449878.0,124030.90997295953,107583.7192098323,23707.0,ActiveLearning,Continuing
35,85,27122.0,153106.16621357074,130137.5747619833,23707.0,ActiveLearning,Continuing
36,28,57484.0,145684.9301777322,128346.68343547639,23707.0,ActiveLearning,Continuing
37,29,286689.0,137362.88045680732,125854.00324796444,23707.0,ActiveLearning,Continuing
38,67,227835.0,151238.36032404797,126856.07510668588,23707.0,ActiveLearning,Continuing
39,116,26197.0,165415.69851154837,125374.14116459058,23707.0,ActiveLearning,Continuing
40,119,119938.0,155437.66838875966,124074.33520590301,23707.0,ActiveLearning,Continuing
41,98,147202.0,155464.71364838947,121244.92869146344,23707.0,ActiveLearning,Continuing
42,71,87667.0,158643.21716825286,119660.69398848248,23707.0,ActiveLearning,Continuing
43,84,24723.0,158270.39167963038,119648.68098538529,23707.0,ActiveLearning,Continuing
44,113,59211.0,145648.79651655428,120420.81152865636,23707.0,ActiveLearning,Continuing
45,114,80413.0,138734.36776515687,119428.49723955746,23707.0,ActiveLearning,Continuing
46,115,98439.0,134574.14212907178,117802.73913428551,23707.0,ActiveLearning,Continuing
47,39,98773.0,138667.16801409758,115222.46460414557,23707.0,ActiveLearning,Continuing
48,57,237318.0,151608.14565922055,116145.15485868571,23707.0,ActiveLearning,Continuing
49,74,140574.0,152337.17744896258,112661.70568282233,23707.0,ActiveLearning,Continuing
50,101,239057.0,161388.27468331432,112334.17525219827,23707.0,ActiveLearning,Continuing
51,95,163985.0,160910.3993736377,111118.64328524205,23707.0,ActiveLearning,Continuing
52,94,136004.0,165519.1738238336,109973.11605922754,23707.0,ActiveLearning,Continuing
53,75,59256.0,169449.1580910431,109251.27792993806,23707.0,ActiveLearning,Continuing
54,124,55524.0,157451.71663791462,108239.09501891973,23707.0,ActiveLearning,Continuing
55,125,88158.0,146641.97206792072,107077.9605966349,23707.0,ActiveLearning,Continuing
56,127,184086.0,140374.3927510941,105457.21590813286,23707.0,ActiveLearning,Continuing
57,102,129483.0,148676.34029030873,104936.79173037758,23707.0,ActiveLearning,Continuing
58,100,175885.0,155635.3226562271,103026.6348517876,23707.0,ActiveLearning,Continuing
59,103,145224.0,158577.53190924705,104037.22041434361,23707.0,ActiveLearning,Continuing
60,21,1167261.0,170060.5684593935,235416.29613741292,23707.0,ActiveLearning,Continuing
61,17,1103450.0,180985.51833145018,293150.42087757384,23707.0,ActiveLearning,Continuing
62,99,192477.0,159536.2601949028,103482.06339448015,23707.0,ActiveLearning,Continuing
63,72,339668.0,166382.65233457345,101431.56846778747,23707.0,ActiveLearning,Continuing
64,104,208028.0,166724.7102036165,107388.28215794347,23707.0,ActiveLearning,Continuing
65,120,91655.0,173608.92903987263,103815.15004749144,23707.0,ActiveLearning,Continuing
66,121,107908.0,164145.68590995425,102714.67231302055,23707.0,ActiveLearning,Continuing
67,122,168856.0,158268.25460347664,101359.60999190154,23707.0,ActiveLearning,Continuing
68,123,292981.0,159185.31602130292,99863.72538581028,23707.0,ActiveLearning,Continuing
69,105,141683.0,194417.1017812959,106167.79378481704,23707.0,ActiveLearning,Continuing
