Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,8,351227.0,,,23707.0,WarmStart,WarmStart
1,9,914156.0,,,23707.0,WarmStart,WarmStart
2,11,284710.0,,,23707.0,WarmStart,WarmStart
3,16,128971.0,,,23707.0,WarmStart,WarmStart
4,17,1103450.0,,,23707.0,WarmStart,WarmStart
5,37,342685.0,,,23707.0,WarmStart,WarmStart
6,45,481313.0,,,23707.0,WarmStart,WarmStart
7,49,234879.0,,,23707.0,WarmStart,WarmStart
8,54,376516.0,,,23707.0,WarmStart,WarmStart
9,56,133495.0,,,23707.0,WarmStart,WarmStart
10,57,237318.0,,,23707.0,WarmStart,WarmStart
11,62,40621.0,,,23707.0,WarmStart,WarmStart
12,64,269180.0,,,23707.0,WarmStart,WarmStart
13,80,438903.0,,,23707.0,WarmStart,WarmStart
14,81,489801.0,,,23707.0,WarmStart,WarmStart
15,84,24723.0,,,23707.0,WarmStart,WarmStart
16,85,27122.0,,,23707.0,WarmStart,WarmStart
17,88,132641.0,,,23707.0,WarmStart,WarmStart
18,100,175885.0,,,23707.0,WarmStart,WarmStart
19,106,437082.0,,,23707.0,WarmStart,WarmStart
20,108,719564.0,,,23707.0,WarmStart,WarmStart
21,112,23707.0,,,23707.0,WarmStart,WarmStart
22,121,107908.0,,,23707.0,WarmStart,WarmStart
23,126,93928.0,,,23707.0,WarmStart,WarmStart
24,131,422140.0,,,23707.0,WarmStart,WarmStart
25,133,541686.0,,,23707.0,WarmStart,WarmStart
26,26,1267615.0,211256.9194061117,338473.4504495349,23707.0,ActiveLearning,Continuing
27,61,449878.0,123468.48019431929,162348.9481103661,23707.0,ActiveLearning,Continuing
28,0,480185.0,154118.0228285625,190887.19995638507,23707.0,ActiveLearning,Continuing
29,63,300244.0,174512.51628899967,192361.1894320541,23707.0,ActiveLearning,Continuing
30,33,132665.0,187746.12122324924,189420.11646520343,23707.0,ActiveLearning,Continuing
31,89,120257.0,179822.06795951969,183602.098043013,23707.0,ActiveLearning,Continuing
32,32,207474.0,172169.8380539674,178161.5528832714,23707.0,ActiveLearning,Continuing
33,30,209698.0,173500.91188801106,173654.93971941416,23707.0,ActiveLearning,Continuing
34,31,316345.0,174666.81130115537,169789.45425558023,23707.0,ActiveLearning,Continuing
35,2,144074.0,187096.5704269073,168728.4142147224,23707.0,ActiveLearning,Continuing
36,87,183180.0,183524.53574767083,164766.28739172494,23707.0,ActiveLearning,Continuing
37,60,38893.0,183916.76453761582,161161.78178591418,23707.0,ActiveLearning,Continuing
38,59,123157.0,176843.98906076694,159590.47119529726,23707.0,ActiveLearning,Continuing
39,86,91681.0,175247.35022470224,156551.14019776558,23707.0,ActiveLearning,Continuing
40,58,221696.0,171480.94640328054,153992.30198258822,23707.0,ActiveLearning,Continuing
41,96,383479.0,176812.46762146865,151467.12861392062,23707.0,ActiveLearning,Continuing
42,28,57484.0,183292.1536737174,155185.62012557045,23707.0,ActiveLearning,Continuing
43,29,286689.0,176347.52168679732,153739.07543919343,23707.0,ActiveLearning,Continuing
44,113,59211.0,185065.2730771742,153419.4698159908,23707.0,ActiveLearning,Continuing
45,114,80413.0,177585.3899020271,152210.7286646547,23707.0,ActiveLearning,Continuing
46,115,98439.0,171993.5587569603,150437.55197770044,23707.0,ActiveLearning,Continuing
