Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,12,602576.0,,,23707.0,WarmStart,WarmStart
1,31,316345.0,,,23707.0,WarmStart,WarmStart
2,42,482218.0,,,23707.0,WarmStart,WarmStart
3,51,293210.0,,,23707.0,WarmStart,WarmStart
4,55,463506.0,,,23707.0,WarmStart,WarmStart
5,66,284939.0,,,23707.0,WarmStart,WarmStart
6,68,180293.0,,,23707.0,WarmStart,WarmStart
7,112,23707.0,,,23707.0,WarmStart,WarmStart
8,118,107494.0,,,23707.0,WarmStart,WarmStart
9,126,93928.0,,,23707.0,WarmStart,WarmStart
10,135,1375402.0,,,23707.0,WarmStart,WarmStart
11,0,480185.0,57655.73952733553,170568.28339143674,23707.0,ActiveLearning,Continuing
12,1,505657.0,196137.38614834237,237375.0345090452,23707.0,ActiveLearning,Continuing
13,7,144556.0,284177.6568296126,269077.6784837972,23707.0,ActiveLearning,Continuing
14,8,351227.0,247315.08171703495,243132.4737627888,23707.0,ActiveLearning,Continuing
15,56,133495.0,260164.89460556704,218931.90969803883,23707.0,ActiveLearning,Continuing
16,57,237318.0,244917.14431644176,206751.04994588418,23707.0,ActiveLearning,Continuing
17,84,24723.0,245143.54098870454,193140.84766634417,23707.0,ActiveLearning,Continuing
18,114,80413.0,225212.51539460034,193826.40168629476,23707.0,ActiveLearning,Continuing
19,113,59211.0,212469.4774531581,188254.12067295096,23707.0,ActiveLearning,Continuing
20,115,98439.0,200144.09420864034,184159.457591828,23707.0,ActiveLearning,Continuing
21,28,57484.0,194879.56933593698,177943.09693558255,23707.0,ActiveLearning,Continuing
22,29,286689.0,185199.22296038852,174148.19488303253,23707.0,ActiveLearning,Continuing
23,85,27122.0,192844.76675733936,170416.33850503727,23707.0,ActiveLearning,Continuing
24,58,221696.0,183451.83117356533,168982.6096192082,23707.0,ActiveLearning,Continuing
25,86,91681.0,185625.01846782907,164131.5401141587,23707.0,ActiveLearning,Continuing
26,59,123157.0,180861.6278768897,160381.26189611887,23707.0,ActiveLearning,Continuing
27,60,38893.0,177016.00980658218,156084.36687834928,23707.0,ActiveLearning,Continuing
28,21,1167261.0,47174.81541205259,333495.9512865519,23707.0,ActiveLearning,Continuing
29,62,40621.0,158322.93971069355,154563.03309406125,23707.0,ActiveLearning,Continuing
30,89,120257.0,143585.61778674237,153003.93163382483,23707.0,ActiveLearning,Continuing
31,33,132665.0,138220.06159003364,148596.16653730755,23707.0,ActiveLearning,Continuing
32,32,207474.0,134942.46594073184,143645.81604399122,23707.0,ActiveLearning,Continuing
33,30,209698.0,141603.28729752294,141041.06196655027,23707.0,ActiveLearning,Continuing
34,88,132641.0,146692.63838472942,138828.8428691001,23707.0,ActiveLearning,Continuing
35,63,300244.0,149534.08029283935,138095.31944385302,23707.0,ActiveLearning,Continuing
36,61,449878.0,155158.98528211893,135621.41582669163,23707.0,ActiveLearning,Continuing
37,2,144074.0,170392.9832975651,145582.11034774143,23707.0,ActiveLearning,Continuing
38,87,183180.0,168841.22379256153,142916.9026910099,23707.0,ActiveLearning,Continuing
39,67,227835.0,180169.51495250236,140464.89937467038,23707.0,ActiveLearning,Continuing
40,95,163985.0,182327.0874752052,138557.53537183726,23707.0,ActiveLearning,Continuing
41,36,190636.0,182240.48009143342,136612.24436831765,23707.0,ActiveLearning,Continuing
42,37,342685.0,182082.23462511555,134436.98573530524,23707.0,ActiveLearning,Continuing
43,94,136004.0,186722.69979826114,136782.2641008344,23707.0,ActiveLearning,Continuing
44,96,383479.0,190076.28924489018,134504.00741197425,23707.0,ActiveLearning,Continuing
45,39,98773.0,196922.2043502364,136900.67917397374,23707.0,ActiveLearning,Continuing
46,71,87667.0,193673.84211289958,135794.03495399357,23707.0,ActiveLearning,Continuing
47,116,26197.0,203736.5508528319,134816.55826788483,23707.0,ActiveLearning,Continuing
48,117,38370.0,197856.98315621357,135831.97088337256,23707.0,ActiveLearning,Continuing
49,119,119938.0,192575.70541017636,136197.5686126648,23707.0,ActiveLearning,Continuing
50,72,339668.0,192909.38942705566,136415.5683227664,23707.0,ActiveLearning,Continuing
51,69,252077.0,201890.69951510453,137540.61798766442,23707.0,ActiveLearning,Continuing
52,3,239852.0,207786.48949535636,137986.59630267616,23707.0,ActiveLearning,Continuing
53,40,343647.0,207280.66029090437,133184.99111100435,23707.0,ActiveLearning,Continuing
54,98,147202.0,211411.462215706,132914.85804182538,23707.0,ActiveLearning,Continuing
55,4,416657.0,216594.53342664414,135027.06707530058,23707.0,ActiveLearning,Continuing
56,99,192477.0,214663.1759970205,135063.90821479628,23707.0,ActiveLearning,Continuing
57,73,96638.0,222328.94310746083,131541.16847785172,23707.0,ActiveLearning,Continuing
58,101,239057.0,222860.02586679775,132513.53334561866,23707.0,ActiveLearning,Continuing
59,74,140574.0,224222.78193904343,129959.07037363193,23707.0,ActiveLearning,Continuing
60,76,272660.0,226038.098649743,131815.19994562343,23707.0,ActiveLearning,Continuing
61,100,175885.0,228632.7172674579,127149.97695511383,23707.0,ActiveLearning,Continuing
62,75,59256.0,221149.94356184918,125047.08571728022,23707.0,ActiveLearning,Continuing
63,124,55524.0,196606.3128895487,120708.2811556801,23707.0,ActiveLearning,Continuing
64,125,88158.0,182549.235576068,119279.58138366626,23707.0,ActiveLearning,Continuing
65,127,184086.0,173253.98488303865,117568.66588798666,23707.0,ActiveLearning,Continuing
66,102,129483.0,181966.49277882214,116687.92026634188,23707.0,ActiveLearning,Continuing
67,103,145224.0,183147.6195794145,117006.38290435619,23707.0,ActiveLearning,Continuing
68,120,91655.0,180568.4089370843,112313.12827729198,23707.0,ActiveLearning,Continuing
69,121,107908.0,175329.42403470908,111352.43072595961,23707.0,ActiveLearning,Continuing
70,122,168856.0,171298.29061984946,110240.14743052612,23707.0,ActiveLearning,Continuing
71,123,292981.0,170743.56279014295,109047.71831671786,23707.0,ActiveLearning,Continuing
72,128,258154.0,203164.74239476246,123242.98666762745,23707.0,ActiveLearning,Continuing
73,78,127394.0,198974.39292868893,111123.66571102054,23707.0,ActiveLearning,Continuing
74,104,208028.0,197723.50562457592,110108.97410170056,23707.0,ActiveLearning,Continuing
75,129,316310.0,211881.1341157575,116758.16108574213,23707.0,ActiveLearning,Continuing
76,41,370439.0,206962.45620179342,107970.04453670558,23707.0,ActiveLearning,Continuing
77,130,319618.0,231964.1960480484,115731.81910962044,23707.0,ActiveLearning,Continuing
78,44,299002.0,233505.66934879954,109881.91938555602,23707.0,ActiveLearning,Continuing
79,105,141683.0,240830.91820049775,109554.1724137419,23707.0,ActiveLearning,Continuing
80,131,422140.0,240667.62579786245,112679.45291234204,23707.0,ActiveLearning,Continuing
81,65,349707.0,296295.0891632626,123100.77561869039,23707.0,ActiveLearning,Continuing
82,97,206695.0,284640.1596218943,110598.3640365354,23707.0,ActiveLearning,Continuing
83,47,416405.0,332650.35919452406,114510.58495465893,23707.0,ActiveLearning,Continuing
84,90,318600.0,348775.22993719595,115055.49136705778,23707.0,ActiveLearning,Continuing
85,9,914156.0,369800.3017372037,129270.1625210868,23707.0,ActiveLearning,Continuing
86,23,1281399.0,126452.20019903693,328492.1801002356,23707.0,ActiveLearning,Continuing
87,38,224858.0,371463.1803366015,129700.54576412399,23707.0,ActiveLearning,Continuing
88,45,481313.0,354497.91124066495,122950.31975713554,23707.0,ActiveLearning,Continuing
89,64,269180.0,361306.28237291315,123490.71494045861,23707.0,ActiveLearning,Continuing
90,91,225170.0,352865.5132243787,122795.21014220234,23707.0,ActiveLearning,Continuing
91,34,287734.0,331776.72582982155,126451.58446527924,23707.0,ActiveLearning,Continuing
92,93,211852.0,253971.2780320142,123384.68297807958,23707.0,ActiveLearning,Continuing
93,35,302631.0,275615.71411037573,127448.76250999038,23707.0,ActiveLearning,Continuing
94,5,253423.0,246023.30555407237,114187.26188248185,23707.0,ActiveLearning,Continuing
95,92,261756.0,285812.48118421546,126207.16262527836,23707.0,ActiveLearning,Continuing
