Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,36,190636.0,,,23707.0,WarmStart,WarmStart
6,42,482218.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,55,463506.0,,,23707.0,WarmStart,WarmStart
9,66,284939.0,,,23707.0,WarmStart,WarmStart
10,68,180293.0,,,23707.0,WarmStart,WarmStart
11,69,252077.0,,,23707.0,WarmStart,WarmStart
12,78,127394.0,,,23707.0,WarmStart,WarmStart
13,80,438903.0,,,23707.0,WarmStart,WarmStart
14,86,91681.0,,,23707.0,WarmStart,WarmStart
15,109,452558.0,,,23707.0,WarmStart,WarmStart
16,112,23707.0,,,23707.0,WarmStart,WarmStart
17,117,38370.0,,,23707.0,WarmStart,WarmStart
18,118,107494.0,,,23707.0,WarmStart,WarmStart
19,126,93928.0,,,23707.0,WarmStart,WarmStart
20,130,319618.0,,,23707.0,WarmStart,WarmStart
21,134,593083.0,,,23707.0,WarmStart,WarmStart
22,135,1375402.0,,,23707.0,WarmStart,WarmStart
23,0,480185.0,56306.58792779104,148314.5128797701,23707.0,ActiveLearning,Continuing
24,1,505657.0,181967.47915073525,164838.14827293306,23707.0,ActiveLearning,Continuing
25,60,38893.0,105054.58927960164,120442.42968989002,23707.0,ActiveLearning,Continuing
26,59,123157.0,92967.68075921982,115173.79727478026,23707.0,ActiveLearning,Continuing
27,2,144074.0,100417.2751997632,111507.72242462102,23707.0,ActiveLearning,Continuing
28,87,183180.0,105661.17151874845,108009.65675694989,23707.0,ActiveLearning,Continuing
29,58,221696.0,116057.33546150292,106164.77423840702,23707.0,ActiveLearning,Continuing
30,61,449878.0,126891.75020625498,106760.18003512698,23707.0,ActiveLearning,Continuing
31,62,40621.0,186067.66974827633,150953.52640896043,23707.0,ActiveLearning,Continuing
32,88,132641.0,174921.36764912863,150701.5753833833,23707.0,ActiveLearning,Continuing
33,30,209698.0,172119.7266230026,147329.71323248337,23707.0,ActiveLearning,Continuing
34,95,163985.0,154203.90845964203,124669.41619619205,23707.0,ActiveLearning,Continuing
35,85,27122.0,156895.94859775493,122989.81445030303,23707.0,ActiveLearning,Continuing
36,67,227835.0,152575.91635606674,121582.09010131155,23707.0,ActiveLearning,Continuing
37,98,147202.0,162688.2731160662,120137.1370348275,23707.0,ActiveLearning,Continuing
38,116,26197.0,160848.7761869083,117285.34898520765,23707.0,ActiveLearning,Continuing
39,119,119938.0,150385.88749661294,116634.86670711584,23707.0,ActiveLearning,Continuing
40,28,57484.0,152035.67876401392,115517.7873748407,23707.0,ActiveLearning,Continuing
41,29,286689.0,144173.7643187619,114217.36594987538,23707.0,ActiveLearning,Continuing
42,74,140574.0,156548.66402075766,115846.52228284863,23707.0,ActiveLearning,Continuing
43,73,96638.0,158374.53162883114,113428.05111029399,23707.0,ActiveLearning,Continuing
44,100,175885.0,154959.34021010634,112500.38530151684,23707.0,ActiveLearning,Continuing
45,21,1167261.0,292136.16448583227,244171.8983691198,23707.0,ActiveLearning,Continuing
46,17,1103450.0,192917.96048894673,278886.2912440637,23707.0,ActiveLearning,Continuing
47,32,207474.0,146416.20426887108,161922.33688161196,23707.0,ActiveLearning,Continuing
48,89,120257.0,151947.2252069673,160247.00116061597,23707.0,ActiveLearning,Continuing
49,33,132665.0,150737.39488004704,158180.7877548789,23707.0,ActiveLearning,Continuing
50,96,383479.0,151455.9926010985,153617.98415101654,23707.0,ActiveLearning,Continuing
51,37,342685.0,161773.47290471641,156244.37665730418,23707.0,ActiveLearning,Continuing
52,63,300244.0,176947.6122153029,161045.56185538255,23707.0,ActiveLearning,Continuing
53,84,24723.0,180262.4742214947,157884.65436381314,23707.0,ActiveLearning,Continuing
54,113,59211.0,172059.7133889931,158041.08242359862,23707.0,ActiveLearning,Continuing
55,114,80413.0,166635.8367256015,157229.9673735488,23707.0,ActiveLearning,Continuing
56,115,98439.0,162791.44408432045,156010.68167252894,23707.0,ActiveLearning,Continuing
57,57,237318.0,164603.11520559312,155568.66624770517,23707.0,ActiveLearning,Continuing
58,34,287734.0,144204.39568907404,254848.85244001404,23707.0,ActiveLearning,Continuing
59,56,133495.0,170531.11042171088,152780.10960866278,23707.0,ActiveLearning,Continuing
60,94,136004.0,173629.83854660115,150647.4400417887,23707.0,ActiveLearning,Continuing
61,71,87667.0,174068.14076089114,148073.30079781433,23707.0,ActiveLearning,Continuing
62,39,98773.0,172473.6864417115,147182.92745294786,23707.0,ActiveLearning,Continuing
63,40,343647.0,184397.37683611587,146607.9992483032,23707.0,ActiveLearning,Continuing
64,101,239057.0,133891.79482084364,108954.35811964466,23707.0,ActiveLearning,Continuing
65,75,59256.0,148256.10116921054,109129.5005827496,23707.0,ActiveLearning,Continuing
66,124,55524.0,137300.07101443736,107708.48923684692,23707.0,ActiveLearning,Continuing
67,125,88158.0,128120.70382989525,106364.89480870048,23707.0,ActiveLearning,Continuing
68,127,184086.0,123806.66979872921,104802.24204727651,23707.0,ActiveLearning,Continuing
69,102,129483.0,138580.3642834932,104928.55452653885,23707.0,ActiveLearning,Continuing
70,103,145224.0,154367.53328978177,105214.58818635035,23707.0,ActiveLearning,Continuing
71,99,192477.0,159105.93128102232,103175.46213547226,23707.0,ActiveLearning,Continuing
72,72,339668.0,167778.0495173721,101137.39345922199,23707.0,ActiveLearning,Continuing
73,104,208028.0,182616.5451719843,107421.09924380507,23707.0,ActiveLearning,Continuing
74,120,91655.0,183429.39465720463,136904.68171786197,23707.0,ActiveLearning,Continuing
75,121,107908.0,175904.7878396293,102662.91165662215,23707.0,ActiveLearning,Continuing
76,122,168856.0,169584.59241943798,101781.89073896145,23707.0,ActiveLearning,Continuing
77,123,292981.0,169556.6498534935,100542.65797085241,23707.0,ActiveLearning,Continuing
78,105,141683.0,197670.9478895515,106416.62138960257,23707.0,ActiveLearning,Continuing
79,90,318600.0,218932.31057785335,126839.29135068896,23707.0,ActiveLearning,Continuing
80,44,299002.0,202767.17144988614,103110.85397501326,23707.0,ActiveLearning,Continuing
81,76,272660.0,226945.15521858263,106138.7439994324,23707.0,ActiveLearning,Continuing
82,41,370439.0,228332.65195346667,101666.52673191819,23707.0,ActiveLearning,Continuing
83,3,239852.0,250526.25642332726,111985.16202791642,23707.0,ActiveLearning,Continuing
84,4,416657.0,247708.6865299474,107113.36150443132,23707.0,ActiveLearning,Continuing
85,93,211852.0,318706.4828238837,183930.09754994937,23707.0,ActiveLearning,Continuing
86,5,253423.0,240706.86799946622,125149.17792571888,23707.0,ActiveLearning,Continuing
87,6,273687.0,246515.56989673118,113668.11408058189,23707.0,ActiveLearning,Continuing
88,97,206695.0,221396.37088107338,133648.1078172884,23707.0,ActiveLearning,Continuing
89,128,258154.0,268115.95760252746,114568.69320300745,23707.0,ActiveLearning,Continuing
90,131,422140.0,264849.0912357903,108037.67640954467,23707.0,ActiveLearning,Continuing
91,92,261756.0,266715.979805404,109715.61148271803,23707.0,ActiveLearning,Continuing
92,64,269180.0,254612.14636758313,133412.60732137374,23707.0,ActiveLearning,Continuing
93,70,286563.0,266581.5812477972,104746.08019048738,23707.0,ActiveLearning,Continuing
94,35,302631.0,280627.58132893225,103814.9900810198,23707.0,ActiveLearning,Continuing
95,77,476197.0,334393.03623155603,153791.05476910932,23707.0,ActiveLearning,Continuing
96,91,225170.0,266462.3941157715,130256.1131042532,23707.0,ActiveLearning,Continuing
97,7,144556.0,363688.8474941849,186533.49055408398,23707.0,ActiveLearning,Continuing
98,8,351227.0,196753.12042141956,123626.58519141728,23707.0,ActiveLearning,Continuing
99,65,349707.0,272479.756084581,113801.18707777247,23707.0,ActiveLearning,Continuing
100,129,316310.0,296986.64875228883,104949.84378735133,23707.0,ActiveLearning,Continuing
101,38,224858.0,309204.54855850345,114879.39283615124,23707.0,ActiveLearning,Continuing
102,47,416405.0,282574.61935735587,127907.71472320949,23707.0,ActiveLearning,Continuing
103,25,876981.0,532849.2634013182,301441.4281842565,23707.0,ActiveLearning,Continuing
104,45,481313.0,371554.1429243308,110304.77537456919,23707.0,ActiveLearning,Continuing
105,43,228347.0,392299.0313033412,110219.30785861598,23707.0,ActiveLearning,Continuing
106,9,914156.0,371144.2239635917,135499.63981794598,23707.0,ActiveLearning,Continuing
107,49,234879.0,375391.14568325493,109002.3503416344,23707.0,ActiveLearning,Continuing
108,46,482674.0,375584.4651954912,144087.9655415001,23707.0,ActiveLearning,Continuing
109,48,404845.0,391894.8954366864,143352.92397154288,23707.0,ActiveLearning,Continuing
110,50,199330.0,380499.1566453608,101407.65571765322,23707.0,ActiveLearning,Continuing
111,79,548909.0,391315.58208478586,123009.98128990158,23707.0,ActiveLearning,Continuing
112,52,456484.0,377477.6651566926,104617.36960977837,23707.0,ActiveLearning,Continuing
113,10,981850.0,418278.13815050997,143225.72159873383,23707.0,ActiveLearning,Continuing
114,53,374938.0,390023.44341945526,103265.80966036397,23707.0,ActiveLearning,Continuing
115,54,376516.0,392726.84285493323,104500.70759073773,23707.0,ActiveLearning,Continuing
116,23,1281399.0,595568.3862350559,286289.2765795058,23707.0,ActiveLearning,Continuing
117,15,102012.0,466984.23333014565,121942.77069053898,23707.0,ActiveLearning,Continuing
118,16,128971.0,445546.3100448765,152358.76666536994,23707.0,ActiveLearning,Continuing
119,81,489801.0,287906.0114569579,121955.19576606934,23707.0,ActiveLearning,Continuing
120,107,701140.0,500079.11257687124,133361.54401152206,23707.0,ActiveLearning,Continuing
121,20,533060.0,517259.71796011843,130648.46361433288,23707.0,ActiveLearning,Continuing
122,111,375241.0,537426.1650878118,113934.14906492966,23707.0,ActiveLearning,Continuing
123,13,714735.0,429819.36643541825,154468.3707561062,23707.0,ActiveLearning,Continuing
124,82,252642.0,517718.4825226552,110039.99516897505,23707.0,ActiveLearning,Continuing
125,14,925193.0,434462.3623774313,158620.12181229555,23707.0,ActiveLearning,Continuing
126,132,503950.0,467672.49648029334,110058.71910383878,23707.0,ActiveLearning,Continuing
127,106,437082.0,541405.342470635,164675.82527575514,23707.0,ActiveLearning,Continuing
128,133,541686.0,463814.9006574492,107242.35575299113,23707.0,ActiveLearning,Continuing
129,108,719564.0,574348.1616431224,163454.6435555232,23707.0,ActiveLearning,Continuing
130,110,794499.0,545409.6103258809,117047.93285699686,23707.0,ActiveLearning,Continuing
131,22,1182236.0,709307.4515316464,169770.01001135283,23707.0,ActiveLearning,Continuing
132,18,1155542.0,1005514.3550300145,139547.94327924325,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1201594.4658134603,139571.64086485398,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1273040.3751642886,122863.13661413311,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1272167.62747145,115652.15227643926,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1326795.2261929926,113017.0497704661,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1344170.5890779395,110352.03456187627,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1382902.5066052165,110313.05796201341,23707.0,ActiveLearning,Continuing
