Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,36,190636.0,,,23707.0,WarmStart,WarmStart
6,42,482218.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,55,463506.0,,,23707.0,WarmStart,WarmStart
9,66,284939.0,,,23707.0,WarmStart,WarmStart
10,68,180293.0,,,23707.0,WarmStart,WarmStart
11,69,252077.0,,,23707.0,WarmStart,WarmStart
12,78,127394.0,,,23707.0,WarmStart,WarmStart
13,80,438903.0,,,23707.0,WarmStart,WarmStart
14,86,91681.0,,,23707.0,WarmStart,WarmStart
15,109,452558.0,,,23707.0,WarmStart,WarmStart
16,112,23707.0,,,23707.0,WarmStart,WarmStart
17,117,38370.0,,,23707.0,WarmStart,WarmStart
18,118,107494.0,,,23707.0,WarmStart,WarmStart
19,126,93928.0,,,23707.0,WarmStart,WarmStart
20,130,319618.0,,,23707.0,WarmStart,WarmStart
21,134,593083.0,,,23707.0,WarmStart,WarmStart
22,135,1375402.0,,,23707.0,WarmStart,WarmStart
23,116,26197.0,86304.5710952381,246569.0,23707.0,ActiveLearning,Continuing
24,119,119938.0,61830.092231150804,81297.0,23707.0,ActiveLearning,Continuing
25,84,24723.0,91849.33736309524,261232.0,23707.0,ActiveLearning,Continuing
26,57,237318.0,46317.21591666669,261232.0,23707.0,ActiveLearning,Continuing
27,113,59211.0,50356.467139880966,213611.0,23707.0,ActiveLearning,Continuing
28,114,80413.0,42500.94993253969,35504.0,23707.0,ActiveLearning,Continuing
29,115,98439.0,49935.04406240982,45597.0,23707.0,ActiveLearning,Continuing
30,101,239057.0,103220.31483820343,243151.84999999983,23707.0,ActiveLearning,Continuing
31,98,147202.0,111859.17162689395,286178.06499999994,23707.0,ActiveLearning,Continuing
32,58,221696.0,119057.25335569288,235395.29374999995,23707.0,ActiveLearning,Continuing
33,75,59256.0,126923.60091071427,251635.68333333323,23707.0,ActiveLearning,Continuing
34,124,55524.0,91538.40521130951,90117.69999999987,23707.0,ActiveLearning,Continuing
35,125,88158.0,74784.91194047614,38404.0,23707.0,ActiveLearning,Continuing
36,127,184086.0,74023.53489682535,35519.0,23707.0,ActiveLearning,Continuing
37,39,98773.0,86462.12009992784,249508.95142857142,23707.0,ActiveLearning,Continuing
38,71,87667.0,127974.14258802308,235999.59999999998,23707.0,ActiveLearning,Continuing
39,102,129483.0,140365.56449206342,263196.82678571425,23707.0,ActiveLearning,Continuing
40,100,175885.0,148517.876859127,224664.0,23707.0,ActiveLearning,Continuing
41,74,140574.0,145202.78000000003,89129.14999999997,23707.0,ActiveLearning,Continuing
42,104,208028.0,142322.863,63621.44999999965,23707.0,ActiveLearning,Continuing
43,28,57484.0,162620.52979031383,242558.9714285714,23707.0,ActiveLearning,Continuing
44,29,286689.0,96885.16511769482,230352.46666666665,23707.0,ActiveLearning,Continuing
45,59,123157.0,175619.9260151515,224664.0,23707.0,ActiveLearning,Continuing
46,60,38893.0,153950.08550000002,224664.0,23707.0,ActiveLearning,Continuing
47,2,144074.0,105386.0,277452.0,23707.0,ActiveLearning,Continuing
48,87,183180.0,127786.215,136992.0,23707.0,ActiveLearning,Continuing
49,61,449878.0,153714.7919047619,144287.0,23707.0,ActiveLearning,Continuing
50,103,145224.0,183375.23862950932,251635.41666666666,23707.0,ActiveLearning,Continuing
51,76,272660.0,283873.88648214284,1212846.6208333333,23707.0,ActiveLearning,Continuing
52,105,141683.0,190731.8201369048,192224.0,23707.0,ActiveLearning,Continuing
53,73,96638.0,201135.5774623016,322484.0,23707.0,ActiveLearning,Continuing
54,120,91655.0,155987.41166666662,350265.55,23707.0,ActiveLearning,Continuing
55,121,107908.0,120232.61558333333,116373.0,23707.0,ActiveLearning,Continuing
56,122,168856.0,106185.94029166667,65584.68666666668,23707.0,ActiveLearning,Continuing
57,123,292981.0,127261.52328174614,77201.0,23707.0,ActiveLearning,Continuing
58,85,27122.0,202745.4235654762,227455.0,23707.0,ActiveLearning,Continuing
59,67,227835.0,127615.964140873,257817.0,23707.0,ActiveLearning,Continuing
60,94,136004.0,206694.22401100292,222512.9854545454,23707.0,ActiveLearning,Continuing
61,72,339668.0,179539.4617876984,211339.66666666666,23707.0,ActiveLearning,Continuing
62,44,299002.0,205319.58572420635,188951.0,23707.0,ActiveLearning,Continuing
63,37,342685.0,231279.25330357146,286576.88333333307,23707.0,ActiveLearning,Continuing
64,33,132665.0,254434.0945,269585.0,23707.0,ActiveLearning,Continuing
65,89,120257.0,185253.73337499998,183680.0,23707.0,ActiveLearning,Continuing
66,32,207474.0,164336.506,196088.0,23707.0,ActiveLearning,Continuing
67,63,300244.0,184786.10083333333,131820.0,23707.0,ActiveLearning,Continuing
68,40,343647.0,264404.2800386905,162392.0,23707.0,ActiveLearning,Continuing
69,56,133495.0,274636.1717040043,281356.12499999994,23707.0,ActiveLearning,Continuing
70,99,192477.0,273975.7074345238,240895.0,23707.0,ActiveLearning,Continuing
71,97,206695.0,287620.4275,349553.0,23707.0,ActiveLearning,Continuing
72,47,416405.0,283792.18524702376,310978.0,23707.0,ActiveLearning,Continuing
73,62,40621.0,279456.28256250004,153011.0,23707.0,ActiveLearning,Continuing
74,96,383479.0,190628.41164285713,302064.0,23707.0,ActiveLearning,Continuing
75,88,132641.0,283678.82,342858.0,23707.0,ActiveLearning,Continuing
76,30,209698.0,265759.4,183704.0,23707.0,ActiveLearning,Continuing
77,95,163985.0,288965.08332233044,353240.0,23707.0,ActiveLearning,Continuing
78,128,258154.0,287704.85197222227,174394.0,23707.0,ActiveLearning,Continuing
79,129,316310.0,280298.633875,174394.0,23707.0,ActiveLearning,Continuing
80,41,370439.0,302723.4080109127,221140.29999999993,23707.0,ActiveLearning,Continuing
81,131,422140.0,295245.3427063492,61464.0,23707.0,ActiveLearning,Continuing
82,3,239852.0,347686.12608333334,460418.0,23707.0,ActiveLearning,Continuing
83,4,416657.0,278958.27441666665,275523.0,23707.0,ActiveLearning,Continuing
84,90,318600.0,334386.6737797619,176805.0,23707.0,ActiveLearning,Continuing
85,70,286563.0,336726.85776785715,275523.0,23707.0,ActiveLearning,Continuing
86,92,261756.0,317520.210625,223654.0,23707.0,ActiveLearning,Continuing
87,34,287734.0,281751.183125,66498.5,23707.0,ActiveLearning,Continuing
88,5,253423.0,288392.504375,177147.0,23707.0,ActiveLearning,Continuing
89,6,273687.0,264948.565,34311.0,23707.0,ActiveLearning,Continuing
90,93,211852.0,265789.37131746026,33140.0,23707.0,ActiveLearning,Continuing
91,38,224858.0,266972.8518333333,270623.84999999974,23707.0,ActiveLearning,Continuing
92,65,349707.0,274520.8215,270366.0,23707.0,ActiveLearning,Continuing
93,35,302631.0,282146.6954166666,25978.0,23707.0,ActiveLearning,Continuing
94,91,225170.0,299197.8782916667,30866.0,23707.0,ActiveLearning,Continuing
95,64,269180.0,254283.04762500004,93430.0,23707.0,ActiveLearning,Continuing
96,7,144556.0,349063.2747916667,270366.0,23707.0,ActiveLearning,Continuing
97,8,351227.0,222051.21583333335,205151.0,23707.0,ActiveLearning,Continuing
98,52,456484.0,345841.6007321428,189008.0,23707.0,ActiveLearning,Continuing
99,77,476197.0,379209.4388690477,270366.0,23707.0,ActiveLearning,Continuing
100,53,374938.0,385998.4090357146,170296.0,23707.0,ActiveLearning,Continuing
101,48,404845.0,397719.0623750001,189008.0,23707.0,ActiveLearning,Continuing
102,50,199330.0,411619.60591666674,189008.0,23707.0,ActiveLearning,Continuing
103,49,234879.0,360406.22583333333,276867.0,23707.0,ActiveLearning,Continuing
104,43,228347.0,364844.6275,282888.0,23707.0,ActiveLearning,Continuing
105,45,481313.0,390795.30020833336,282888.0,23707.0,ActiveLearning,Continuing
106,79,548909.0,419025.28983333334,241318.0,23707.0,ActiveLearning,Continuing
107,46,482674.0,451016.6778333334,182645.84999999974,23707.0,ActiveLearning,Continuing
108,15,102012.0,450416.354,173971.0,23707.0,ActiveLearning,Continuing
109,16,128971.0,218724.08608333336,361494.0,23707.0,ActiveLearning,Continuing
110,81,489801.0,277871.8179285714,446897.0,23707.0,ActiveLearning,Continuing
111,13,714735.0,382548.2529166666,446897.0,23707.0,ActiveLearning,Continuing
112,54,376516.0,415076.44333333336,264176.0,23707.0,ActiveLearning,Continuing
113,21,1167261.0,453567.8195833333,612723.0,23707.0,ActiveLearning,Continuing
114,0,480185.0,361669.63729365065,1192539.2416666667,23707.0,ActiveLearning,Continuing
115,9,914156.0,442430.92979996384,997453.6666666667,23707.0,ActiveLearning,Continuing
116,1,505657.0,483791.9115416668,780661.0,23707.0,ActiveLearning,Continuing
117,107,701140.0,535602.26575,271328.99999999977,23707.0,ActiveLearning,Continuing
118,82,252642.0,548310.05825,257497.0,23707.0,ActiveLearning,Continuing
119,108,719564.0,371721.205,448498.0,23707.0,ActiveLearning,Continuing
120,111,375241.0,423833.195,466922.0,23707.0,ActiveLearning,Continuing
121,132,503950.0,503656.14683333336,349934.0,23707.0,ActiveLearning,Continuing
122,133,541686.0,523370.7633809525,340441.0,23707.0,ActiveLearning,Continuing
123,110,794499.0,540844.0970833334,466922.0,23707.0,ActiveLearning,Continuing
124,20,533060.0,631565.80275,933221.6666666667,23707.0,ActiveLearning,Continuing
125,14,925193.0,619865.9487916667,585764.0,23707.0,ActiveLearning,Continuing
126,17,1103450.0,723005.8913125,859874.9833333322,23707.0,ActiveLearning,Continuing
127,106,437082.0,694176.5773958333,252813.0,23707.0,ActiveLearning,Continuing
128,25,876981.0,808103.4674017857,1236063.3624999998,23707.0,ActiveLearning,Continuing
129,10,981850.0,776213.676484127,804355.6583333332,23707.0,ActiveLearning,Continuing
130,22,1182236.0,978895.2046249999,1038290.0,23707.0,ActiveLearning,Continuing
131,23,1281399.0,924291.2192976191,878450.5,23707.0,ActiveLearning,Continuing
132,18,1155542.0,1028376.2262916667,791495.5,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1205857.3313749998,808872.3333333333,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1314021.9335684523,100409.0,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1303124.7707222223,107787.0,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1351908.8690930735,185376.66666666674,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1367952.2275307532,152057.80333333323,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1399475.4655225747,155067.7427777776,23707.0,ActiveLearning,Continuing
