Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,6,273687.0,,,23707.0,WarmStart,WarmStart
1,9,914156.0,,,23707.0,WarmStart,WarmStart
2,21,1167261.0,,,23707.0,WarmStart,WarmStart
3,22,1182236.0,,,23707.0,WarmStart,WarmStart
4,44,299002.0,,,23707.0,WarmStart,WarmStart
5,51,293210.0,,,23707.0,WarmStart,WarmStart
6,61,449878.0,,,23707.0,WarmStart,WarmStart
7,63,300244.0,,,23707.0,WarmStart,WarmStart
8,65,349707.0,,,23707.0,WarmStart,WarmStart
9,86,91681.0,,,23707.0,WarmStart,WarmStart
10,112,23707.0,,,23707.0,WarmStart,WarmStart
11,115,98439.0,,,23707.0,WarmStart,WarmStart
12,126,93928.0,,,23707.0,WarmStart,WarmStart
13,129,316310.0,,,23707.0,WarmStart,WarmStart
14,131,422140.0,,,23707.0,WarmStart,WarmStart
15,0,480185.0,106481.12333333332,398433.0,23707.0,ActiveLearning,Continuing
16,52,456484.0,361883.1022916667,893574.0,23707.0,ActiveLearning,Continuing
17,72,339668.0,133922.36549999999,456478.0,23707.0,ActiveLearning,Continuing
18,67,227835.0,112225.38583333338,401571.7166666664,23707.0,ActiveLearning,Continuing
19,84,24723.0,85910.04316666668,315961.0,23707.0,ActiveLearning,Continuing
20,75,59256.0,152801.77641666666,330459.0,23707.0,ActiveLearning,Continuing
21,124,55524.0,97545.72233333332,240611.39999999997,23707.0,ActiveLearning,Continuing
22,71,87667.0,68486.50014285716,204128.0,23707.0,ActiveLearning,Continuing
23,113,59211.0,57959.96538888889,74732.0,23707.0,ActiveLearning,Continuing
24,57,237318.0,253062.5831468254,455462.0,23707.0,ActiveLearning,Continuing
25,114,80413.0,53311.190722222185,55795.0,23707.0,ActiveLearning,Continuing
26,94,136004.0,247448.4554107143,424817.4375,23707.0,ActiveLearning,Continuing
27,58,221696.0,125430.73173015872,166718.9333333333,23707.0,ActiveLearning,Continuing
28,39,98773.0,72701.43739087299,46286.31190476191,23707.0,ActiveLearning,Continuing
29,101,239057.0,76816.31665079364,43249.0,23707.0,ActiveLearning,Continuing
30,125,88158.0,77316.40901587301,38404.0,23707.0,ActiveLearning,Continuing
31,127,184086.0,77430.06114285713,33992.66666666667,23707.0,ActiveLearning,Continuing
32,28,57484.0,146536.524297619,184565.59999999998,23707.0,ActiveLearning,Continuing
33,29,286689.0,91600.91136309525,170351.0,23707.0,ActiveLearning,Continuing
34,66,284939.0,177193.72611111111,199022.0,23707.0,ActiveLearning,Continuing
35,116,26197.0,184736.6608511905,193258.0,23707.0,ActiveLearning,Continuing
36,117,38370.0,88355.56684523809,258742.0,23707.0,ActiveLearning,Continuing
37,118,107494.0,48471.92362500001,195499.0,23707.0,ActiveLearning,Continuing
38,119,119938.0,63150.41275496033,81297.0,23707.0,ActiveLearning,Continuing
39,56,133495.0,300776.5163928571,419120.45999999996,23707.0,ActiveLearning,Continuing
40,85,27122.0,197419.85720833333,227455.0,23707.0,ActiveLearning,Continuing
41,98,147202.0,295621.8372231241,414601.97083333327,23707.0,ActiveLearning,Continuing
42,74,140574.0,225777.1582728175,370118.07166666654,23707.0,ActiveLearning,Continuing
43,102,129483.0,200310.9808700397,380005.2208333333,23707.0,ActiveLearning,Continuing
44,59,123157.0,228702.90345833334,392394.0,23707.0,ActiveLearning,Continuing
45,60,38893.0,208683.27575,358197.0,23707.0,ActiveLearning,Continuing
46,2,144074.0,212977.7225,410985.0,23707.0,ActiveLearning,Continuing
47,87,183180.0,173703.41,410985.0,23707.0,ActiveLearning,Continuing
