Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,12,602576.0,,,23707.0,WarmStart,WarmStart
1,31,316345.0,,,23707.0,WarmStart,WarmStart
2,42,482218.0,,,23707.0,WarmStart,WarmStart
3,51,293210.0,,,23707.0,WarmStart,WarmStart
4,55,463506.0,,,23707.0,WarmStart,WarmStart
5,66,284939.0,,,23707.0,WarmStart,WarmStart
6,68,180293.0,,,23707.0,WarmStart,WarmStart
7,112,23707.0,,,23707.0,WarmStart,WarmStart
8,118,107494.0,,,23707.0,WarmStart,WarmStart
9,126,93928.0,,,23707.0,WarmStart,WarmStart
10,135,1375402.0,,,23707.0,WarmStart,WarmStart
11,0,480185.0,535982.74,1351695.0,23707.0,ActiveLearning,Continuing
12,76,272660.0,370759.86,1351695.0,23707.0,ActiveLearning,Continuing
13,1,505657.0,497455.305,1351695.0,23707.0,ActiveLearning,Continuing
14,84,24723.0,122465.745,464968.6666666667,23707.0,ActiveLearning,Continuing
15,56,133495.0,103845.95183333335,456478.0,23707.0,ActiveLearning,Continuing
16,113,59211.0,56707.013,261232.0,23707.0,ActiveLearning,Continuing
17,100,175885.0,203642.4425,508648.0,23707.0,ActiveLearning,Continuing
18,94,136004.0,88907.8678809524,248953.0,23707.0,ActiveLearning,Continuing
19,63,300244.0,260710.06266666666,569243.7,23707.0,ActiveLearning,Continuing
20,71,87667.0,144291.15026190475,260724.0,23707.0,ActiveLearning,Continuing
21,39,98773.0,120859.72816666667,252434.59999999992,23707.0,ActiveLearning,Continuing
22,114,80413.0,42482.097571428574,35504.0,23707.0,ActiveLearning,Continuing
23,115,98439.0,48683.93533730157,45943.01666666665,23707.0,ActiveLearning,Continuing
24,105,141683.0,212827.5525,369578.0,23707.0,ActiveLearning,Continuing
25,9,914156.0,428056.6204999999,1281474.0,23707.0,ActiveLearning,Continuing
26,72,339668.0,116056.32824999999,229729.26666666666,23707.0,ActiveLearning,Continuing
27,57,237318.0,132696.46281349205,297315.8,23707.0,ActiveLearning,Continuing
28,19,446747.0,613131.9525,1199517.0,23707.0,ActiveLearning,Continuing
29,21,1167261.0,549108.465,1082192.0,23707.0,ActiveLearning,Continuing
30,75,59256.0,121677.06599999999,191011.0,23707.0,ActiveLearning,Continuing
31,103,145224.0,95675.56683333337,213404.0,23707.0,ActiveLearning,Continuing
32,58,221696.0,170146.16834343434,271105.5785714285,23707.0,ActiveLearning,Continuing
33,53,374938.0,396139.455,874051.0,23707.0,ActiveLearning,Continuing
34,47,416405.0,273369.1375,460893.0,23707.0,ActiveLearning,Continuing
35,116,26197.0,139988.868125,197272.0,23707.0,ActiveLearning,Continuing
36,117,38370.0,83954.5145892857,258742.0,23707.0,ActiveLearning,Continuing
37,85,27122.0,132256.1044156746,258742.0,23707.0,ActiveLearning,Continuing
38,28,57484.0,128740.93513293652,257817.0,23707.0,ActiveLearning,Continuing
39,29,286689.0,79860.72294642858,257817.0,23707.0,ActiveLearning,Continuing
40,67,227835.0,124937.8190535714,257817.0,23707.0,ActiveLearning,Continuing
41,98,147202.0,65256.74905952382,119027.0,23707.0,ActiveLearning,Continuing
42,101,239057.0,106563.81641964287,174573.41249999998,23707.0,ActiveLearning,Continuing
43,119,119938.0,60897.95001587301,81297.0,23707.0,ActiveLearning,Continuing
44,124,55524.0,85954.4940833333,87946.0,23707.0,ActiveLearning,Continuing
45,59,123157.0,175166.70892559522,257817.0,23707.0,ActiveLearning,Continuing
46,2,144074.0,156663.90529166666,264500.79166666593,23707.0,ActiveLearning,Continuing
47,86,91681.0,142980.25586607144,194574.0,23707.0,ActiveLearning,Continuing
48,102,129483.0,144291.0633164683,215261.94999999995,23707.0,ActiveLearning,Continuing
49,125,88158.0,70392.33719047617,38404.0,23707.0,ActiveLearning,Continuing
50,127,184086.0,76426.06061904758,33828.349999999955,23707.0,ActiveLearning,Continuing
51,44,299002.0,213952.9728214286,293248.0,23707.0,ActiveLearning,Continuing
52,60,38893.0,154367.845625,200130.67499999976,23707.0,ActiveLearning,Continuing
53,87,183180.0,134607.2175,260109.0,23707.0,ActiveLearning,Continuing
54,95,163985.0,170517.53274999998,188942.0,23707.0,ActiveLearning,Continuing
55,74,140574.0,124625.22532440476,136992.0,23707.0,ActiveLearning,Continuing
56,78,127394.0,158620.7070595238,169519.0,23707.0,ActiveLearning,Continuing
57,61,449878.0,156744.90549999994,144287.0,23707.0,ActiveLearning,Continuing
58,73,96638.0,188038.841875,322484.0,23707.0,ActiveLearning,Continuing
59,36,190636.0,212366.40833333333,353240.0,23707.0,ActiveLearning,Continuing
60,104,208028.0,142568.69,171608.0,23707.0,ActiveLearning,Continuing
61,37,342685.0,206861.25,285893.0,23707.0,ActiveLearning,Continuing
62,120,91655.0,145739.080875,170022.5,23707.0,ActiveLearning,Continuing
63,121,107908.0,110212.43241666669,84230.0,23707.0,ActiveLearning,Continuing
64,122,168856.0,105311.12757142857,71972.0,23707.0,ActiveLearning,Continuing
65,123,292981.0,124463.29300992058,77201.0,23707.0,ActiveLearning,Continuing
66,109,452558.0,571026.395,928655.0,23707.0,ActiveLearning,Continuing
67,128,258154.0,270968.22867261904,399505.28888888867,23707.0,ActiveLearning,Continuing
68,20,533060.0,571258.4325,928655.0,23707.0,ActiveLearning,Continuing
69,3,239852.0,350579.104,422283.0,23707.0,ActiveLearning,Continuing
70,91,225170.0,286899.16375,301925.0,23707.0,ActiveLearning,Continuing
71,70,286563.0,261453.7375,301925.0,23707.0,ActiveLearning,Continuing
72,62,40621.0,283828.666154762,276945.4249999996,23707.0,ActiveLearning,Continuing
73,96,383479.0,230843.6239285714,302064.0,23707.0,ActiveLearning,Continuing
74,32,207474.0,235465.52899999998,275724.0,23707.0,ActiveLearning,Continuing
75,88,132641.0,300016.4,342858.0,23707.0,ActiveLearning,Continuing
76,89,120257.0,210628.2225,183704.0,23707.0,ActiveLearning,Continuing
77,33,132665.0,156034.1475,179987.0,23707.0,ActiveLearning,Continuing
78,69,252077.0,259779.919375,250814.0,23707.0,ActiveLearning,Continuing
79,40,343647.0,266591.04694642854,250838.0,23707.0,ActiveLearning,Continuing
80,99,192477.0,269558.3610714286,240895.0,23707.0,ActiveLearning,Continuing
81,93,211852.0,272358.65375,257048.0,23707.0,ActiveLearning,Continuing
82,65,349707.0,282691.835,270366.0,23707.0,ActiveLearning,Continuing
83,5,253423.0,237330.958125,137855.0,23707.0,ActiveLearning,Continuing
84,41,370439.0,335517.88675,318233.0,23707.0,ActiveLearning,Continuing
85,129,316310.0,260339.72866666663,194621.04999999984,23707.0,ActiveLearning,Continuing
86,30,209698.0,268286.965,183704.0,23707.0,ActiveLearning,Continuing
87,13,714735.0,556458.8184999999,750856.0,23707.0,ActiveLearning,Continuing
88,97,206695.0,270066.2410714286,163354.0,23707.0,ActiveLearning,Continuing
89,38,224858.0,320673.97,270366.0,23707.0,ActiveLearning,Continuing
90,79,548909.0,435250.32762500003,489877.0,23707.0,ActiveLearning,Continuing
91,54,376516.0,553764.99375,792323.0,23707.0,ActiveLearning,Continuing
92,7,144556.0,324897.5925,270366.0,23707.0,ActiveLearning,Continuing
93,8,351227.0,220994.945,205151.0,23707.0,ActiveLearning,Continuing
94,64,269180.0,233284.69,93549.0,23707.0,ActiveLearning,Continuing
95,4,416657.0,243192.67,93549.0,23707.0,ActiveLearning,Continuing
96,130,319618.0,282412.98766666657,171086.0,23707.0,ActiveLearning,Continuing
97,34,287734.0,243956.06875,61393.0,23707.0,ActiveLearning,Continuing
98,6,273687.0,245966.75,74711.0,23707.0,ActiveLearning,Continuing
99,43,228347.0,386539.12933333335,324051.0,23707.0,ActiveLearning,Continuing
100,77,476197.0,288974.68733333336,270366.0,23707.0,ActiveLearning,Continuing
101,49,234879.0,347641.13458333333,253871.0,23707.0,ActiveLearning,Continuing
102,52,456484.0,322403.895,228627.0,23707.0,ActiveLearning,Continuing
103,90,318600.0,326684.05625,176805.0,23707.0,ActiveLearning,Continuing
