Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,42,482218.0,,,23707.0,WarmStart,WarmStart
6,51,293210.0,,,23707.0,WarmStart,WarmStart
7,55,463506.0,,,23707.0,WarmStart,WarmStart
8,66,284939.0,,,23707.0,WarmStart,WarmStart
9,68,180293.0,,,23707.0,WarmStart,WarmStart
10,69,252077.0,,,23707.0,WarmStart,WarmStart
11,80,438903.0,,,23707.0,WarmStart,WarmStart
12,86,91681.0,,,23707.0,WarmStart,WarmStart
13,112,23707.0,,,23707.0,WarmStart,WarmStart
14,118,107494.0,,,23707.0,WarmStart,WarmStart
15,126,93928.0,,,23707.0,WarmStart,WarmStart
16,130,319618.0,,,23707.0,WarmStart,WarmStart
17,135,1375402.0,,,23707.0,WarmStart,WarmStart
18,76,272660.0,356172.98825000005,1318225.3333333333,23707.0,ActiveLearning,Continuing
19,57,237318.0,99945.7775,261232.0,23707.0,ActiveLearning,Continuing
20,84,24723.0,101625.57,261232.0,23707.0,ActiveLearning,Continuing
21,128,258154.0,339287.7774166666,1181065.0,23707.0,ActiveLearning,Continuing
22,113,59211.0,53277.53983333332,248953.0,23707.0,ActiveLearning,Continuing
23,58,221696.0,119408.91166666668,244808.9999999999,23707.0,ActiveLearning,Continuing
24,0,480185.0,674215.1628333335,1345308.3047619048,23707.0,ActiveLearning,Continuing
25,7,144556.0,401062.7225,1094700.0,23707.0,ActiveLearning,Continuing
26,1,505657.0,540506.219109127,1300312.4666666666,23707.0,ActiveLearning,Continuing
27,39,98773.0,135707.65432539684,260724.0,23707.0,ActiveLearning,Continuing
28,71,87667.0,128995.04372222224,260216.0,23707.0,ActiveLearning,Continuing
29,114,80413.0,46113.34639682538,75066.0,23707.0,ActiveLearning,Continuing
30,115,98439.0,50513.77737788598,56367.33333333333,23707.0,ActiveLearning,Continuing
31,74,140574.0,227492.54025,388290.0,23707.0,ActiveLearning,Continuing
32,102,129483.0,227435.90216666664,388290.0,23707.0,ActiveLearning,Continuing
33,9,914156.0,459980.4012559524,1016839.0,23707.0,ActiveLearning,Continuing
34,104,208028.0,201430.86283333332,388402.3499999999,23707.0,ActiveLearning,Continuing
35,101,239057.0,125021.39441666666,197272.0,23707.0,ActiveLearning,Continuing
36,21,1167261.0,484203.51870833343,981783.0,23707.0,ActiveLearning,Continuing
37,116,26197.0,125931.26,193258.0,23707.0,ActiveLearning,Continuing
38,98,147202.0,111093.90550000001,182514.39999999997,23707.0,ActiveLearning,Continuing
39,117,38370.0,75626.06062499998,121005.0,23707.0,ActiveLearning,Continuing
40,119,119938.0,60844.43981150793,81297.0,23707.0,ActiveLearning,Continuing
41,75,59256.0,124642.69373809524,184993.0,23707.0,ActiveLearning,Continuing
42,124,55524.0,86404.8617797619,81318.0,23707.0,ActiveLearning,Continuing
43,59,123157.0,165128.74448809522,224664.0,23707.0,ActiveLearning,Continuing
44,2,144074.0,160706.8225,224664.0,23707.0,ActiveLearning,Continuing
45,56,133495.0,234935.94496626983,424577.38571428554,23707.0,ActiveLearning,Continuing
46,41,370439.0,226491.0075833333,352735.0,23707.0,ActiveLearning,Continuing
47,125,88158.0,74090.50883134911,38404.0,23707.0,ActiveLearning,Continuing
48,61,449878.0,153740.5075,193188.0,23707.0,ActiveLearning,Continuing
49,87,183180.0,204751.225,326721.0,23707.0,ActiveLearning,Continuing
50,105,141683.0,223980.2210813492,356517.13749999995,23707.0,ActiveLearning,Continuing
51,100,175885.0,196403.68141666666,326721.0,23707.0,ActiveLearning,Continuing
52,127,184086.0,74883.84719155841,34614.66666666667,23707.0,ActiveLearning,Continuing
53,28,57484.0,172673.42151893943,237938.19999999998,23707.0,ActiveLearning,Continuing
54,29,286689.0,94017.36463095239,230173.59999999998,23707.0,ActiveLearning,Continuing
55,73,96638.0,222426.56875000006,308195.0,23707.0,ActiveLearning,Continuing
56,120,91655.0,174149.8578333333,274812.3166666666,23707.0,ActiveLearning,Continuing
57,121,107908.0,119509.95666666667,116373.0,23707.0,ActiveLearning,Continuing
58,122,168856.0,110269.70597619047,84450.4,23707.0,ActiveLearning,Continuing
59,8,351227.0,239890.73416666663,337662.0,23707.0,ActiveLearning,Continuing
60,44,299002.0,242660.5439960318,327970.51249999995,23707.0,ActiveLearning,Continuing
61,78,127394.0,161994.59665178572,191094.0,23707.0,ActiveLearning,Continuing
62,123,292981.0,124164.0453740079,77201.0,23707.0,ActiveLearning,Continuing
63,72,339668.0,184782.9126041667,220566.61,23707.0,ActiveLearning,Continuing
64,103,145224.0,185983.73359325394,198953.0,23707.0,ActiveLearning,Continuing
65,85,27122.0,206918.44798710308,227455.0,23707.0,ActiveLearning,Continuing
66,67,227835.0,128338.26233928569,257817.0,23707.0,ActiveLearning,Continuing
67,94,136004.0,235208.3394642857,259334.3999999999,23707.0,ActiveLearning,Continuing
68,109,452558.0,618083.8789583334,1027032.2416666667,23707.0,ActiveLearning,Continuing
69,60,38893.0,143492.56055952376,60023.0,23707.0,ActiveLearning,Continuing
70,62,40621.0,283763.4607738095,353240.0,23707.0,ActiveLearning,Continuing
71,36,190636.0,173339.87503869046,409257.0,23707.0,ActiveLearning,Continuing
72,37,342685.0,190830.32380952378,329818.0,23707.0,ActiveLearning,Continuing
73,91,225170.0,277421.3607916666,441597.0,23707.0,ActiveLearning,Continuing
74,96,383479.0,172507.43237499997,302064.0,23707.0,ActiveLearning,Continuing
75,33,132665.0,217016.79208333336,275724.0,23707.0,ActiveLearning,Continuing
76,92,261756.0,249382.87691666666,330841.0,23707.0,ActiveLearning,Continuing
77,89,120257.0,183775.915,183680.0,23707.0,ActiveLearning,Continuing
78,32,207474.0,167428.755,196088.0,23707.0,ActiveLearning,Continuing
79,65,349707.0,269511.3360773809,337662.0,23707.0,ActiveLearning,Continuing
80,88,132641.0,278216.2085,342858.0,23707.0,ActiveLearning,Continuing
81,95,163985.0,291507.44173809525,353240.0,23707.0,ActiveLearning,Continuing
82,63,300244.0,189053.57625,141499.0,23707.0,ActiveLearning,Continuing
83,40,343647.0,258771.4825,250838.0,23707.0,ActiveLearning,Continuing
84,99,192477.0,271648.7109444444,240895.0,23707.0,ActiveLearning,Continuing
85,70,286563.0,281145.0375,238336.0,23707.0,ActiveLearning,Continuing
86,90,318600.0,242674.22125,167579.0,23707.0,ActiveLearning,Continuing
87,110,794499.0,526656.9720833334,776595.6666666667,23707.0,ActiveLearning,Continuing
88,38,224858.0,322175.27595833334,301925.0,23707.0,ActiveLearning,Continuing
89,30,209698.0,268817.865,211006.0,23707.0,ActiveLearning,Continuing
90,47,416405.0,327302.8575595238,301925.0,23707.0,ActiveLearning,Continuing
91,97,206695.0,268610.9725,210982.0,23707.0,ActiveLearning,Continuing
92,20,533060.0,618472.669125,878450.5,23707.0,ActiveLearning,Continuing
93,129,316310.0,277504.761797619,174394.0,23707.0,ActiveLearning,Continuing
94,34,287734.0,244854.8325,93430.0,23707.0,ActiveLearning,Continuing
95,64,269180.0,257926.9325,93430.0,23707.0,ActiveLearning,Continuing
96,35,302631.0,271193.6775,62564.0,23707.0,ActiveLearning,Continuing
97,3,239852.0,297290.095,111905.0,23707.0,ActiveLearning,Continuing
98,4,416657.0,262694.27,78748.0,23707.0,ActiveLearning,Continuing
99,15,102012.0,681572.6560833332,874051.0,23707.0,ActiveLearning,Continuing
100,16,128971.0,297822.49500000005,1065249.0,23707.0,ActiveLearning,Continuing
101,81,489801.0,276333.13948809524,1065249.0,23707.0,ActiveLearning,Continuing
102,13,714735.0,380498.0775535714,692487.0,23707.0,ActiveLearning,Continuing
103,77,476197.0,385637.39745833335,489877.0,23707.0,ActiveLearning,Continuing
104,53,374938.0,332698.5130833333,347226.0,23707.0,ActiveLearning,Continuing
105,49,234879.0,397956.01670833334,353247.0,23707.0,ActiveLearning,Continuing
106,79,548909.0,442136.28958333336,480357.0499999996,23707.0,ActiveLearning,Continuing
107,52,456484.0,316534.25725,228627.0,23707.0,ActiveLearning,Continuing
108,93,211852.0,271791.07733333326,77773.0,23707.0,ActiveLearning,Continuing
109,5,253423.0,230122.33791666664,76179.94,23707.0,ActiveLearning,Continuing
110,6,273687.0,245386.71991666668,74711.0,23707.0,ActiveLearning,Continuing
111,50,199330.0,359811.96325000003,247339.0,23707.0,ActiveLearning,Continuing
112,43,228347.0,334620.25,282888.0,23707.0,ActiveLearning,Continuing
113,48,404845.0,353039.59337500005,282888.0,23707.0,ActiveLearning,Continuing
114,45,481313.0,388314.38208333333,282888.0,23707.0,ActiveLearning,Continuing
115,54,376516.0,417459.401875,343745.99166666646,23707.0,ActiveLearning,Continuing
116,131,422140.0,300215.9217261904,61464.0,23707.0,ActiveLearning,Continuing
117,106,437082.0,548981.4156011906,509789.0,23707.0,ActiveLearning,Continuing
118,25,876981.0,916419.3059970236,1253170.75,23707.0,ActiveLearning,Continuing
119,17,1103450.0,702845.7531428572,868409.6000000001,23707.0,ActiveLearning,Continuing
120,132,503950.0,512949.83416666667,357417.0,23707.0,ActiveLearning,Continuing
121,14,925193.0,609334.8744166666,599243.5,23707.0,ActiveLearning,Continuing
122,111,375241.0,519763.94520833326,350856.0,23707.0,ActiveLearning,Continuing
123,107,701140.0,546903.8461666666,419258.0,23707.0,ActiveLearning,Continuing
124,108,719564.0,459297.4862499999,325899.0,23707.0,ActiveLearning,Continuing
125,133,541686.0,503673.3820833333,282482.0,23707.0,ActiveLearning,Continuing
126,82,252642.0,530738.7084047616,344323.0,23707.0,ActiveLearning,Continuing
127,134,593083.0,500008.46707142843,289044.0,23707.0,ActiveLearning,Continuing
128,46,482674.0,448665.88645833335,131709.61666666658,23707.0,ActiveLearning,Continuing
129,10,981850.0,780143.1030773809,798032.3966666667,23707.0,ActiveLearning,Continuing
130,22,1182236.0,981362.993625,1038290.0,23707.0,ActiveLearning,Continuing
131,23,1281399.0,938783.3546666667,878450.5,23707.0,ActiveLearning,Continuing
132,18,1155542.0,1068943.0700714288,749777.5499999986,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1223029.5184940472,515617.04999998433,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1320986.8627142855,100409.0,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1305076.4024325395,107787.0,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1354047.0104823718,185413.55666666664,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1368456.8462397188,144594.76611111104,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1400707.2397153194,152311.4541666666,23707.0,ActiveLearning,Continuing
