Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,36,190636.0,,,23707.0,WarmStart,WarmStart
6,42,482218.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,55,463506.0,,,23707.0,WarmStart,WarmStart
9,66,284939.0,,,23707.0,WarmStart,WarmStart
10,68,180293.0,,,23707.0,WarmStart,WarmStart
11,69,252077.0,,,23707.0,WarmStart,WarmStart
12,78,127394.0,,,23707.0,WarmStart,WarmStart
13,80,438903.0,,,23707.0,WarmStart,WarmStart
14,86,91681.0,,,23707.0,WarmStart,WarmStart
15,109,452558.0,,,23707.0,WarmStart,WarmStart
16,112,23707.0,,,23707.0,WarmStart,WarmStart
17,117,38370.0,,,23707.0,WarmStart,WarmStart
18,118,107494.0,,,23707.0,WarmStart,WarmStart
19,126,93928.0,,,23707.0,WarmStart,WarmStart
20,130,319618.0,,,23707.0,WarmStart,WarmStart
21,134,593083.0,,,23707.0,WarmStart,WarmStart
22,135,1375402.0,,,23707.0,WarmStart,WarmStart
23,76,272660.0,345947.15162499994,1351695.0,23707.0,ActiveLearning,Continuing
24,128,258154.0,331988.515625,1181065.0,23707.0,ActiveLearning,Continuing
25,84,24723.0,93760.37100000001,261232.0,23707.0,ActiveLearning,Continuing
26,113,59211.0,47609.432833333354,261232.0,23707.0,ActiveLearning,Continuing
27,0,480185.0,607936.3118511908,1351187.0,23707.0,ActiveLearning,Continuing
28,7,144556.0,401521.791875,1096373.4833333332,23707.0,ActiveLearning,Continuing
29,1,505657.0,530770.7118630953,1320147.6224999998,23707.0,ActiveLearning,Continuing
30,56,133495.0,157938.65244444436,468879.56666666665,23707.0,ActiveLearning,Continuing
31,116,26197.0,88201.9545952381,246569.0,23707.0,ActiveLearning,Continuing
32,74,140574.0,139612.73024404765,421757.49999999994,23707.0,ActiveLearning,Continuing
33,9,914156.0,478366.59271428594,1018512.4833333332,23707.0,ActiveLearning,Continuing
34,101,239057.0,102852.5372311508,258742.0,23707.0,ActiveLearning,Continuing
35,39,98773.0,122942.21648710316,260893.33333333334,23707.0,ActiveLearning,Continuing
36,94,136004.0,130413.2414285714,260724.0,23707.0,ActiveLearning,Continuing
37,58,221696.0,125560.32730952378,254639.68333333332,23707.0,ActiveLearning,Continuing
38,71,87667.0,117162.73617261906,251888.37499999997,23707.0,ActiveLearning,Continuing
39,28,57484.0,135854.9614871031,260729.08,23707.0,ActiveLearning,Continuing
40,29,286689.0,84178.55123115079,254806.66666666666,23707.0,ActiveLearning,Continuing
41,44,299002.0,201059.29650000003,388290.0,23707.0,ActiveLearning,Continuing
42,72,339668.0,124610.57666964289,247937.0,23707.0,ActiveLearning,Continuing
43,98,147202.0,122991.47321031742,287334.5,23707.0,ActiveLearning,Continuing
44,57,237318.0,124538.34696031746,247937.0,23707.0,ActiveLearning,Continuing
45,3,239852.0,271233.41366666666,501402.0,23707.0,ActiveLearning,Continuing
46,119,119938.0,62543.270079365095,81297.0,23707.0,ActiveLearning,Continuing
47,114,80413.0,41811.28804365082,35504.0,23707.0,ActiveLearning,Continuing
48,115,98439.0,48748.72835714287,50950.50499999999,23707.0,ActiveLearning,Continuing
49,75,59256.0,137872.79112500002,201219.0,23707.0,ActiveLearning,Continuing
50,124,55524.0,93695.45937499998,179801.0,23707.0,ActiveLearning,Continuing
51,102,129483.0,157422.3433888889,243478.0,23707.0,ActiveLearning,Continuing
52,91,225170.0,272637.9375,448527.0,23707.0,ActiveLearning,Continuing
53,120,91655.0,192335.71408333333,354824.0,23707.0,ActiveLearning,Continuing
54,121,107908.0,124472.15475,207347.0,23707.0,ActiveLearning,Continuing
55,60,38893.0,140100.35656249998,193284.0,23707.0,ActiveLearning,Continuing
56,59,123157.0,78971.77504166667,182803.0,23707.0,ActiveLearning,Continuing
57,2,144074.0,87808.61404166665,151743.0,23707.0,ActiveLearning,Continuing
58,95,163985.0,120014.94916666663,151743.0,23707.0,ActiveLearning,Continuing
59,105,141683.0,166604.31200000003,248804.6666666667,23707.0,ActiveLearning,Continuing
60,125,88158.0,72906.29385714282,38404.0,23707.0,ActiveLearning,Continuing
61,8,351227.0,225429.77645833333,337662.0,23707.0,ActiveLearning,Continuing
62,104,208028.0,158898.37975000002,203283.75,23707.0,ActiveLearning,Continuing
63,127,184086.0,75337.1657665945,33653.0,23707.0,ActiveLearning,Continuing
64,87,183180.0,124853.39104166668,125092.0,23707.0,ActiveLearning,Continuing
65,122,168856.0,109799.34815178571,72330.0,23707.0,ActiveLearning,Continuing
66,103,145224.0,180580.36511237378,213441.31999999995,23707.0,ActiveLearning,Continuing
67,123,292981.0,125795.29293749998,77201.0,23707.0,ActiveLearning,Continuing
68,25,876981.0,625436.7645,1082192.0,23707.0,ActiveLearning,Continuing
69,85,27122.0,200119.17908928572,227455.0,23707.0,ActiveLearning,Continuing
70,67,227835.0,142133.2076636905,257817.0,23707.0,ActiveLearning,Continuing
71,5,253423.0,258996.78558333326,337662.0,23707.0,ActiveLearning,Continuing
72,100,175885.0,146883.60410687226,112039.91249999998,23707.0,ActiveLearning,Continuing
73,73,96638.0,164985.25759099933,151279.79499999993,23707.0,ActiveLearning,Continuing
74,38,224858.0,270230.1504166666,337662.0,23707.0,ActiveLearning,Continuing
75,65,349707.0,269469.8428749999,337662.0,23707.0,ActiveLearning,Continuing
76,61,449878.0,157921.9530654762,60023.0,23707.0,ActiveLearning,Continuing
77,62,40621.0,241197.81145833337,285893.0,23707.0,ActiveLearning,Continuing
78,96,383479.0,140925.84091666664,275724.0,23707.0,ActiveLearning,Continuing
79,37,342685.0,182711.97814880952,342858.0,23707.0,ActiveLearning,Continuing
80,89,120257.0,222473.645,275724.0,23707.0,ActiveLearning,Continuing
81,33,132665.0,162287.345,196088.0,23707.0,ActiveLearning,Continuing
82,32,207474.0,158571.3375,196088.0,23707.0,ActiveLearning,Continuing
83,88,132641.0,273678.285625,342858.0,23707.0,ActiveLearning,Continuing
84,97,206695.0,238394.91952380954,250814.0,23707.0,ActiveLearning,Continuing
85,47,416405.0,282422.99552083336,349577.0,23707.0,ActiveLearning,Continuing
86,63,300244.0,195865.0025,131820.0,23707.0,ActiveLearning,Continuing
87,40,343647.0,246076.0062142857,250838.0,23707.0,ActiveLearning,Continuing
88,99,192477.0,269450.57277380954,240895.0,23707.0,ActiveLearning,Continuing
89,41,370439.0,322969.9256904762,318233.0,23707.0,ActiveLearning,Continuing
90,30,209698.0,268525.1575,183704.0,23707.0,ActiveLearning,Continuing
91,70,286563.0,240688.95,86515.0,23707.0,ActiveLearning,Continuing
92,64,269180.0,233907.525,75074.0,23707.0,ActiveLearning,Continuing
93,4,416657.0,243199.0025,93549.0,23707.0,ActiveLearning,Continuing
94,34,287734.0,243330.805625,61393.0,23707.0,ActiveLearning,Continuing
95,15,102012.0,502243.5362500001,583771.0,23707.0,ActiveLearning,Continuing
96,81,489801.0,307662.10483333335,774969.0,23707.0,ActiveLearning,Continuing
97,16,128971.0,231832.78616666666,491545.65,23707.0,ActiveLearning,Continuing
98,21,1167261.0,380424.657654762,774969.0,23707.0,ActiveLearning,Continuing
99,53,374938.0,325075.7011130953,360034.89107142854,23707.0,ActiveLearning,Continuing
100,13,714735.0,349375.3808988095,491071.0,23707.0,ActiveLearning,Continuing
101,77,476197.0,390520.08975000004,461312.0,23707.0,ActiveLearning,Continuing
102,129,316310.0,287976.8322559524,127141.0,23707.0,ActiveLearning,Continuing
103,6,273687.0,264552.5675,62564.0,23707.0,ActiveLearning,Continuing
104,90,318600.0,321461.290625,176805.0,23707.0,ActiveLearning,Continuing
105,49,234879.0,395376.0232619048,338441.2499999993,23707.0,ActiveLearning,Continuing
106,79,548909.0,427566.3779166666,479856.0,23707.0,ActiveLearning,Continuing
107,20,533060.0,604437.9118333333,828246.0,23707.0,ActiveLearning,Continuing
108,52,456484.0,311552.2301666667,228627.0,23707.0,ActiveLearning,Continuing
109,50,199330.0,352146.60364880954,247339.0,23707.0,ActiveLearning,Continuing
110,43,228347.0,342093.3929166667,282888.0,23707.0,ActiveLearning,Continuing
111,48,404845.0,343382.19064880966,282888.0,23707.0,ActiveLearning,Continuing
112,54,376516.0,415760.05333333334,348014.5,23707.0,ActiveLearning,Continuing
113,35,302631.0,274522.3285,62564.0,23707.0,ActiveLearning,Continuing
114,93,211852.0,268479.0206785714,41759.5,23707.0,ActiveLearning,Continuing
115,45,481313.0,392141.1307916667,282888.0,23707.0,ActiveLearning,Continuing
116,92,261756.0,285646.0077559524,49208.0,23707.0,ActiveLearning,Continuing
117,131,422140.0,305821.68489682523,61464.0,23707.0,ActiveLearning,Continuing
118,46,482674.0,441305.58416666667,246760.59999999971,23707.0,ActiveLearning,Continuing
119,14,925193.0,604426.0389166668,585764.0,23707.0,ActiveLearning,Continuing
120,17,1103450.0,688225.0139345238,917797.3333333335,23707.0,ActiveLearning,Continuing
121,110,794499.0,583588.5504761904,478446.0,23707.0,ActiveLearning,Continuing
122,108,719564.0,552937.2590178571,347752.0,23707.0,ActiveLearning,Continuing
123,10,981850.0,783722.8525515875,805605.4933333332,23707.0,ActiveLearning,Continuing
124,22,1182236.0,952478.124875,1045029.75,23707.0,ActiveLearning,Continuing
125,132,503950.0,569908.8578333333,272817.0,23707.0,ActiveLearning,Continuing
126,111,375241.0,568854.1799166667,341941.0,23707.0,ActiveLearning,Continuing
127,82,252642.0,540500.9719404762,275921.0,23707.0,ActiveLearning,Continuing
128,133,541686.0,521416.43450000003,340441.0,23707.0,ActiveLearning,Continuing
129,107,701140.0,663622.7443571428,541857.0,23707.0,ActiveLearning,Continuing
130,23,1281399.0,994615.3827916667,928655.0,23707.0,ActiveLearning,Continuing
131,106,437082.0,687089.0926666666,257688.1875,23707.0,ActiveLearning,Continuing
132,18,1155542.0,1065834.5117559524,748339.0,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1226879.2378333334,498421.0,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1316934.5640267855,100409.0,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1302212.5188055553,107787.0,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1353938.8324264067,185376.66666666674,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1368971.1458640867,152057.80333333323,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1400486.510522575,155067.7427777776,23707.0,ActiveLearning,Continuing
