Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,8,351227.0,,,23707.0,WarmStart,WarmStart
1,9,914156.0,,,23707.0,WarmStart,WarmStart
2,11,284710.0,,,23707.0,WarmStart,WarmStart
3,16,128971.0,,,23707.0,WarmStart,WarmStart
4,17,1103450.0,,,23707.0,WarmStart,WarmStart
5,37,342685.0,,,23707.0,WarmStart,WarmStart
6,45,481313.0,,,23707.0,WarmStart,WarmStart
7,49,234879.0,,,23707.0,WarmStart,WarmStart
8,54,376516.0,,,23707.0,WarmStart,WarmStart
9,56,133495.0,,,23707.0,WarmStart,WarmStart
10,57,237318.0,,,23707.0,WarmStart,WarmStart
11,62,40621.0,,,23707.0,WarmStart,WarmStart
12,64,269180.0,,,23707.0,WarmStart,WarmStart
13,80,438903.0,,,23707.0,WarmStart,WarmStart
14,81,489801.0,,,23707.0,WarmStart,WarmStart
15,84,24723.0,,,23707.0,WarmStart,WarmStart
16,85,27122.0,,,23707.0,WarmStart,WarmStart
17,88,132641.0,,,23707.0,WarmStart,WarmStart
18,100,175885.0,,,23707.0,WarmStart,WarmStart
19,106,437082.0,,,23707.0,WarmStart,WarmStart
20,108,719564.0,,,23707.0,WarmStart,WarmStart
21,112,23707.0,,,23707.0,WarmStart,WarmStart
22,121,107908.0,,,23707.0,WarmStart,WarmStart
23,126,93928.0,,,23707.0,WarmStart,WarmStart
24,131,422140.0,,,23707.0,WarmStart,WarmStart
25,133,541686.0,,,23707.0,WarmStart,WarmStart
26,103,145224.0,280770.665,823568.299999997,23707.0,ActiveLearning,Continuing
27,128,258154.0,391420.715,820228.0,23707.0,ActiveLearning,Continuing
28,0,480185.0,521475.5018333333,889771.6666666666,23707.0,ActiveLearning,Continuing
29,21,1167261.0,628698.6575,974479.0,23707.0,ActiveLearning,Continuing
30,1,505657.0,461894.38671428576,780661.0,23707.0,ActiveLearning,Continuing
31,12,602576.0,335736.0215,785185.0,23707.0,ActiveLearning,Continuing
32,66,284939.0,84004.41613095236,318978.0,23707.0,ActiveLearning,Continuing
33,2,144074.0,82514.59441666666,315563.0,23707.0,ActiveLearning,Continuing
34,15,102012.0,269390.11999999994,590593.0,23707.0,ActiveLearning,Continuing
35,63,300244.0,186592.64958333335,396552.05,23707.0,ActiveLearning,Continuing
36,58,221696.0,67830.97183333333,260724.0,23707.0,ActiveLearning,Continuing
37,44,299002.0,200529.30291666667,398519.0,23707.0,ActiveLearning,Continuing
38,113,59211.0,38054.64876190477,213611.0,23707.0,ActiveLearning,Continuing
39,28,57484.0,87765.09733333332,257936.9499999999,23707.0,ActiveLearning,Continuing
40,29,286689.0,72355.57433333332,257817.0,23707.0,ActiveLearning,Continuing
41,76,272660.0,248451.1783214286,377089.6799999999,23707.0,ActiveLearning,Continuing
42,13,714735.0,364070.83567857137,506413.3999999997,23707.0,ActiveLearning,Continuing
43,79,548909.0,367259.90237500006,599243.5,23707.0,ActiveLearning,Continuing
44,129,316310.0,359886.59064285713,656002.0,23707.0,ActiveLearning,Continuing
45,25,876981.0,917269.337791667,1045142.0791666666,23707.0,ActiveLearning,Continuing
46,77,476197.0,349199.688125,479856.0,23707.0,ActiveLearning,Continuing
47,30,209698.0,145857.58916666667,259623.0,23707.0,ActiveLearning,Continuing
48,101,239057.0,154174.97683333335,257817.0,23707.0,ActiveLearning,Continuing
