Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,42,482218.0,,,23707.0,WarmStart,WarmStart
6,51,293210.0,,,23707.0,WarmStart,WarmStart
7,55,463506.0,,,23707.0,WarmStart,WarmStart
8,66,284939.0,,,23707.0,WarmStart,WarmStart
9,68,180293.0,,,23707.0,WarmStart,WarmStart
10,69,252077.0,,,23707.0,WarmStart,WarmStart
11,80,438903.0,,,23707.0,WarmStart,WarmStart
12,86,91681.0,,,23707.0,WarmStart,WarmStart
13,112,23707.0,,,23707.0,WarmStart,WarmStart
14,118,107494.0,,,23707.0,WarmStart,WarmStart
15,126,93928.0,,,23707.0,WarmStart,WarmStart
16,130,319618.0,,,23707.0,WarmStart,WarmStart
17,135,1375402.0,,,23707.0,WarmStart,WarmStart
18,76,272660.0,356172.98825000005,1318225.3333333333,23707.0,ActiveLearning,Continuing
19,0,480185.0,648508.7366666668,1351695.0,23707.0,ActiveLearning,Continuing
20,7,144556.0,398671.254375,1184985.4833333332,23707.0,ActiveLearning,Continuing
21,1,505657.0,539343.2905833335,1318225.3333333333,23707.0,ActiveLearning,Continuing
22,9,914156.0,487573.539375,1167499.0,23707.0,ActiveLearning,Continuing
23,21,1167261.0,497938.36849999987,981783.0,23707.0,ActiveLearning,Continuing
24,128,258154.0,346131.7983333333,820228.0,23707.0,ActiveLearning,Continuing
25,13,714735.0,517393.03783333325,882551.0,23707.0,ActiveLearning,Continuing
26,56,133495.0,141342.3645,456478.0,23707.0,ActiveLearning,Continuing
27,20,533060.0,617259.0070059524,868911.645,23707.0,ActiveLearning,Continuing
28,110,794499.0,533599.5566904764,720514.0,23707.0,ActiveLearning,Continuing
29,34,287734.0,284680.23,570179.0,23707.0,ActiveLearning,Continuing
30,17,1103450.0,665099.5135476191,860345.5599999996,23707.0,ActiveLearning,Continuing
31,84,24723.0,88606.1725,261232.0,23707.0,ActiveLearning,Continuing
32,113,59211.0,43929.49466666666,261232.0,23707.0,ActiveLearning,Continuing
33,120,91655.0,235373.50883333333,390537.0,23707.0,ActiveLearning,Continuing
34,41,370439.0,215237.575,390563.0,23707.0,ActiveLearning,Continuing
35,94,136004.0,120906.89114285725,260724.0,23707.0,ActiveLearning,Continuing
36,58,221696.0,117067.90714285713,256603.14999999982,23707.0,ActiveLearning,Continuing
37,72,339668.0,105525.40023809527,248445.0,23707.0,ActiveLearning,Continuing
38,39,98773.0,113586.58352380949,260729.08,23707.0,ActiveLearning,Continuing
39,57,237318.0,113323.96738095238,315453.0,23707.0,ActiveLearning,Continuing
40,65,349707.0,232924.87649999998,337662.0,23707.0,ActiveLearning,Continuing
41,71,87667.0,123299.21649999998,249397.33333333334,23707.0,ActiveLearning,Continuing
42,98,147202.0,166894.60571428572,278784.0,23707.0,ActiveLearning,Continuing
43,73,96638.0,155360.85583333333,278784.0,23707.0,ActiveLearning,Continuing
44,100,175885.0,135375.15004761904,278784.0,23707.0,ActiveLearning,Continuing
45,121,107908.0,134238.5232142857,278784.0,23707.0,ActiveLearning,Continuing
46,101,239057.0,150116.11404166667,282772.0,23707.0,ActiveLearning,Continuing
47,75,59256.0,148209.54395833332,276511.0,23707.0,ActiveLearning,Continuing
48,102,129483.0,175930.86252976194,302515.0,23707.0,ActiveLearning,Continuing
49,78,127394.0,150613.65323809526,278784.0,23707.0,ActiveLearning,Continuing
50,44,299002.0,242896.00587500006,343184.75,23707.0,ActiveLearning,Continuing
51,8,351227.0,241433.178125,337662.0,23707.0,ActiveLearning,Continuing
52,28,57484.0,182629.28198412698,260226.16,23707.0,ActiveLearning,Continuing
53,29,286689.0,110130.702,243637.19999999987,23707.0,ActiveLearning,Continuing
54,36,190636.0,155613.1155922619,224690.0,23707.0,ActiveLearning,Continuing
55,104,208028.0,145259.21198809525,207347.0,23707.0,ActiveLearning,Continuing
56,105,141683.0,144848.82986309522,197231.0,23707.0,ActiveLearning,Continuing
57,95,163985.0,136185.4385714286,193258.0,23707.0,ActiveLearning,Continuing
58,103,145224.0,172358.29876190473,213404.0,23707.0,ActiveLearning,Continuing
59,38,224858.0,296334.90766666667,337662.0,23707.0,ActiveLearning,Continuing
60,62,40621.0,210358.13087499997,224664.0,23707.0,ActiveLearning,Continuing
61,96,383479.0,222770.73,329818.0,23707.0,ActiveLearning,Continuing
62,59,123157.0,125138.24751190477,181075.0,23707.0,ActiveLearning,Continuing
63,116,26197.0,119309.11967261907,131596.45714285702,23707.0,ActiveLearning,Continuing
64,117,38370.0,73850.5475,121005.0,23707.0,ActiveLearning,Continuing
65,85,27122.0,193727.16458333333,227670.4666666666,23707.0,ActiveLearning,Continuing
66,67,227835.0,149402.96163095237,257817.0,23707.0,ActiveLearning,Continuing
67,79,548909.0,410096.3533333333,489877.0,23707.0,ActiveLearning,Continuing
68,119,119938.0,57117.997312499996,81297.0,23707.0,ActiveLearning,Continuing
69,2,144074.0,116120.87108333335,123364.0,23707.0,ActiveLearning,Continuing
70,124,55524.0,85064.17473809526,85968.0,23707.0,ActiveLearning,Continuing
71,54,376516.0,484135.86966666667,874051.0,23707.0,ActiveLearning,Continuing
72,15,102012.0,771464.70375,790745.0,23707.0,ActiveLearning,Continuing
73,16,128971.0,354961.6976190476,1065249.0,23707.0,ActiveLearning,Continuing
74,81,489801.0,387709.2597916666,1065249.0,23707.0,ActiveLearning,Continuing
75,25,876981.0,931198.1713749999,1259910.5,23707.0,ActiveLearning,Continuing
76,22,1182236.0,915066.9312083333,1049208.3949999998,23707.0,ActiveLearning,Continuing
77,77,476197.0,367762.9916666667,489877.0,23707.0,ActiveLearning,Continuing
78,93,211852.0,289859.9705833333,347226.0,23707.0,ActiveLearning,Continuing
79,23,1281399.0,847653.1808452379,904807.8624999998,23707.0,ActiveLearning,Continuing
80,47,416405.0,354102.88575,422283.0,23707.0,ActiveLearning,Continuing
81,70,286563.0,282752.235,337057.0,23707.0,ActiveLearning,Continuing
82,37,342685.0,164070.09975,167407.0,23707.0,ActiveLearning,Continuing
83,114,80413.0,41695.301099206365,35504.0,23707.0,ActiveLearning,Continuing
84,115,98439.0,49239.51923719335,56198.0,23707.0,ActiveLearning,Continuing
85,74,140574.0,132385.9469375,117904.09999999998,23707.0,ActiveLearning,Continuing
86,106,437082.0,513823.7809345238,509789.0,23707.0,ActiveLearning,Continuing
87,5,253423.0,240418.63679166668,227475.75,23707.0,ActiveLearning,Continuing
88,49,234879.0,371165.3075416666,353583.9874999997,23707.0,ActiveLearning,Continuing
89,97,206695.0,260345.17662500002,236112.0,23707.0,ActiveLearning,Continuing
90,99,192477.0,261683.87516666666,252001.0,23707.0,ActiveLearning,Continuing
91,88,132641.0,311271.767625,342858.0,23707.0,ActiveLearning,Continuing
92,90,318600.0,272113.73583333334,269502.0,23707.0,ActiveLearning,Continuing
93,40,343647.0,249204.865,250838.0,23707.0,ActiveLearning,Continuing
94,30,209698.0,285575.7575,250838.0,23707.0,ActiveLearning,Continuing
95,14,925193.0,603958.1213333333,585764.0,23707.0,ActiveLearning,Continuing
96,125,88158.0,72773.64694047619,38404.0,23707.0,ActiveLearning,Continuing
97,127,184086.0,76107.16164682538,36538.0,23707.0,ActiveLearning,Continuing
98,60,38893.0,131735.225,84204.0,23707.0,ActiveLearning,Continuing
99,61,449878.0,120946.28958333332,109148.14999999997,23707.0,ActiveLearning,Continuing
100,87,183180.0,142834.42675,410985.0,23707.0,ActiveLearning,Continuing
101,122,168856.0,106737.46642261905,72507.63,23707.0,ActiveLearning,Continuing
102,123,292981.0,123400.90351686507,77201.0,23707.0,ActiveLearning,Continuing
103,50,199330.0,336441.18791666673,247339.0,23707.0,ActiveLearning,Continuing
104,52,456484.0,293099.75666666665,264176.0,23707.0,ActiveLearning,Continuing
105,43,228347.0,340896.48583333334,282888.0,23707.0,ActiveLearning,Continuing
106,48,404845.0,354477.31816666655,282888.0,23707.0,ActiveLearning,Continuing
107,32,207474.0,242744.16039285716,163354.0,23707.0,ActiveLearning,Continuing
108,33,132665.0,213705.53799999997,136052.0,23707.0,ActiveLearning,Continuing
109,3,239852.0,303803.520375,312605.6999999999,23707.0,ActiveLearning,Continuing
110,132,503950.0,575452.3240595236,509789.0,23707.0,ActiveLearning,Continuing
111,63,300244.0,205083.125,119412.0,23707.0,ActiveLearning,Continuing
112,89,120257.0,164686.231875,78810.4499999999,23707.0,ActiveLearning,Continuing
113,53,374938.0,363755.7064166665,257154.0,23707.0,ActiveLearning,Continuing
114,129,316310.0,309996.48807936505,238466.6666666667,23707.0,ActiveLearning,Continuing
115,45,481313.0,396023.4023333333,274624.8999999996,23707.0,ActiveLearning,Continuing
116,10,981850.0,770091.3468333333,629577.5999999999,23707.0,ActiveLearning,Continuing
117,4,416657.0,262985.3275,111905.0,23707.0,ActiveLearning,Continuing
118,92,261756.0,293787.7325,163912.54999999938,23707.0,ActiveLearning,Continuing
119,108,719564.0,506624.403375,357417.0,23707.0,ActiveLearning,Continuing
120,6,273687.0,246771.395,74711.0,23707.0,ActiveLearning,Continuing
121,91,225170.0,301604.431875,102225.36249999981,23707.0,ActiveLearning,Continuing
122,64,269180.0,256620.234375,93430.0,23707.0,ActiveLearning,Continuing
123,35,302631.0,270366.8525,62564.0,23707.0,ActiveLearning,Continuing
124,131,422140.0,300355.0586547618,61464.0,23707.0,ActiveLearning,Continuing
125,18,1155542.0,1050880.192434524,834652.0,23707.0,ActiveLearning,Continuing
126,109,452558.0,603631.0394285714,347752.0,23707.0,ActiveLearning,Continuing
127,46,482674.0,443897.33858333336,246434.0,23707.0,ActiveLearning,Continuing
128,133,541686.0,514524.5422440477,282482.0,23707.0,ActiveLearning,Continuing
129,111,375241.0,571884.2569166668,341941.0,23707.0,ActiveLearning,Continuing
130,82,252642.0,540171.2675833334,275921.0,23707.0,ActiveLearning,Continuing
131,107,701140.0,594257.6966666667,541857.0,23707.0,ActiveLearning,Continuing
132,134,593083.0,493232.34383333346,289044.0,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1233549.9222083334,498421.0,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1318565.4931666665,100409.0,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1307168.565099206,107787.0,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1356084.8471490382,185376.66666666674,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1369483.6379063856,144594.76611111104,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1400707.2397153194,152311.4541666666,23707.0,ActiveLearning,Continuing
