Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,11,284710.0,,,23707.0,WarmStart,WarmStart
1,12,602576.0,,,23707.0,WarmStart,WarmStart
2,19,446747.0,,,23707.0,WarmStart,WarmStart
3,27,1274993.0,,,23707.0,WarmStart,WarmStart
4,31,316345.0,,,23707.0,WarmStart,WarmStart
5,36,190636.0,,,23707.0,WarmStart,WarmStart
6,42,482218.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,55,463506.0,,,23707.0,WarmStart,WarmStart
9,66,284939.0,,,23707.0,WarmStart,WarmStart
10,68,180293.0,,,23707.0,WarmStart,WarmStart
11,69,252077.0,,,23707.0,WarmStart,WarmStart
12,80,438903.0,,,23707.0,WarmStart,WarmStart
13,86,91681.0,,,23707.0,WarmStart,WarmStart
14,109,452558.0,,,23707.0,WarmStart,WarmStart
15,112,23707.0,,,23707.0,WarmStart,WarmStart
16,117,38370.0,,,23707.0,WarmStart,WarmStart
17,118,107494.0,,,23707.0,WarmStart,WarmStart
18,126,93928.0,,,23707.0,WarmStart,WarmStart
19,130,319618.0,,,23707.0,WarmStart,WarmStart
20,134,593083.0,,,23707.0,WarmStart,WarmStart
21,135,1375402.0,,,23707.0,WarmStart,WarmStart
22,84,24723.0,82423.3984375,159520.671875,23707.0,ActiveLearning,Continuing
23,113,59211.0,40394.41796875,51490.34375,23707.0,ActiveLearning,Continuing
24,114,80413.0,37767.62109375,17962.830078125,23707.0,ActiveLearning,Continuing
25,115,98439.0,44282.671875,11478.9267578125,23707.0,ActiveLearning,Continuing
26,116,26197.0,90033.9453125,52395.73046875,23707.0,ActiveLearning,Continuing
27,119,119938.0,60067.1796875,25693.685546875,23707.0,ActiveLearning,Continuing
28,58,221696.0,99016.453125,49020.8984375,23707.0,ActiveLearning,Continuing
29,75,59256.0,128308.265625,84141.203125,23707.0,ActiveLearning,Continuing
30,124,55524.0,82800.2109375,46226.37890625,23707.0,ActiveLearning,Continuing
31,125,88158.0,69983.6015625,18397.4609375,23707.0,ActiveLearning,Continuing
32,127,184086.0,74948.984375,9419.078125,23707.0,ActiveLearning,Continuing
33,39,98773.0,137246.078125,67426.2109375,23707.0,ActiveLearning,Continuing
34,71,87667.0,124039.734375,58408.421875,23707.0,ActiveLearning,Continuing
35,85,27122.0,145305.234375,62372.76171875,23707.0,ActiveLearning,Continuing
36,67,227835.0,110702.3359375,63830.43359375,23707.0,ActiveLearning,Continuing
37,28,57484.0,144811.53125,76537.625,23707.0,ActiveLearning,Continuing
38,29,286689.0,93752.8203125,49194.78125,23707.0,ActiveLearning,Continuing
39,74,140574.0,157879.359375,91683.6171875,23707.0,ActiveLearning,Continuing
40,98,147202.0,152620.65625,46747.95703125,23707.0,ActiveLearning,Continuing
41,100,175885.0,153666.03125,46762.92578125,23707.0,ActiveLearning,Continuing
42,104,208028.0,172706.21875,45999.9921875,23707.0,ActiveLearning,Continuing
43,59,123157.0,176592.296875,40702.6171875,23707.0,ActiveLearning,Continuing
44,60,38893.0,143527.046875,32202.603515625,23707.0,ActiveLearning,Continuing
45,2,144074.0,191976.015625,95228.59375,23707.0,ActiveLearning,Continuing
46,87,183180.0,158016.078125,42140.484375,23707.0,ActiveLearning,Continuing
47,102,129483.0,179614.578125,47482.7421875,23707.0,ActiveLearning,Continuing
48,105,141683.0,178621.75,27653.16796875,23707.0,ActiveLearning,Continuing
49,78,127394.0,178642.96875,28168.03125,23707.0,ActiveLearning,Continuing
50,73,96638.0,169728.8125,17446.8203125,23707.0,ActiveLearning,Continuing
51,120,91655.0,140718.4375,38849.75390625,23707.0,ActiveLearning,Continuing
52,121,107908.0,109130.5,29919.181640625,23707.0,ActiveLearning,Continuing
53,122,168856.0,103089.3515625,15072.330078125,23707.0,ActiveLearning,Continuing
54,123,292981.0,123370.65625,23711.6796875,23707.0,ActiveLearning,Continuing
55,61,449878.0,166175.953125,33934.390625,23707.0,ActiveLearning,Continuing
56,44,299002.0,195289.09375,74297.15625,23707.0,ActiveLearning,Continuing
57,32,207474.0,242126.59375,70742.2734375,23707.0,ActiveLearning,Continuing
58,89,120257.0,214631.578125,46716.81640625,23707.0,ActiveLearning,Continuing
59,33,132665.0,212717.4375,74863.0234375,23707.0,ActiveLearning,Continuing
60,37,342685.0,242990.25,83900.703125,23707.0,ActiveLearning,Continuing
61,40,343647.0,268106.40625,65945.734375,23707.0,ActiveLearning,Continuing
62,62,40621.0,292361.5,52459.28515625,23707.0,ActiveLearning,Continuing
63,96,383479.0,223843.578125,75948.1015625,23707.0,ActiveLearning,Continuing
64,3,239852.0,271092.65625,101160.90625,23707.0,ActiveLearning,Continuing
65,63,300244.0,235885.3125,97199.6171875,23707.0,ActiveLearning,Continuing
66,88,132641.0,278335.3125,70968.7578125,23707.0,ActiveLearning,Continuing
67,30,209698.0,271858.375,65290.875,23707.0,ActiveLearning,Continuing
68,56,133495.0,320254.28125,350563.90625,23707.0,ActiveLearning,Continuing
69,57,237318.0,254939.90625,295673.59375,23707.0,ActiveLearning,Continuing
70,101,239057.0,226793.015625,166858.5,23707.0,ActiveLearning,Continuing
71,103,145224.0,237176.25,164198.015625,23707.0,ActiveLearning,Continuing
72,94,136004.0,250066.3125,162027.578125,23707.0,ActiveLearning,Continuing
73,72,339668.0,280650.125,306345.5625,23707.0,ActiveLearning,Continuing
74,4,416657.0,292785.34375,75031.515625,23707.0,ActiveLearning,Continuing
75,95,163985.0,324458.1875,104846.234375,23707.0,ActiveLearning,Continuing
76,99,192477.0,327156.0,140922.46875,23707.0,ActiveLearning,Continuing
77,41,370439.0,328653.9375,70550.2265625,23707.0,ActiveLearning,Continuing
78,45,481313.0,328064.1875,67227.7890625,23707.0,ActiveLearning,Continuing
79,52,456484.0,336236.875,72235.328125,23707.0,ActiveLearning,Continuing
80,5,253423.0,368346.40625,69385.6328125,23707.0,ActiveLearning,Continuing
81,6,273687.0,284836.71875,59460.4921875,23707.0,ActiveLearning,Continuing
82,93,211852.0,270682.71875,31454.61328125,23707.0,ActiveLearning,Continuing
83,92,261756.0,307904.78125,53576.80859375,23707.0,ActiveLearning,Continuing
84,34,287734.0,307261.65625,48002.2265625,23707.0,ActiveLearning,Continuing
85,35,302631.0,292239.375,25013.705078125,23707.0,ActiveLearning,Continuing
86,7,144556.0,314759.96875,60343.09765625,23707.0,ActiveLearning,Continuing
87,8,351227.0,218404.03125,98109.234375,23707.0,ActiveLearning,Continuing
88,65,349707.0,304790.5625,55808.07421875,23707.0,ActiveLearning,Continuing
89,64,269180.0,330331.09375,54435.73828125,23707.0,ActiveLearning,Continuing
90,91,225170.0,288894.28125,31892.583984375,23707.0,ActiveLearning,Continuing
91,90,318600.0,324067.84375,53218.96875,23707.0,ActiveLearning,Continuing
92,38,224858.0,328762.9375,69869.3046875,23707.0,ActiveLearning,Continuing
93,70,286563.0,286549.71875,43725.8671875,23707.0,ActiveLearning,Continuing
94,97,206695.0,325611.9375,44645.4296875,23707.0,ActiveLearning,Continuing
95,43,228347.0,364913.28125,59780.2578125,23707.0,ActiveLearning,Continuing
96,77,476197.0,330799.78125,71998.4609375,23707.0,ActiveLearning,Continuing
97,49,234879.0,373066.5625,57649.875,23707.0,ActiveLearning,Continuing
98,50,199330.0,353142.34375,62934.94921875,23707.0,ActiveLearning,Continuing
99,47,416405.0,380156.46875,62437.9921875,23707.0,ActiveLearning,Continuing
100,53,374938.0,382688.15625,68208.734375,23707.0,ActiveLearning,Continuing
101,48,404845.0,391670.46875,45438.32421875,23707.0,ActiveLearning,Continuing
102,76,272660.0,416601.375,325035.125,23707.0,ActiveLearning,Continuing
103,54,376516.0,421542.15625,59469.13671875,23707.0,ActiveLearning,Continuing
104,79,548909.0,423208.34375,56440.34765625,23707.0,ActiveLearning,Continuing
105,15,102012.0,433369.46875,48571.8515625,23707.0,ActiveLearning,Continuing
106,16,128971.0,226688.796875,154152.84375,23707.0,ActiveLearning,Continuing
107,81,489801.0,266581.59375,125526.3984375,23707.0,ActiveLearning,Continuing
108,13,714735.0,444401.71875,94417.8203125,23707.0,ActiveLearning,Continuing
109,46,482674.0,449825.46875,62022.15234375,23707.0,ActiveLearning,Continuing
110,128,258154.0,487605.6875,306792.6875,23707.0,ActiveLearning,Continuing
111,129,316310.0,342600.875,211736.625,23707.0,ActiveLearning,Continuing
112,131,422140.0,301317.9375,17929.828125,23707.0,ActiveLearning,Continuing
113,25,876981.0,491046.875,64826.3671875,23707.0,ActiveLearning,Continuing
114,20,533060.0,503946.40625,76501.15625,23707.0,ActiveLearning,Continuing
115,108,719564.0,524797.0,117316.8125,23707.0,ActiveLearning,Continuing
116,14,925193.0,586125.9375,151039.390625,23707.0,ActiveLearning,Continuing
117,0,480185.0,579511.375,224324.078125,23707.0,ActiveLearning,Continuing
118,1,505657.0,513976.96875,121557.109375,23707.0,ActiveLearning,Continuing
119,9,914156.0,555252.375,203233.546875,23707.0,ActiveLearning,Continuing
120,132,503950.0,598943.3125,66894.453125,23707.0,ActiveLearning,Continuing
121,133,541686.0,553221.125,39077.4921875,23707.0,ActiveLearning,Continuing
122,82,252642.0,570342.6875,47201.43359375,23707.0,ActiveLearning,Continuing
123,111,375241.0,478635.15625,152506.234375,23707.0,ActiveLearning,Continuing
124,110,794499.0,626448.375,98661.5234375,23707.0,ActiveLearning,Continuing
125,107,701140.0,668852.375,153497.71875,23707.0,ActiveLearning,Continuing
126,106,437082.0,683749.0,94030.4296875,23707.0,ActiveLearning,Continuing
127,21,1167261.0,760127.4375,140022.875,23707.0,ActiveLearning,Continuing
128,10,981850.0,808168.9375,178136.578125,23707.0,ActiveLearning,Continuing
129,17,1103450.0,798894.75,182350.421875,23707.0,ActiveLearning,Continuing
130,18,1155542.0,1023502.4375,144454.421875,23707.0,ActiveLearning,Continuing
131,22,1182236.0,1063582.25,168734.625,23707.0,ActiveLearning,Continuing
132,23,1281399.0,1062940.125,108640.390625,23707.0,ActiveLearning,Continuing
133,24,1300295.0,1176380.125,164229.4375,23707.0,ActiveLearning,Continuing
134,26,1267615.0,1310530.875,36763.94140625,23707.0,ActiveLearning,Continuing
135,83,1497320.0,1297159.625,27140.455078125,23707.0,ActiveLearning,Continuing
136,136,1413800.0,1353545.75,61183.6015625,23707.0,ActiveLearning,Continuing
137,137,1583406.0,1361079.375,48948.65625,23707.0,ActiveLearning,Continuing
138,138,1755056.0,1383010.375,56378.35546875,23707.0,ActiveLearning,Continuing
