Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,12,602576.0,,,23707.0,WarmStart,WarmStart
1,31,316345.0,,,23707.0,WarmStart,WarmStart
2,42,482218.0,,,23707.0,WarmStart,WarmStart
3,51,293210.0,,,23707.0,WarmStart,WarmStart
4,55,463506.0,,,23707.0,WarmStart,WarmStart
5,66,284939.0,,,23707.0,WarmStart,WarmStart
6,68,180293.0,,,23707.0,WarmStart,WarmStart
7,112,23707.0,,,23707.0,WarmStart,WarmStart
8,118,107494.0,,,23707.0,WarmStart,WarmStart
9,126,93928.0,,,23707.0,WarmStart,WarmStart
10,135,1375402.0,,,23707.0,WarmStart,WarmStart
11,84,24723.0,56495.4296875,73821.0390625,23707.0,ActiveLearning,Continuing
12,113,59211.0,35122.40234375,48052.76171875,23707.0,ActiveLearning,Continuing
13,114,80413.0,35186.23046875,19250.880859375,23707.0,ActiveLearning,Continuing
14,39,98773.0,96228.3359375,70798.3046875,23707.0,ActiveLearning,Continuing
15,75,59256.0,112489.9609375,86729.2578125,23707.0,ActiveLearning,Continuing
16,115,98439.0,50727.36328125,22307.93359375,23707.0,ActiveLearning,Continuing
17,124,55524.0,75827.28125,14562.3544921875,23707.0,ActiveLearning,Continuing
18,125,88158.0,69776.71875,12357.4111328125,23707.0,ActiveLearning,Continuing
19,127,184086.0,71136.46875,10322.7275390625,23707.0,ActiveLearning,Continuing
20,71,87667.0,95954.484375,28112.634765625,23707.0,ActiveLearning,Continuing
21,116,26197.0,165954.171875,80241.4140625,23707.0,ActiveLearning,Continuing
22,117,38370.0,98777.9921875,77751.15625,23707.0,ActiveLearning,Continuing
23,74,140574.0,88806.8671875,76024.5703125,23707.0,ActiveLearning,Continuing
24,119,119938.0,63656.765625,46414.90625,23707.0,ActiveLearning,Continuing
25,67,227835.0,141146.1875,60774.85546875,23707.0,ActiveLearning,Continuing
26,102,129483.0,121238.40625,45298.8203125,23707.0,ActiveLearning,Continuing
27,105,141683.0,126500.6171875,36027.23046875,23707.0,ActiveLearning,Continuing
28,73,96638.0,193352.28125,97241.359375,23707.0,ActiveLearning,Continuing
29,40,343647.0,214938.359375,126297.6796875,23707.0,ActiveLearning,Continuing
30,98,147202.0,113738.6015625,19525.939453125,23707.0,ActiveLearning,Continuing
31,58,221696.0,154703.609375,59881.3671875,23707.0,ActiveLearning,Continuing
32,100,175885.0,154111.984375,52344.80078125,23707.0,ActiveLearning,Continuing
33,120,91655.0,194810.53125,97040.265625,23707.0,ActiveLearning,Continuing
34,121,107908.0,138799.328125,79504.578125,23707.0,ActiveLearning,Continuing
35,122,168856.0,106716.9140625,32188.05859375,23707.0,ActiveLearning,Continuing
36,123,292981.0,124846.984375,18576.962890625,23707.0,ActiveLearning,Continuing
37,86,91681.0,172703.296875,46383.41015625,23707.0,ActiveLearning,Continuing
38,2,144074.0,164401.21875,49326.0078125,23707.0,ActiveLearning,Continuing
39,87,183180.0,147614.546875,23595.01171875,23707.0,ActiveLearning,Continuing
40,78,127394.0,170369.859375,34125.828125,23707.0,ActiveLearning,Continuing
41,104,208028.0,199149.046875,65400.0390625,23707.0,ActiveLearning,Continuing
42,60,38893.0,162708.71875,20669.998046875,23707.0,ActiveLearning,Continuing
43,59,123157.0,111748.421875,50476.765625,23707.0,ActiveLearning,Continuing
44,61,449878.0,162323.8125,25220.90234375,23707.0,ActiveLearning,Continuing
45,44,299002.0,205615.421875,55551.2109375,23707.0,ActiveLearning,Continuing
46,28,57484.0,211982.859375,61567.45703125,23707.0,ActiveLearning,Continuing
47,29,286689.0,127153.25,87859.0078125,23707.0,ActiveLearning,Continuing
48,95,163985.0,291764.96875,127451.0546875,23707.0,ActiveLearning,Continuing
49,36,190636.0,249540.71875,87271.8671875,23707.0,ActiveLearning,Continuing
50,37,342685.0,221026.859375,74166.4296875,23707.0,ActiveLearning,Continuing
51,32,207474.0,286244.03125,111404.2734375,23707.0,ActiveLearning,Continuing
52,89,120257.0,258717.078125,93805.921875,23707.0,ActiveLearning,Continuing
53,3,239852.0,282414.5625,122282.2890625,23707.0,ActiveLearning,Continuing
54,33,132665.0,214744.25,104557.484375,23707.0,ActiveLearning,Continuing
55,63,300244.0,205214.5,91993.2109375,23707.0,ActiveLearning,Continuing
56,69,252077.0,222900.703125,87553.5078125,23707.0,ActiveLearning,Continuing
57,85,27122.0,214543.734375,25009.44921875,23707.0,ActiveLearning,Continuing
58,4,416657.0,281532.5625,70989.9453125,23707.0,ActiveLearning,Continuing
59,96,383479.0,296101.375,45139.125,23707.0,ActiveLearning,Continuing
60,97,206695.0,340380.53125,82270.65625,23707.0,ActiveLearning,Continuing
61,45,481313.0,332454.03125,78083.1015625,23707.0,ActiveLearning,Continuing
62,0,480185.0,705250.0625,458796.53125,23707.0,ActiveLearning,Continuing
63,52,456484.0,346267.03125,82044.3515625,23707.0,ActiveLearning,Continuing
64,41,370439.0,333401.875,44133.66796875,23707.0,ActiveLearning,Continuing
65,72,339668.0,596256.8125,370324.0,23707.0,ActiveLearning,Continuing
66,56,133495.0,341446.65625,179398.6875,23707.0,ActiveLearning,Continuing
67,57,237318.0,282401.53125,188898.296875,23707.0,ActiveLearning,Continuing
68,103,145224.0,272223.96875,162411.671875,23707.0,ActiveLearning,Continuing
69,101,239057.0,210201.5625,73731.0703125,23707.0,ActiveLearning,Continuing
70,94,136004.0,301996.4375,152658.265625,23707.0,ActiveLearning,Continuing
71,99,192477.0,345739.90625,150201.890625,23707.0,ActiveLearning,Continuing
72,128,258154.0,565262.25,340398.59375,23707.0,ActiveLearning,Continuing
73,76,272660.0,374592.0,225384.34375,23707.0,ActiveLearning,Continuing
74,129,316310.0,385061.09375,234340.171875,23707.0,ActiveLearning,Continuing
75,11,284710.0,434910.96875,177699.0625,23707.0,ActiveLearning,Continuing
76,109,452558.0,395861.65625,144069.203125,23707.0,ActiveLearning,Continuing
77,9,914156.0,602283.375,349151.78125,23707.0,ActiveLearning,Continuing
78,130,319618.0,306772.53125,61936.37109375,23707.0,ActiveLearning,Continuing
79,88,132641.0,322605.46875,51009.96875,23707.0,ActiveLearning,Continuing
80,30,209698.0,276872.59375,74152.703125,23707.0,ActiveLearning,Continuing
81,62,40621.0,298729.46875,78058.6875,23707.0,ActiveLearning,Continuing
82,47,416405.0,339981.90625,79659.890625,23707.0,ActiveLearning,Continuing
83,34,287734.0,341975.9375,71033.9609375,23707.0,ActiveLearning,Continuing
84,35,302631.0,315313.9375,51494.66796875,23707.0,ActiveLearning,Continuing
85,64,269180.0,331965.1875,62576.7421875,23707.0,ActiveLearning,Continuing
86,91,225170.0,310156.8125,58431.3203125,23707.0,ActiveLearning,Continuing
87,90,318600.0,314061.90625,57077.96484375,23707.0,ActiveLearning,Continuing
88,38,224858.0,329779.875,62938.859375,23707.0,ActiveLearning,Continuing
89,5,253423.0,286625.125,38103.11328125,23707.0,ActiveLearning,Continuing
90,6,273687.0,262596.40625,31777.798828125,23707.0,ActiveLearning,Continuing
91,93,211852.0,271800.03125,21911.59765625,23707.0,ActiveLearning,Continuing
92,70,286563.0,299379.0,49152.63671875,23707.0,ActiveLearning,Continuing
93,92,261756.0,284117.03125,25822.392578125,23707.0,ActiveLearning,Continuing
94,7,144556.0,331465.53125,62630.5859375,23707.0,ActiveLearning,Continuing
95,8,351227.0,180907.0,71431.8203125,23707.0,ActiveLearning,Continuing
96,65,349707.0,308861.46875,51593.0,23707.0,ActiveLearning,Continuing
97,131,422140.0,300927.21875,16683.39453125,23707.0,ActiveLearning,Continuing
98,43,228347.0,363959.71875,48436.7578125,23707.0,ActiveLearning,Continuing
99,77,476197.0,318553.90625,55226.765625,23707.0,ActiveLearning,Continuing
100,49,234879.0,389714.15625,59123.39453125,23707.0,ActiveLearning,Continuing
101,50,199330.0,357074.625,72323.84375,23707.0,ActiveLearning,Continuing
102,53,374938.0,347090.71875,75687.0625,23707.0,ActiveLearning,Continuing
103,80,438903.0,400159.0,64972.44140625,23707.0,ActiveLearning,Continuing
