Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,4,416657.0,,,23707.0,WarmStart,WarmStart
1,11,284710.0,,,23707.0,WarmStart,WarmStart
2,12,602576.0,,,23707.0,WarmStart,WarmStart
3,19,446747.0,,,23707.0,WarmStart,WarmStart
4,26,1267615.0,,,23707.0,WarmStart,WarmStart
5,27,1274993.0,,,23707.0,WarmStart,WarmStart
6,31,316345.0,,,23707.0,WarmStart,WarmStart
7,36,190636.0,,,23707.0,WarmStart,WarmStart
8,42,482218.0,,,23707.0,WarmStart,WarmStart
9,51,293210.0,,,23707.0,WarmStart,WarmStart
10,55,463506.0,,,23707.0,WarmStart,WarmStart
11,66,284939.0,,,23707.0,WarmStart,WarmStart
12,68,180293.0,,,23707.0,WarmStart,WarmStart
13,69,252077.0,,,23707.0,WarmStart,WarmStart
14,73,96638.0,,,23707.0,WarmStart,WarmStart
15,78,127394.0,,,23707.0,WarmStart,WarmStart
16,80,438903.0,,,23707.0,WarmStart,WarmStart
17,86,91681.0,,,23707.0,WarmStart,WarmStart
18,109,452558.0,,,23707.0,WarmStart,WarmStart
19,112,23707.0,,,23707.0,WarmStart,WarmStart
20,117,38370.0,,,23707.0,WarmStart,WarmStart
21,118,107494.0,,,23707.0,WarmStart,WarmStart
22,126,93928.0,,,23707.0,WarmStart,WarmStart
23,130,319618.0,,,23707.0,WarmStart,WarmStart
24,134,593083.0,,,23707.0,WarmStart,WarmStart
25,135,1375402.0,,,23707.0,WarmStart,WarmStart
26,84,24723.0,87936.9140625,96262.5703125,23707.0,ActiveLearning,Continuing
27,56,133495.0,349690.125,429897.53125,23707.0,ActiveLearning,Continuing
28,57,237318.0,267519.4375,337208.59375,23707.0,ActiveLearning,Continuing
29,72,339668.0,330556.625,365002.25,23707.0,ActiveLearning,Continuing
30,113,59211.0,39247.17578125,56398.8125,23707.0,ActiveLearning,Continuing
31,114,80413.0,40711.921875,40956.48828125,23707.0,ActiveLearning,Continuing
32,116,26197.0,110488.921875,80599.125,23707.0,ActiveLearning,Continuing
33,119,119938.0,68122.3984375,55864.85546875,23707.0,ActiveLearning,Continuing
34,115,98439.0,47249.77734375,10835.7587890625,23707.0,ActiveLearning,Continuing
35,74,140574.0,114535.9140625,52743.91796875,23707.0,ActiveLearning,Continuing
36,39,98773.0,134591.8125,67922.703125,23707.0,ActiveLearning,Continuing
37,58,221696.0,115582.203125,39373.77734375,23707.0,ActiveLearning,Continuing
38,75,59256.0,98058.25,30171.369140625,23707.0,ActiveLearning,Continuing
39,124,55524.0,76297.671875,12810.5556640625,23707.0,ActiveLearning,Continuing
40,125,88158.0,68149.0859375,8575.591796875,23707.0,ActiveLearning,Continuing
41,127,184086.0,72522.9609375,7829.89306640625,23707.0,ActiveLearning,Continuing
42,71,87667.0,113576.7890625,38320.65625,23707.0,ActiveLearning,Continuing
43,67,227835.0,160433.09375,70099.265625,23707.0,ActiveLearning,Continuing
44,102,129483.0,133826.84375,47313.43359375,23707.0,ActiveLearning,Continuing
45,105,141683.0,137087.734375,43021.859375,23707.0,ActiveLearning,Continuing
46,98,147202.0,115438.8828125,19215.7578125,23707.0,ActiveLearning,Continuing
47,120,91655.0,123275.046875,38855.4765625,23707.0,ActiveLearning,Continuing
48,121,107908.0,101031.6484375,21737.4375,23707.0,ActiveLearning,Continuing
49,122,168856.0,99063.8203125,8523.578125,23707.0,ActiveLearning,Continuing
50,123,292981.0,113701.3359375,17058.05859375,23707.0,ActiveLearning,Continuing
51,2,144074.0,137549.0625,44543.6953125,23707.0,ActiveLearning,Continuing
52,100,175885.0,120198.203125,16916.78125,23707.0,ActiveLearning,Continuing
53,103,145224.0,288811.96875,181606.578125,23707.0,ActiveLearning,Continuing
54,101,239057.0,183159.078125,150074.328125,23707.0,ActiveLearning,Continuing
55,87,183180.0,146702.0625,25888.95703125,23707.0,ActiveLearning,Continuing
56,104,208028.0,168702.5625,40814.4453125,23707.0,ActiveLearning,Continuing
57,28,57484.0,195374.015625,60180.0234375,23707.0,ActiveLearning,Continuing
58,29,286689.0,94977.7421875,67555.2890625,23707.0,ActiveLearning,Continuing
59,94,136004.0,308807.0,174659.890625,23707.0,ActiveLearning,Continuing
60,99,192477.0,354915.9375,234967.609375,23707.0,ActiveLearning,Continuing
61,76,272660.0,483997.8125,359795.28125,23707.0,ActiveLearning,Continuing
62,95,163985.0,168208.796875,36172.296875,23707.0,ActiveLearning,Continuing
63,59,123157.0,167386.71875,26712.462890625,23707.0,ActiveLearning,Continuing
64,60,38893.0,150825.953125,27680.068359375,23707.0,ActiveLearning,Continuing
65,61,449878.0,158002.578125,19361.2890625,23707.0,ActiveLearning,Continuing
66,44,299002.0,205631.015625,54046.734375,23707.0,ActiveLearning,Continuing
67,85,27122.0,204773.359375,42428.9765625,23707.0,ActiveLearning,Continuing
68,37,342685.0,206290.59375,37659.64453125,23707.0,ActiveLearning,Continuing
69,128,258154.0,492847.84375,316773.46875,23707.0,ActiveLearning,Continuing
70,129,316310.0,381438.28125,239437.203125,23707.0,ActiveLearning,Continuing
71,131,422140.0,369844.6875,205675.3125,23707.0,ActiveLearning,Continuing
72,41,370439.0,286714.65625,73858.765625,23707.0,ActiveLearning,Continuing
