Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,3,239852.0,,,23707.0,WarmStart,WarmStart
1,4,416657.0,,,23707.0,WarmStart,WarmStart
2,12,602576.0,,,23707.0,WarmStart,WarmStart
3,18,1155542.0,,,23707.0,WarmStart,WarmStart
4,22,1182236.0,,,23707.0,WarmStart,WarmStart
5,23,1281399.0,,,23707.0,WarmStart,WarmStart
6,24,1300295.0,,,23707.0,WarmStart,WarmStart
7,30,209698.0,,,23707.0,WarmStart,WarmStart
8,31,316345.0,,,23707.0,WarmStart,WarmStart
9,32,207474.0,,,23707.0,WarmStart,WarmStart
10,33,132665.0,,,23707.0,WarmStart,WarmStart
11,34,287734.0,,,23707.0,WarmStart,WarmStart
12,35,302631.0,,,23707.0,WarmStart,WarmStart
13,37,342685.0,,,23707.0,WarmStart,WarmStart
14,39,98773.0,,,23707.0,WarmStart,WarmStart
15,40,343647.0,,,23707.0,WarmStart,WarmStart
16,41,370439.0,,,23707.0,WarmStart,WarmStart
17,44,299002.0,,,23707.0,WarmStart,WarmStart
18,47,416405.0,,,23707.0,WarmStart,WarmStart
19,63,300244.0,,,23707.0,WarmStart,WarmStart
20,68,180293.0,,,23707.0,WarmStart,WarmStart
21,69,252077.0,,,23707.0,WarmStart,WarmStart
22,77,476197.0,,,23707.0,WarmStart,WarmStart
23,82,252642.0,,,23707.0,WarmStart,WarmStart
24,88,132641.0,,,23707.0,WarmStart,WarmStart
25,89,120257.0,,,23707.0,WarmStart,WarmStart
26,91,225170.0,,,23707.0,WarmStart,WarmStart
27,96,383479.0,,,23707.0,WarmStart,WarmStart
28,97,206695.0,,,23707.0,WarmStart,WarmStart
29,106,437082.0,,,23707.0,WarmStart,WarmStart
30,107,701140.0,,,23707.0,WarmStart,WarmStart
31,108,719564.0,,,23707.0,WarmStart,WarmStart
32,109,452558.0,,,23707.0,WarmStart,WarmStart
33,110,794499.0,,,23707.0,WarmStart,WarmStart
34,111,375241.0,,,23707.0,WarmStart,WarmStart
35,113,59211.0,,,23707.0,WarmStart,WarmStart
36,114,80413.0,,,23707.0,WarmStart,WarmStart
37,115,98439.0,,,23707.0,WarmStart,WarmStart
38,128,258154.0,,,23707.0,WarmStart,WarmStart
39,130,319618.0,,,23707.0,WarmStart,WarmStart
40,132,503950.0,,,23707.0,WarmStart,WarmStart
41,133,541686.0,,,23707.0,WarmStart,WarmStart
42,134,593083.0,,,23707.0,WarmStart,WarmStart
43,56,133495.0,147278.9375,1392.1492919921875,23707.0,ActiveLearning,Continuing
44,112,23707.0,80118.21875,3436.0849609375,23707.0,ActiveLearning,Min Instability index in Dataset reached
