Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,2,144074.0,,,23707.0,WarmStart,WarmStart
1,39,98773.0,,,23707.0,WarmStart,WarmStart
2,43,228347.0,,,23707.0,WarmStart,WarmStart
3,53,374938.0,,,23707.0,WarmStart,WarmStart
4,54,376516.0,,,23707.0,WarmStart,WarmStart
5,55,463506.0,,,23707.0,WarmStart,WarmStart
6,58,221696.0,,,23707.0,WarmStart,WarmStart
7,62,40621.0,,,23707.0,WarmStart,WarmStart
8,66,284939.0,,,23707.0,WarmStart,WarmStart
9,67,227835.0,,,23707.0,WarmStart,WarmStart
10,74,140574.0,,,23707.0,WarmStart,WarmStart
11,84,24723.0,,,23707.0,WarmStart,WarmStart
12,85,27122.0,,,23707.0,WarmStart,WarmStart
13,86,91681.0,,,23707.0,WarmStart,WarmStart
14,96,383479.0,,,23707.0,WarmStart,WarmStart
15,98,147202.0,,,23707.0,WarmStart,WarmStart
16,100,175885.0,,,23707.0,WarmStart,WarmStart
17,101,239057.0,,,23707.0,WarmStart,WarmStart
18,106,437082.0,,,23707.0,WarmStart,WarmStart
19,116,26197.0,,,23707.0,WarmStart,WarmStart
20,117,38370.0,,,23707.0,WarmStart,WarmStart
21,118,107494.0,,,23707.0,WarmStart,WarmStart
22,119,119938.0,,,23707.0,WarmStart,WarmStart
23,120,91655.0,,,23707.0,WarmStart,WarmStart
24,121,107908.0,,,23707.0,WarmStart,WarmStart
25,123,292981.0,,,23707.0,WarmStart,WarmStart
26,125,88158.0,,,23707.0,WarmStart,WarmStart
27,126,93928.0,,,23707.0,WarmStart,WarmStart
28,127,184086.0,,,23707.0,WarmStart,WarmStart
29,0,480185.0,73765.5193815513,96820.44709611402,23707.0,ActiveLearning,Continuing
30,1,505657.0,120838.12014295562,121077.05636949446,23707.0,ActiveLearning,Continuing
31,26,1267615.0,2.287858090305087e-07,330303.7697482172,23707.0,ActiveLearning,Continuing
32,7,144556.0,116828.6998633684,263274.4297909501,23707.0,ActiveLearning,Continuing
33,17,1103450.0,125250.10838973353,312257.2545500973,23707.0,ActiveLearning,Continuing
34,63,300244.0,73191.47799718757,140848.2584639855,23707.0,ActiveLearning,Continuing
35,59,123157.0,119806.81205790941,101111.90924639015,23707.0,ActiveLearning,Continuing
36,60,38893.0,121649.27517233127,98492.16746543985,23707.0,ActiveLearning,Continuing
37,87,183180.0,121155.83417846846,97771.85228206422,23707.0,ActiveLearning,Continuing
38,61,449878.0,133556.52280321482,96441.21728837356,23707.0,ActiveLearning,Continuing
39,32,207474.0,135612.73622673706,147388.19226253364,23707.0,ActiveLearning,Continuing
40,8,351227.0,144830.58725679605,144999.97551769245,23707.0,ActiveLearning,Continuing
41,88,132641.0,145021.24247325637,142723.86826730642,23707.0,ActiveLearning,Continuing
42,30,209698.0,143880.3422581168,139826.3850429602,23707.0,ActiveLearning,Continuing
43,31,316345.0,149281.40905126996,136967.45146904234,23707.0,ActiveLearning,Continuing
44,102,129483.0,141200.91739288272,115457.51316856018,23707.0,ActiveLearning,Continuing
45,73,96638.0,157639.86893899977,120527.01478426348,23707.0,ActiveLearning,Continuing
46,75,59256.0,143993.12193976788,110650.53870500623,23707.0,ActiveLearning,Continuing
47,124,55524.0,132934.75419889318,108902.79118378733,23707.0,ActiveLearning,Continuing
48,103,145224.0,124930.26681202537,113274.64410014903,23707.0,ActiveLearning,Continuing
49,78,127394.0,138482.55010506164,111685.98000562024,23707.0,ActiveLearning,Continuing
50,104,208028.0,141773.28825743558,109135.45225845677,23707.0,ActiveLearning,Continuing
51,71,87667.0,152461.26786889823,101697.20749195977,23707.0,ActiveLearning,Continuing
52,5,253423.0,153803.05361741243,186280.95090842518,23707.0,ActiveLearning,Continuing
53,28,57484.0,152560.21342021984,101882.56984898857,23707.0,ActiveLearning,Continuing
54,29,286689.0,144233.71606870374,101068.64172913769,23707.0,ActiveLearning,Continuing
55,122,168856.0,153487.72269279812,103222.99478213924,23707.0,ActiveLearning,Continuing
56,105,141683.0,160190.2883695284,110193.05334981045,23707.0,ActiveLearning,Continuing
57,95,163985.0,162457.72016901243,99446.89903318317,23707.0,ActiveLearning,Continuing
58,99,192477.0,165984.16258672005,101318.94208307506,23707.0,ActiveLearning,Continuing
59,44,299002.0,168384.77961000658,103059.68694158565,23707.0,ActiveLearning,Continuing
60,76,272660.0,173568.27184820303,106581.50574466179,23707.0,ActiveLearning,Continuing
61,113,59211.0,179584.17281280103,98943.30866688618,23707.0,ActiveLearning,Continuing
62,114,80413.0,169730.28446141505,99029.69393020787,23707.0,ActiveLearning,Continuing
63,112,23707.0,162779.5591083866,98436.09122939127,23707.0,ActiveLearning,Min Instability index in Dataset reached
