Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,2,144074.0,,,23707.0,WarmStart,WarmStart
1,5,253423.0,,,23707.0,WarmStart,WarmStart
2,9,914156.0,,,23707.0,WarmStart,WarmStart
3,15,102012.0,,,23707.0,WarmStart,WarmStart
4,23,1281399.0,,,23707.0,WarmStart,WarmStart
5,24,1300295.0,,,23707.0,WarmStart,WarmStart
6,25,876981.0,,,23707.0,WarmStart,WarmStart
7,28,57484.0,,,23707.0,WarmStart,WarmStart
8,29,286689.0,,,23707.0,WarmStart,WarmStart
9,30,209698.0,,,23707.0,WarmStart,WarmStart
10,44,299002.0,,,23707.0,WarmStart,WarmStart
11,49,234879.0,,,23707.0,WarmStart,WarmStart
12,51,293210.0,,,23707.0,WarmStart,WarmStart
13,52,456484.0,,,23707.0,WarmStart,WarmStart
14,59,123157.0,,,23707.0,WarmStart,WarmStart
15,60,38893.0,,,23707.0,WarmStart,WarmStart
16,73,96638.0,,,23707.0,WarmStart,WarmStart
17,74,140574.0,,,23707.0,WarmStart,WarmStart
18,75,59256.0,,,23707.0,WarmStart,WarmStart
19,80,438903.0,,,23707.0,WarmStart,WarmStart
20,86,91681.0,,,23707.0,WarmStart,WarmStart
21,87,183180.0,,,23707.0,WarmStart,WarmStart
22,93,211852.0,,,23707.0,WarmStart,WarmStart
23,98,147202.0,,,23707.0,WarmStart,WarmStart
24,100,175885.0,,,23707.0,WarmStart,WarmStart
25,102,129483.0,,,23707.0,WarmStart,WarmStart
26,104,208028.0,,,23707.0,WarmStart,WarmStart
27,109,452558.0,,,23707.0,WarmStart,WarmStart
28,113,59211.0,,,23707.0,WarmStart,WarmStart
29,114,80413.0,,,23707.0,WarmStart,WarmStart
30,119,119938.0,,,23707.0,WarmStart,WarmStart
31,120,91655.0,,,23707.0,WarmStart,WarmStart
32,121,107908.0,,,23707.0,WarmStart,WarmStart
33,122,168856.0,,,23707.0,WarmStart,WarmStart
34,123,292981.0,,,23707.0,WarmStart,WarmStart
35,124,55524.0,,,23707.0,WarmStart,WarmStart
36,125,88158.0,,,23707.0,WarmStart,WarmStart
37,126,93928.0,,,23707.0,WarmStart,WarmStart
38,127,184086.0,,,23707.0,WarmStart,WarmStart
39,128,258154.0,,,23707.0,WarmStart,WarmStart
40,129,316310.0,,,23707.0,WarmStart,WarmStart
41,130,319618.0,,,23707.0,WarmStart,WarmStart
42,131,422140.0,,,23707.0,WarmStart,WarmStart
43,0,480185.0,42731.30589817515,172734.07960834264,23707.0,ActiveLearning,Continuing
44,116,26197.0,92083.22578084699,88266.02516925024,23707.0,ActiveLearning,Continuing
45,117,38370.0,87371.59246127772,86935.15060307542,23707.0,ActiveLearning,Continuing
46,118,107494.0,83963.76469357779,85344.491294154,23707.0,ActiveLearning,Continuing
47,67,227835.0,93630.41262922889,84565.1751673185,23707.0,ActiveLearning,Continuing
48,66,284939.0,107062.64856249573,87069.73976877508,23707.0,ActiveLearning,Continuing
49,101,239057.0,120026.6337450654,92681.98053278496,23707.0,ActiveLearning,Continuing
50,58,221696.0,119789.20393923909,95116.58708705007,23707.0,ActiveLearning,Continuing
51,85,27122.0,130363.91893941344,94835.08087232166,23707.0,ActiveLearning,Continuing
52,71,87667.0,128936.03979618,95213.25839106372,23707.0,ActiveLearning,Continuing
53,39,98773.0,134514.59470695883,94308.04138025011,23707.0,ActiveLearning,Continuing
54,61,449878.0,142563.13797065092,95380.09198866409,23707.0,ActiveLearning,Continuing
55,84,24723.0,148572.16685235858,105320.12563184493,23707.0,ActiveLearning,Continuing
56,112,23707.0,136199.85861519308,105677.40305204407,23707.0,ActiveLearning,Min Instability index in Dataset reached
