Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,6,273687.0,,,23707.0,WarmStart,WarmStart
3,7,144556.0,,,23707.0,WarmStart,WarmStart
4,12,602576.0,,,23707.0,WarmStart,WarmStart
5,28,57484.0,,,23707.0,WarmStart,WarmStart
6,37,342685.0,,,23707.0,WarmStart,WarmStart
7,50,199330.0,,,23707.0,WarmStart,WarmStart
8,59,123157.0,,,23707.0,WarmStart,WarmStart
9,61,449878.0,,,23707.0,WarmStart,WarmStart
10,66,284939.0,,,23707.0,WarmStart,WarmStart
11,67,227835.0,,,23707.0,WarmStart,WarmStart
12,71,87667.0,,,23707.0,WarmStart,WarmStart
13,72,339668.0,,,23707.0,WarmStart,WarmStart
14,84,24723.0,,,23707.0,WarmStart,WarmStart
15,86,91681.0,,,23707.0,WarmStart,WarmStart
16,98,147202.0,,,23707.0,WarmStart,WarmStart
17,100,175885.0,,,23707.0,WarmStart,WarmStart
18,109,452558.0,,,23707.0,WarmStart,WarmStart
19,113,59211.0,,,23707.0,WarmStart,WarmStart
20,115,98439.0,,,23707.0,WarmStart,WarmStart
21,116,26197.0,,,23707.0,WarmStart,WarmStart
22,117,38370.0,,,23707.0,WarmStart,WarmStart
23,119,119938.0,,,23707.0,WarmStart,WarmStart
24,122,168856.0,,,23707.0,WarmStart,WarmStart
25,127,184086.0,,,23707.0,WarmStart,WarmStart
26,128,258154.0,,,23707.0,WarmStart,WarmStart
27,8,351227.0,179953.65684903527,174555.77500534014,23707.0,ActiveLearning,Continuing
28,56,133495.0,202718.63378878095,159195.64589740595,23707.0,ActiveLearning,Continuing
29,26,1267615.0,3.068491709114041e-14,329514.9230729156,23707.0,ActiveLearning,Continuing
30,21,1167261.0,14764.523457353742,330280.87733815087,23707.0,ActiveLearning,Continuing
31,58,221696.0,175910.34104097093,170077.12124031078,23707.0,ActiveLearning,Continuing
32,60,38893.0,177842.48039048963,167032.15108036416,23707.0,ActiveLearning,Continuing
33,2,144074.0,169651.96783292995,165455.07035820134,23707.0,ActiveLearning,Continuing
34,62,40621.0,167390.1524443137,163988.86962724864,23707.0,ActiveLearning,Continuing
35,30,209698.0,154732.30643818216,162263.08411582038,23707.0,ActiveLearning,Continuing
36,88,132641.0,159182.08285956597,159081.78859755216,23707.0,ActiveLearning,Continuing
37,31,316345.0,155738.44152844697,155885.98805324276,23707.0,ActiveLearning,Continuing
38,87,183180.0,167667.1030684975,154289.21510089817,23707.0,ActiveLearning,Continuing
39,32,207474.0,170805.0694873011,154503.768141279,23707.0,ActiveLearning,Continuing
40,85,27122.0,171875.25345215498,148810.26430253827,23707.0,ActiveLearning,Continuing
41,29,286689.0,168122.0847296213,148850.29941443997,23707.0,ActiveLearning,Continuing
42,89,120257.0,172003.31783046783,150986.5453192466,23707.0,ActiveLearning,Continuing
43,33,132665.0,168047.2742154373,148601.87391025605,23707.0,ActiveLearning,Continuing
44,63,300244.0,168071.1191756725,147100.35006838947,23707.0,ActiveLearning,Continuing
45,112,23707.0,175894.33376039728,143790.36833345456,23707.0,ActiveLearning,Min Instability index in Dataset reached
