Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,1,505657.0,,,23707.0,WarmStart,WarmStart
1,28,57484.0,,,23707.0,WarmStart,WarmStart
2,29,286689.0,,,23707.0,WarmStart,WarmStart
3,51,293210.0,,,23707.0,WarmStart,WarmStart
4,60,38893.0,,,23707.0,WarmStart,WarmStart
5,72,339668.0,,,23707.0,WarmStart,WarmStart
6,84,24723.0,,,23707.0,WarmStart,WarmStart
7,92,261756.0,,,23707.0,WarmStart,WarmStart
8,113,59211.0,,,23707.0,WarmStart,WarmStart
9,114,80413.0,,,23707.0,WarmStart,WarmStart
10,2,144074.0,-0.0,280827.29072224285,23707.0,ActiveLearning,Continuing
11,23,1281399.0,4.840519712927617e-16,292292.7017196143,23707.0,ActiveLearning,Continuing
12,63,300244.0,160491.80461064435,215036.26789891438,23707.0,ActiveLearning,Continuing
13,7,144556.0,182532.77670495686,245849.70191309488,23707.0,ActiveLearning,Continuing
14,8,351227.0,163247.7214944834,208241.20883852022,23707.0,ActiveLearning,Continuing
15,0,480185.0,177422.55533019372,188502.2427595476,23707.0,ActiveLearning,Continuing
16,65,349707.0,208791.08601423976,209937.98332238712,23707.0,ActiveLearning,Continuing
17,56,133495.0,216044.9479920301,191054.72647269204,23707.0,ActiveLearning,Continuing
18,87,183180.0,207369.95271251746,181552.15635356493,23707.0,ActiveLearning,Continuing
19,88,132641.0,201013.72383248963,173560.03132345038,23707.0,ActiveLearning,Continuing
20,3,239852.0,3.538632314120512e-45,331455.69064219826,23707.0,ActiveLearning,Continuing
21,32,207474.0,190913.0243882883,159370.00725348637,23707.0,ActiveLearning,Continuing
22,30,209698.0,189659.6300146403,152548.0941577223,23707.0,ActiveLearning,Continuing
23,82,252642.0,28160.056620641324,330256.41331270075,23707.0,ActiveLearning,Continuing
24,21,1167261.0,109912.1277324504,321829.0023839389,23707.0,ActiveLearning,Continuing
25,9,914156.0,130938.92233089247,261878.82440670507,23707.0,ActiveLearning,Continuing
26,33,132665.0,212176.1341272281,210450.91038899246,23707.0,ActiveLearning,Continuing
27,89,120257.0,203913.18826930592,204477.9083523531,23707.0,ActiveLearning,Continuing
28,4,416657.0,196469.43450820458,200853.20111263124,23707.0,ActiveLearning,Continuing
29,62,40621.0,212503.75480556328,200864.6233828678,23707.0,ActiveLearning,Continuing
30,31,316345.0,201967.84427783097,198672.1554706286,23707.0,ActiveLearning,Continuing
31,59,123157.0,87111.99607403376,112432.01953504965,23707.0,ActiveLearning,Continuing
32,61,449878.0,204004.51302424312,192068.3280927293,23707.0,ActiveLearning,Continuing
33,86,91681.0,216886.2980719723,195390.59408464906,23707.0,ActiveLearning,Continuing
34,58,221696.0,211445.97941007442,192881.02762865403,23707.0,ActiveLearning,Continuing
35,85,27122.0,211997.8469803728,189241.3412606835,23707.0,ActiveLearning,Continuing
36,112,23707.0,205689.4761242097,189593.84984840872,23707.0,ActiveLearning,Min Instability index in Dataset reached
