Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,6,273687.0,,,23707.0,WarmStart,WarmStart
3,28,57484.0,,,23707.0,WarmStart,WarmStart
4,29,286689.0,,,23707.0,WarmStart,WarmStart
5,61,449878.0,,,23707.0,WarmStart,WarmStart
6,66,284939.0,,,23707.0,WarmStart,WarmStart
7,72,339668.0,,,23707.0,WarmStart,WarmStart
8,84,24723.0,,,23707.0,WarmStart,WarmStart
9,87,183180.0,,,23707.0,WarmStart,WarmStart
10,92,261756.0,,,23707.0,WarmStart,WarmStart
11,26,1267615.0,277324.3213043647,165859.33822276036,23707.0,ActiveLearning,Continuing
12,7,144556.0,199519.49939823998,268838.4543203652,23707.0,ActiveLearning,Continuing
13,8,351227.0,186071.5528911025,225895.86053958474,23707.0,ActiveLearning,Continuing
14,65,349707.0,242565.16674112433,207030.18099621948,23707.0,ActiveLearning,Continuing
15,38,224858.0,280112.09340233065,190324.3784975382,23707.0,ActiveLearning,Continuing
16,93,211852.0,273308.46098506317,176238.3159020268,23707.0,ActiveLearning,Continuing
17,5,253423.0,265569.69156444806,166496.54650964058,23707.0,ActiveLearning,Continuing
18,34,287734.0,317997.9819138391,274271.35202157503,23707.0,ActiveLearning,Continuing
19,35,302631.0,317085.6499281638,266397.7913068152,23707.0,ActiveLearning,Continuing
20,91,225170.0,275110.06858811755,144828.83665478343,23707.0,ActiveLearning,Continuing
21,64,269180.0,270738.5625312436,139535.66632709734,23707.0,ActiveLearning,Continuing
22,90,318600.0,271501.18361341266,134579.49836645825,23707.0,ActiveLearning,Continuing
23,70,286563.0,274775.48964455613,130929.93080122974,23707.0,ActiveLearning,Continuing
24,3,239852.0,276062.9067994824,126988.66796027982,23707.0,ActiveLearning,Continuing
25,4,416657.0,272736.4143141712,123339.77334332647,23707.0,ActiveLearning,Continuing
26,63,300244.0,285859.583293382,124983.89448895471,23707.0,ActiveLearning,Continuing
27,33,132665.0,288027.25860911503,121870.08577082281,23707.0,ActiveLearning,Continuing
28,89,120257.0,279197.7028064648,122952.3104814837,23707.0,ActiveLearning,Continuing
29,32,207474.0,270318.8083257955,124038.38358950356,23707.0,ActiveLearning,Continuing
30,31,316345.0,267016.4396267792,121621.08149018088,23707.0,ActiveLearning,Continuing
31,30,209698.0,269546.63578882447,119521.66186651349,23707.0,ActiveLearning,Continuing
32,88,132641.0,266457.6862494109,117383.6931127129,23707.0,ActiveLearning,Continuing
33,62,40621.0,260379.03294479623,117495.98043566378,23707.0,ActiveLearning,Continuing
34,2,144074.0,253553.6594426767,122365.26429505392,23707.0,ActiveLearning,Continuing
35,60,38893.0,249032.40465906402,121699.52584289589,23707.0,ActiveLearning,Continuing
36,21,1167261.0,75461.56330711463,332195.0776849379,23707.0,ActiveLearning,Continuing
37,59,123157.0,232835.56339016857,122616.85417058693,23707.0,ActiveLearning,Continuing
38,86,91681.0,229017.2431603044,122003.98793638349,23707.0,ActiveLearning,Continuing
39,58,221696.0,222766.48905742262,122402.19568971102,23707.0,ActiveLearning,Continuing
40,85,27122.0,223916.72831442382,120389.03240009403,23707.0,ActiveLearning,Continuing
41,112,23707.0,219262.7903052463,124589.05610600246,23707.0,ActiveLearning,Min Instability index in Dataset reached
