Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,2,144074.0,,,23707.0,WarmStart,WarmStart
1,28,57484.0,,,23707.0,WarmStart,WarmStart
2,29,286689.0,,,23707.0,WarmStart,WarmStart
3,43,228347.0,,,23707.0,WarmStart,WarmStart
4,50,199330.0,,,23707.0,WarmStart,WarmStart
5,51,293210.0,,,23707.0,WarmStart,WarmStart
6,52,456484.0,,,23707.0,WarmStart,WarmStart
7,53,374938.0,,,23707.0,WarmStart,WarmStart
8,54,376516.0,,,23707.0,WarmStart,WarmStart
9,55,463506.0,,,23707.0,WarmStart,WarmStart
10,57,237318.0,,,23707.0,WarmStart,WarmStart
11,58,221696.0,,,23707.0,WarmStart,WarmStart
12,59,123157.0,,,23707.0,WarmStart,WarmStart
13,66,284939.0,,,23707.0,WarmStart,WarmStart
14,67,227835.0,,,23707.0,WarmStart,WarmStart
15,74,140574.0,,,23707.0,WarmStart,WarmStart
16,84,24723.0,,,23707.0,WarmStart,WarmStart
17,85,27122.0,,,23707.0,WarmStart,WarmStart
18,86,91681.0,,,23707.0,WarmStart,WarmStart
19,98,147202.0,,,23707.0,WarmStart,WarmStart
20,101,239057.0,,,23707.0,WarmStart,WarmStart
21,116,26197.0,,,23707.0,WarmStart,WarmStart
22,117,38370.0,,,23707.0,WarmStart,WarmStart
23,118,107494.0,,,23707.0,WarmStart,WarmStart
24,119,119938.0,,,23707.0,WarmStart,WarmStart
25,127,184086.0,,,23707.0,WarmStart,WarmStart
26,138,1755056.0,116748.19077514039,304955.4453591315,23707.0,ActiveLearning,Continuing
27,0,480185.0,125060.58243274657,109731.02842782189,23707.0,ActiveLearning,Continuing
28,3,239852.0,7126.813287481127,142644.55496846352,23707.0,ActiveLearning,Continuing
29,17,1103450.0,72920.98282769293,326722.3121388485,23707.0,ActiveLearning,Continuing
30,4,416657.0,116899.66955571412,126713.56754387598,23707.0,ActiveLearning,Continuing
31,1,505657.0,151886.00207927494,138346.41180530164,23707.0,ActiveLearning,Continuing
32,33,132665.0,154722.70098064133,146529.5815094413,23707.0,ActiveLearning,Continuing
33,89,120257.0,150335.32675817265,141282.41586458922,23707.0,ActiveLearning,Continuing
34,32,207474.0,145230.42994591474,136057.59365249885,23707.0,ActiveLearning,Continuing
35,30,209698.0,149942.61736290617,132478.00022158003,23707.0,ActiveLearning,Continuing
36,88,132641.0,153553.75352942292,129106.57965836316,23707.0,ActiveLearning,Continuing
37,7,144556.0,74013.19245141011,202480.77279897715,23707.0,ActiveLearning,Continuing
38,63,300244.0,154211.43299456342,130927.73208671428,23707.0,ActiveLearning,Continuing
39,31,316345.0,165646.22863060207,130013.15522292492,23707.0,ActiveLearning,Continuing
40,8,351227.0,129575.46358911815,122965.75563591937,23707.0,ActiveLearning,Continuing
41,62,40621.0,175162.10177489353,130709.21354074733,23707.0,ActiveLearning,Continuing
42,61,449878.0,169520.69597156878,129607.21175639045,23707.0,ActiveLearning,Continuing
43,87,183180.0,181541.09666263434,138182.01419020677,23707.0,ActiveLearning,Continuing
44,60,38893.0,181913.14305453715,135787.2399902241,23707.0,ActiveLearning,Continuing
45,112,23707.0,182972.4038726794,136847.0653329868,23707.0,ActiveLearning,Min Instability index in Dataset reached
