Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,2,144074.0,,,23707.0,WarmStart,WarmStart
1,6,273687.0,,,23707.0,WarmStart,WarmStart
2,28,57484.0,,,23707.0,WarmStart,WarmStart
3,29,286689.0,,,23707.0,WarmStart,WarmStart
4,39,98773.0,,,23707.0,WarmStart,WarmStart
5,51,293210.0,,,23707.0,WarmStart,WarmStart
6,52,456484.0,,,23707.0,WarmStart,WarmStart
7,66,284939.0,,,23707.0,WarmStart,WarmStart
8,71,87667.0,,,23707.0,WarmStart,WarmStart
9,75,59256.0,,,23707.0,WarmStart,WarmStart
10,84,24723.0,,,23707.0,WarmStart,WarmStart
11,86,91681.0,,,23707.0,WarmStart,WarmStart
12,113,59211.0,,,23707.0,WarmStart,WarmStart
13,114,80413.0,,,23707.0,WarmStart,WarmStart
14,124,55524.0,,,23707.0,WarmStart,WarmStart
15,125,88158.0,,,23707.0,WarmStart,WarmStart
16,126,93928.0,,,23707.0,WarmStart,WarmStart
17,127,184086.0,,,23707.0,WarmStart,WarmStart
18,26,1267615.0,16031.305490327091,282801.92292303126,23707.0,ActiveLearning,Continuing
19,0,480185.0,41744.68325066527,113011.89580622758,23707.0,ActiveLearning,Continuing
20,11,284710.0,98145.25349758673,194368.88260756765,23707.0,ActiveLearning,Continuing
21,30,209698.0,97742.5097616523,135830.09951758786,23707.0,ActiveLearning,Continuing
22,62,40621.0,126628.83146482943,127843.81910332204,23707.0,ActiveLearning,Continuing
23,88,132641.0,111218.79274236505,123960.22351768633,23707.0,ActiveLearning,Continuing
24,31,316345.0,115798.89633774474,118971.67277374714,23707.0,ActiveLearning,Continuing
25,60,38893.0,133459.78254419053,120538.52681073826,23707.0,ActiveLearning,Continuing
26,21,1167261.0,1.0271369432127113,327942.63093985233,23707.0,ActiveLearning,Continuing
27,7,144556.0,151733.14872027823,175107.67865853003,23707.0,ActiveLearning,Continuing
28,128,258154.0,139677.97071319274,131600.63854608286,23707.0,ActiveLearning,Continuing
29,87,183180.0,125161.90346996851,119296.1926077503,23707.0,ActiveLearning,Continuing
30,61,449878.0,129289.09984632662,116775.42241254695,23707.0,ActiveLearning,Continuing
31,1,505657.0,153827.0139367321,148139.9485595286,23707.0,ActiveLearning,Continuing
32,8,351227.0,174476.4778276754,167238.3842805544,23707.0,ActiveLearning,Continuing
33,32,207474.0,155196.39664222297,149884.34273223416,23707.0,ActiveLearning,Continuing
34,36,190636.0,156743.1773661953,143279.05305080954,23707.0,ActiveLearning,Continuing
35,95,163985.0,157391.90849462556,139075.4694713818,23707.0,ActiveLearning,Continuing
36,37,342685.0,158047.38820218132,136353.30344748657,23707.0,ActiveLearning,Continuing
37,59,123157.0,167845.29791059348,138342.44508295966,23707.0,ActiveLearning,Continuing
38,98,147202.0,168150.40659069337,135237.64860613635,23707.0,ActiveLearning,Continuing
39,74,140574.0,167224.12114132135,132835.23398720627,23707.0,ActiveLearning,Continuing
40,73,96638.0,164974.54500041727,129977.43796673532,23707.0,ActiveLearning,Continuing
41,100,175885.0,160705.4739918648,127735.2926203648,23707.0,ActiveLearning,Continuing
42,102,129483.0,161715.74456134977,126755.7476399186,23707.0,ActiveLearning,Continuing
43,103,145224.0,159733.00091196818,125843.90426088072,23707.0,ActiveLearning,Continuing
44,129,316310.0,165616.0208150427,130276.04963360727,23707.0,ActiveLearning,Continuing
45,96,383479.0,161873.424683652,123858.5832293842,23707.0,ActiveLearning,Continuing
46,116,26197.0,170243.89275147088,126380.84184133267,23707.0,ActiveLearning,Continuing
47,117,38370.0,165807.94701878654,126619.54893532382,23707.0,ActiveLearning,Continuing
48,118,107494.0,161885.98561973003,126292.32298398048,23707.0,ActiveLearning,Continuing
49,119,119938.0,159967.89489296096,124502.67478776454,23707.0,ActiveLearning,Continuing
50,58,221696.0,159999.7624633587,123227.46915483747,23707.0,ActiveLearning,Continuing
51,101,239057.0,163055.93883426616,122176.43622821334,23707.0,ActiveLearning,Continuing
52,67,227835.0,164691.9360301306,120845.64103168814,23707.0,ActiveLearning,Continuing
53,122,168856.0,167153.00186802525,120366.40307197694,23707.0,ActiveLearning,Continuing
54,120,91655.0,166506.91163223263,118652.786842204,23707.0,ActiveLearning,Continuing
55,121,107908.0,162192.72757926493,117145.62113604501,23707.0,ActiveLearning,Continuing
56,123,292981.0,158897.9903604054,115516.32706797762,23707.0,ActiveLearning,Continuing
57,85,27122.0,167202.55686287663,116539.23127513616,23707.0,ActiveLearning,Continuing
58,78,127394.0,172764.32986000224,118894.28797280701,23707.0,ActiveLearning,Continuing
59,104,208028.0,169914.00520230207,117177.35941950325,23707.0,ActiveLearning,Continuing
60,99,192477.0,172716.04282157318,115383.51033000306,23707.0,ActiveLearning,Continuing
61,41,370439.0,175913.5370430492,114490.02836315306,23707.0,ActiveLearning,Continuing
62,112,23707.0,172866.4594727013,117088.60951728234,23707.0,ActiveLearning,Min Instability index in Dataset reached
