Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,6,273687.0,,,23707.0,WarmStart,WarmStart
3,7,144556.0,,,23707.0,WarmStart,WarmStart
4,8,351227.0,,,23707.0,WarmStart,WarmStart
5,28,57484.0,,,23707.0,WarmStart,WarmStart
6,29,286689.0,,,23707.0,WarmStart,WarmStart
7,58,221696.0,,,23707.0,WarmStart,WarmStart
8,59,123157.0,,,23707.0,WarmStart,WarmStart
9,61,449878.0,,,23707.0,WarmStart,WarmStart
10,67,227835.0,,,23707.0,WarmStart,WarmStart
11,72,339668.0,,,23707.0,WarmStart,WarmStart
12,83,1497320.0,,,23707.0,WarmStart,WarmStart
13,84,24723.0,,,23707.0,WarmStart,WarmStart
14,86,91681.0,,,23707.0,WarmStart,WarmStart
15,87,183180.0,,,23707.0,WarmStart,WarmStart
16,88,132641.0,,,23707.0,WarmStart,WarmStart
17,92,261756.0,,,23707.0,WarmStart,WarmStart
18,113,59211.0,,,23707.0,WarmStart,WarmStart
19,128,258154.0,,,23707.0,WarmStart,WarmStart
20,136,1413800.0,,,23707.0,WarmStart,WarmStart
21,138,1755056.0,,,23707.0,WarmStart,WarmStart
22,33,132665.0,174408.71125483143,167836.14441530907,23707.0,ActiveLearning,Continuing
23,89,120257.0,163668.68213539777,158960.58607560323,23707.0,ActiveLearning,Continuing
24,21,1167261.0,3331.0310684920037,340166.7756266114,23707.0,ActiveLearning,Continuing
25,32,207474.0,174881.73521273118,154565.1757038286,23707.0,ActiveLearning,Continuing
26,30,209698.0,176822.95789795433,148960.53858705354,23707.0,ActiveLearning,Continuing
27,31,316345.0,178979.2628001777,144658.62156141517,23707.0,ActiveLearning,Continuing
28,62,40621.0,192380.11223098057,144412.39639986187,23707.0,ActiveLearning,Continuing
29,63,300244.0,187999.1857144313,146059.09393697,23707.0,ActiveLearning,Continuing
30,2,144074.0,192136.226916702,141103.2432585432,23707.0,ActiveLearning,Continuing
31,60,38893.0,191606.3672933991,137619.0010403305,23707.0,ActiveLearning,Continuing
32,36,190636.0,186965.93038139827,137942.24670482156,23707.0,ActiveLearning,Continuing
33,37,342685.0,186199.24875326405,134734.38141311563,23707.0,ActiveLearning,Continuing
34,96,383479.0,197151.6572460232,136818.35010482432,23707.0,ActiveLearning,Continuing
35,85,27122.0,206298.9298739053,139700.19436736277,23707.0,ActiveLearning,Continuing
36,95,163985.0,201373.18341257484,140777.82303600802,23707.0,ActiveLearning,Continuing
37,112,23707.0,207706.04033460506,139671.22895267644,23707.0,ActiveLearning,Min Instability index in Dataset reached
