Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,2,144074.0,,,23707.0,WarmStart,WarmStart
1,23,1281399.0,,,23707.0,WarmStart,WarmStart
2,25,876981.0,,,23707.0,WarmStart,WarmStart
3,28,57484.0,,,23707.0,WarmStart,WarmStart
4,29,286689.0,,,23707.0,WarmStart,WarmStart
5,39,98773.0,,,23707.0,WarmStart,WarmStart
6,43,228347.0,,,23707.0,WarmStart,WarmStart
7,51,293210.0,,,23707.0,WarmStart,WarmStart
8,52,456484.0,,,23707.0,WarmStart,WarmStart
9,53,374938.0,,,23707.0,WarmStart,WarmStart
10,54,376516.0,,,23707.0,WarmStart,WarmStart
11,55,463506.0,,,23707.0,WarmStart,WarmStart
12,57,237318.0,,,23707.0,WarmStart,WarmStart
13,58,221696.0,,,23707.0,WarmStart,WarmStart
14,59,123157.0,,,23707.0,WarmStart,WarmStart
15,66,284939.0,,,23707.0,WarmStart,WarmStart
16,67,227835.0,,,23707.0,WarmStart,WarmStart
17,71,87667.0,,,23707.0,WarmStart,WarmStart
18,84,24723.0,,,23707.0,WarmStart,WarmStart
19,85,27122.0,,,23707.0,WarmStart,WarmStart
20,86,91681.0,,,23707.0,WarmStart,WarmStart
21,101,239057.0,,,23707.0,WarmStart,WarmStart
22,102,129483.0,,,23707.0,WarmStart,WarmStart
23,105,141683.0,,,23707.0,WarmStart,WarmStart
24,116,26197.0,,,23707.0,WarmStart,WarmStart
25,117,38370.0,,,23707.0,WarmStart,WarmStart
26,118,107494.0,,,23707.0,WarmStart,WarmStart
27,119,119938.0,,,23707.0,WarmStart,WarmStart
28,127,184086.0,,,23707.0,WarmStart,WarmStart
29,3,239852.0,94915.17802691921,144151.5252755025,23707.0,ActiveLearning,Continuing
30,0,480185.0,134127.64825157775,117804.02242830454,23707.0,ActiveLearning,Continuing
31,7,144556.0,166398.79263624782,198570.91232994111,23707.0,ActiveLearning,Continuing
32,62,40621.0,99336.86436808443,103393.71610222723,23707.0,ActiveLearning,Continuing
33,88,132641.0,88875.49278841354,100825.62094561016,23707.0,ActiveLearning,Continuing
34,36,190636.0,94284.88067804878,94754.4697814256,23707.0,ActiveLearning,Continuing
35,37,342685.0,106882.21101582906,94398.97305647568,23707.0,ActiveLearning,Continuing
36,8,351227.0,159031.81424590127,131056.53280932255,23707.0,ActiveLearning,Continuing
37,30,209698.0,136427.56531564676,112355.20066933843,23707.0,ActiveLearning,Continuing
38,95,163985.0,140816.23294281462,107217.07037654378,23707.0,ActiveLearning,Continuing
39,61,449878.0,142616.4312152698,105145.8434106173,23707.0,ActiveLearning,Continuing
40,87,183180.0,161781.06529644254,118759.15244352564,23707.0,ActiveLearning,Continuing
41,73,96638.0,162991.66940886414,117275.20498346478,23707.0,ActiveLearning,Continuing
42,100,175885.0,157669.24085573407,116291.25544347249,23707.0,ActiveLearning,Continuing
43,120,91655.0,159672.7334355072,114907.0475888108,23707.0,ActiveLearning,Continuing
44,78,127394.0,157437.8702306413,118615.8328611493,23707.0,ActiveLearning,Continuing
45,104,208028.0,150748.0001803144,115517.269520848,23707.0,ActiveLearning,Continuing
46,121,107908.0,153990.38621554244,109721.31231517752,23707.0,ActiveLearning,Continuing
47,122,168856.0,150604.13025601994,108091.54986476632,23707.0,ActiveLearning,Continuing
48,123,292981.0,151356.43077470514,106580.12983019215,23707.0,ActiveLearning,Continuing
49,74,140574.0,159187.7715508495,107595.13322992591,23707.0,ActiveLearning,Continuing
50,98,147202.0,159490.77853700033,105530.5407724866,23707.0,ActiveLearning,Continuing
51,75,59256.0,161311.37503562955,106723.17647596072,23707.0,ActiveLearning,Continuing
52,103,145224.0,153519.62109515604,108916.7719096209,23707.0,ActiveLearning,Continuing
53,124,55524.0,151732.06159793088,104394.12000453938,23707.0,ActiveLearning,Continuing
54,128,258154.0,154172.8445359787,117475.55065879342,23707.0,ActiveLearning,Continuing
55,125,88158.0,155221.39055650847,103367.56751187149,23707.0,ActiveLearning,Continuing
56,126,93928.0,151552.98134162376,102445.27278389514,23707.0,ActiveLearning,Continuing
57,44,299002.0,158349.34931231616,104503.34735256528,23707.0,ActiveLearning,Continuing
58,76,272660.0,160672.79330365386,105856.79711011871,23707.0,ActiveLearning,Continuing
59,60,38893.0,158592.06811235548,102634.77901722358,23707.0,ActiveLearning,Continuing
60,96,383479.0,159363.19157876688,104175.13005941072,23707.0,ActiveLearning,Continuing
61,99,192477.0,162314.11036982754,107499.54635894853,23707.0,ActiveLearning,Continuing
62,72,339668.0,166874.4055759173,106526.90910787907,23707.0,ActiveLearning,Continuing
63,41,370439.0,172596.14821613012,108269.84387425457,23707.0,ActiveLearning,Continuing
64,112,23707.0,173118.8856982935,110647.42729102228,23707.0,ActiveLearning,Min Instability index in Dataset reached
