Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,4,416657.0,,,23707.0,WarmStart,WarmStart
3,5,253423.0,,,23707.0,WarmStart,WarmStart
4,6,273687.0,,,23707.0,WarmStart,WarmStart
5,7,144556.0,,,23707.0,WarmStart,WarmStart
6,8,351227.0,,,23707.0,WarmStart,WarmStart
7,17,1103450.0,,,23707.0,WarmStart,WarmStart
8,19,446747.0,,,23707.0,WarmStart,WarmStart
9,20,533060.0,,,23707.0,WarmStart,WarmStart
10,28,57484.0,,,23707.0,WarmStart,WarmStart
11,29,286689.0,,,23707.0,WarmStart,WarmStart
12,49,234879.0,,,23707.0,WarmStart,WarmStart
13,50,199330.0,,,23707.0,WarmStart,WarmStart
14,53,374938.0,,,23707.0,WarmStart,WarmStart
15,57,237318.0,,,23707.0,WarmStart,WarmStart
16,58,221696.0,,,23707.0,WarmStart,WarmStart
17,59,123157.0,,,23707.0,WarmStart,WarmStart
18,60,38893.0,,,23707.0,WarmStart,WarmStart
19,61,449878.0,,,23707.0,WarmStart,WarmStart
20,62,40621.0,,,23707.0,WarmStart,WarmStart
21,66,284939.0,,,23707.0,WarmStart,WarmStart
22,67,227835.0,,,23707.0,WarmStart,WarmStart
23,71,87667.0,,,23707.0,WarmStart,WarmStart
24,72,339668.0,,,23707.0,WarmStart,WarmStart
25,76,272660.0,,,23707.0,WarmStart,WarmStart
26,83,1497320.0,,,23707.0,WarmStart,WarmStart
27,84,24723.0,,,23707.0,WarmStart,WarmStart
28,85,27122.0,,,23707.0,WarmStart,WarmStart
29,86,91681.0,,,23707.0,WarmStart,WarmStart
30,87,183180.0,,,23707.0,WarmStart,WarmStart
31,88,132641.0,,,23707.0,WarmStart,WarmStart
32,91,225170.0,,,23707.0,WarmStart,WarmStart
33,92,261756.0,,,23707.0,WarmStart,WarmStart
34,96,383479.0,,,23707.0,WarmStart,WarmStart
35,100,175885.0,,,23707.0,WarmStart,WarmStart
36,104,208028.0,,,23707.0,WarmStart,WarmStart
37,113,59211.0,,,23707.0,WarmStart,WarmStart
38,115,98439.0,,,23707.0,WarmStart,WarmStart
39,116,26197.0,,,23707.0,WarmStart,WarmStart
40,117,38370.0,,,23707.0,WarmStart,WarmStart
41,119,119938.0,,,23707.0,WarmStart,WarmStart
42,127,184086.0,,,23707.0,WarmStart,WarmStart
43,128,258154.0,,,23707.0,WarmStart,WarmStart
44,138,1755056.0,,,23707.0,WarmStart,WarmStart
45,21,1167261.0,137790.65915425867,246407.85874459994,23707.0,ActiveLearning,Continuing
46,30,209698.0,175070.6031290474,180435.81557948503,23707.0,ActiveLearning,Continuing
47,31,316345.0,176508.44652111662,177879.2007956003,23707.0,ActiveLearning,Continuing
48,2,144074.0,180927.07392788917,175740.06227380593,23707.0,ActiveLearning,Continuing
49,32,207474.0,183488.47873678015,175098.75829081066,23707.0,ActiveLearning,Continuing
50,89,120257.0,185113.29386317145,172883.38552501114,23707.0,ActiveLearning,Continuing
51,33,132665.0,181901.41381123092,170774.64534731305,23707.0,ActiveLearning,Continuing
52,63,300244.0,182278.295195915,169110.8389801535,23707.0,ActiveLearning,Continuing
53,112,23707.0,184674.7296454193,166718.40558977527,23707.0,ActiveLearning,Min Instability index in Dataset reached
