Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,6,273687.0,,,23707.0,WarmStart,WarmStart
3,7,144556.0,,,23707.0,WarmStart,WarmStart
4,12,602576.0,,,23707.0,WarmStart,WarmStart
5,28,57484.0,,,23707.0,WarmStart,WarmStart
6,37,342685.0,,,23707.0,WarmStart,WarmStart
7,50,199330.0,,,23707.0,WarmStart,WarmStart
8,59,123157.0,,,23707.0,WarmStart,WarmStart
9,61,449878.0,,,23707.0,WarmStart,WarmStart
10,66,284939.0,,,23707.0,WarmStart,WarmStart
11,67,227835.0,,,23707.0,WarmStart,WarmStart
12,71,87667.0,,,23707.0,WarmStart,WarmStart
13,72,339668.0,,,23707.0,WarmStart,WarmStart
14,84,24723.0,,,23707.0,WarmStart,WarmStart
15,86,91681.0,,,23707.0,WarmStart,WarmStart
16,98,147202.0,,,23707.0,WarmStart,WarmStart
17,100,175885.0,,,23707.0,WarmStart,WarmStart
18,109,452558.0,,,23707.0,WarmStart,WarmStart
19,113,59211.0,,,23707.0,WarmStart,WarmStart
20,115,98439.0,,,23707.0,WarmStart,WarmStart
21,116,26197.0,,,23707.0,WarmStart,WarmStart
22,117,38370.0,,,23707.0,WarmStart,WarmStart
23,119,119938.0,,,23707.0,WarmStart,WarmStart
24,122,168856.0,,,23707.0,WarmStart,WarmStart
25,127,184086.0,,,23707.0,WarmStart,WarmStart
26,128,258154.0,,,23707.0,WarmStart,WarmStart
27,29,286689.0,81540.85573214287,241846.24999999994,23707.0,ActiveLearning,Continuing
28,39,98773.0,112165.22248214282,248720.0,23707.0,ActiveLearning,Continuing
29,60,38893.0,152115.25104166666,358197.0,23707.0,ActiveLearning,Continuing
30,102,129483.0,192839.99070833332,392394.0,23707.0,ActiveLearning,Continuing
31,51,293210.0,227783.39916666664,458020.0,23707.0,ActiveLearning,Continuing
32,2,144074.0,210891.31666666665,410985.0,23707.0,ActiveLearning,Continuing
33,87,183180.0,169691.31625,410985.0,23707.0,ActiveLearning,Continuing
34,118,107494.0,62720.4692797619,93741.0,23707.0,ActiveLearning,Continuing
35,57,237318.0,248379.65516666672,461053.4666666666,23707.0,ActiveLearning,Continuing
36,112,23707.0,67628.86992261904,73716.0,23707.0,ActiveLearning,Min Instability index in Dataset reached
