Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,4,416657.0,,,23707.0,WarmStart,WarmStart
3,5,253423.0,,,23707.0,WarmStart,WarmStart
4,6,273687.0,,,23707.0,WarmStart,WarmStart
5,7,144556.0,,,23707.0,WarmStart,WarmStart
6,8,351227.0,,,23707.0,WarmStart,WarmStart
7,12,602576.0,,,23707.0,WarmStart,WarmStart
8,23,1281399.0,,,23707.0,WarmStart,WarmStart
9,28,57484.0,,,23707.0,WarmStart,WarmStart
10,29,286689.0,,,23707.0,WarmStart,WarmStart
11,30,209698.0,,,23707.0,WarmStart,WarmStart
12,31,316345.0,,,23707.0,WarmStart,WarmStart
13,32,207474.0,,,23707.0,WarmStart,WarmStart
14,33,132665.0,,,23707.0,WarmStart,WarmStart
15,34,287734.0,,,23707.0,WarmStart,WarmStart
16,37,342685.0,,,23707.0,WarmStart,WarmStart
17,41,370439.0,,,23707.0,WarmStart,WarmStart
18,47,416405.0,,,23707.0,WarmStart,WarmStart
19,49,234879.0,,,23707.0,WarmStart,WarmStart
20,50,199330.0,,,23707.0,WarmStart,WarmStart
21,57,237318.0,,,23707.0,WarmStart,WarmStart
22,58,221696.0,,,23707.0,WarmStart,WarmStart
23,59,123157.0,,,23707.0,WarmStart,WarmStart
24,60,38893.0,,,23707.0,WarmStart,WarmStart
25,61,449878.0,,,23707.0,WarmStart,WarmStart
26,62,40621.0,,,23707.0,WarmStart,WarmStart
27,63,300244.0,,,23707.0,WarmStart,WarmStart
28,66,284939.0,,,23707.0,WarmStart,WarmStart
29,67,227835.0,,,23707.0,WarmStart,WarmStart
30,71,87667.0,,,23707.0,WarmStart,WarmStart
31,72,339668.0,,,23707.0,WarmStart,WarmStart
32,75,59256.0,,,23707.0,WarmStart,WarmStart
33,79,548909.0,,,23707.0,WarmStart,WarmStart
34,82,252642.0,,,23707.0,WarmStart,WarmStart
35,83,1497320.0,,,23707.0,WarmStart,WarmStart
36,84,24723.0,,,23707.0,WarmStart,WarmStart
37,85,27122.0,,,23707.0,WarmStart,WarmStart
38,86,91681.0,,,23707.0,WarmStart,WarmStart
39,87,183180.0,,,23707.0,WarmStart,WarmStart
40,88,132641.0,,,23707.0,WarmStart,WarmStart
41,91,225170.0,,,23707.0,WarmStart,WarmStart
42,92,261756.0,,,23707.0,WarmStart,WarmStart
43,93,211852.0,,,23707.0,WarmStart,WarmStart
44,97,206695.0,,,23707.0,WarmStart,WarmStart
45,100,175885.0,,,23707.0,WarmStart,WarmStart
46,104,208028.0,,,23707.0,WarmStart,WarmStart
47,109,452558.0,,,23707.0,WarmStart,WarmStart
48,113,59211.0,,,23707.0,WarmStart,WarmStart
49,114,80413.0,,,23707.0,WarmStart,WarmStart
50,115,98439.0,,,23707.0,WarmStart,WarmStart
51,116,26197.0,,,23707.0,WarmStart,WarmStart
52,117,38370.0,,,23707.0,WarmStart,WarmStart
53,119,119938.0,,,23707.0,WarmStart,WarmStart
54,122,168856.0,,,23707.0,WarmStart,WarmStart
55,125,88158.0,,,23707.0,WarmStart,WarmStart
56,127,184086.0,,,23707.0,WarmStart,WarmStart
57,128,258154.0,,,23707.0,WarmStart,WarmStart
58,130,319618.0,,,23707.0,WarmStart,WarmStart
59,138,1755056.0,,,23707.0,WarmStart,WarmStart
60,102,129483.0,187721.58508928563,410985.0,23707.0,ActiveLearning,Continuing
61,21,1167261.0,491984.32488095236,1290625.0,23707.0,ActiveLearning,Continuing
62,2,144074.0,185656.27375,410985.0,23707.0,ActiveLearning,Continuing
63,111,375241.0,447801.135,914619.0,23707.0,ActiveLearning,Continuing
64,39,98773.0,113559.99717857142,232397.46666666665,23707.0,ActiveLearning,Continuing
65,98,147202.0,86874.24919047618,148763.0,23707.0,ActiveLearning,Continuing
66,96,383479.0,173560.625,329818.0,23707.0,ActiveLearning,Continuing
67,101,239057.0,110398.76104464284,189465.0,23707.0,ActiveLearning,Continuing
68,118,107494.0,67923.55763392856,93741.0,23707.0,ActiveLearning,Continuing
69,44,299002.0,260156.95537500002,473093.0,23707.0,ActiveLearning,Continuing
70,112,23707.0,67547.78768452384,47549.12999999999,23707.0,ActiveLearning,Min Instability index in Dataset reached
