Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,1,505657.0,,,23707.0,WarmStart,WarmStart
1,28,57484.0,,,23707.0,WarmStart,WarmStart
2,29,286689.0,,,23707.0,WarmStart,WarmStart
3,51,293210.0,,,23707.0,WarmStart,WarmStart
4,60,38893.0,,,23707.0,WarmStart,WarmStart
5,72,339668.0,,,23707.0,WarmStart,WarmStart
6,84,24723.0,,,23707.0,WarmStart,WarmStart
7,92,261756.0,,,23707.0,WarmStart,WarmStart
8,113,59211.0,,,23707.0,WarmStart,WarmStart
9,114,80413.0,,,23707.0,WarmStart,WarmStart
10,56,133495.0,202225.00057142854,472312.0,23707.0,ActiveLearning,Continuing
11,2,144074.0,82846.180375,247796.0,23707.0,ActiveLearning,Continuing
12,94,136004.0,146748.54247222224,472312.0,23707.0,ActiveLearning,Continuing
13,86,91681.0,85339.573125,247796.0,23707.0,ActiveLearning,Continuing
14,39,98773.0,149039.8668035715,303449.0,23707.0,ActiveLearning,Continuing
15,57,237318.0,131736.20261904766,296381.6666666667,23707.0,ActiveLearning,Continuing
16,71,87667.0,128411.85783333336,243402.66666666666,23707.0,ActiveLearning,Continuing
17,128,258154.0,284121.92083333334,417990.0,23707.0,ActiveLearning,Continuing
18,100,175885.0,187993.035,300775.0,23707.0,ActiveLearning,Continuing
19,103,145224.0,172295.30404761908,300775.0,23707.0,ActiveLearning,Continuing
20,74,140574.0,161291.4525,300775.0,23707.0,ActiveLearning,Continuing
21,98,147202.0,150233.326875,300775.0,23707.0,ActiveLearning,Continuing
22,116,26197.0,128342.28229166666,247796.0,23707.0,ActiveLearning,Continuing
23,101,239057.0,132899.36966666667,313471.0,23707.0,ActiveLearning,Continuing
24,58,221696.0,103543.76125,260492.0,23707.0,ActiveLearning,Continuing
25,117,38370.0,67220.25291666666,195499.0,23707.0,ActiveLearning,Continuing
26,67,227835.0,128054.50350000005,260492.0,23707.0,ActiveLearning,Continuing
27,118,107494.0,50128.86429166664,201638.0,23707.0,ActiveLearning,Continuing
28,59,123157.0,78752.2475,182803.0,23707.0,ActiveLearning,Continuing
29,40,343647.0,129207.88979960319,188942.0,23707.0,ActiveLearning,Continuing
30,36,190636.0,223870.08916666667,304754.0,23707.0,ActiveLearning,Continuing
31,62,40621.0,209509.545,304754.0,23707.0,ActiveLearning,Continuing
32,96,383479.0,140653.5075,303026.0,23707.0,ActiveLearning,Continuing
33,37,342685.0,181853.2825,342858.0,23707.0,ActiveLearning,Continuing
