Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Min Instability index in Dataset,Phase,Stopping Reason
0,0,480185.0,,,23707.0,WarmStart,WarmStart
1,1,505657.0,,,23707.0,WarmStart,WarmStart
2,4,416657.0,,,23707.0,WarmStart,WarmStart
3,5,253423.0,,,23707.0,WarmStart,WarmStart
4,6,273687.0,,,23707.0,WarmStart,WarmStart
5,7,144556.0,,,23707.0,WarmStart,WarmStart
6,8,351227.0,,,23707.0,WarmStart,WarmStart
7,17,1103450.0,,,23707.0,WarmStart,WarmStart
8,19,446747.0,,,23707.0,WarmStart,WarmStart
9,20,533060.0,,,23707.0,WarmStart,WarmStart
10,28,57484.0,,,23707.0,WarmStart,WarmStart
11,29,286689.0,,,23707.0,WarmStart,WarmStart
12,49,234879.0,,,23707.0,WarmStart,WarmStart
13,50,199330.0,,,23707.0,WarmStart,WarmStart
14,53,374938.0,,,23707.0,WarmStart,WarmStart
15,57,237318.0,,,23707.0,WarmStart,WarmStart
16,58,221696.0,,,23707.0,WarmStart,WarmStart
17,59,123157.0,,,23707.0,WarmStart,WarmStart
18,60,38893.0,,,23707.0,WarmStart,WarmStart
19,61,449878.0,,,23707.0,WarmStart,WarmStart
20,62,40621.0,,,23707.0,WarmStart,WarmStart
21,66,284939.0,,,23707.0,WarmStart,WarmStart
22,67,227835.0,,,23707.0,WarmStart,WarmStart
23,71,87667.0,,,23707.0,WarmStart,WarmStart
24,72,339668.0,,,23707.0,WarmStart,WarmStart
25,76,272660.0,,,23707.0,WarmStart,WarmStart
26,83,1497320.0,,,23707.0,WarmStart,WarmStart
27,84,24723.0,,,23707.0,WarmStart,WarmStart
28,85,27122.0,,,23707.0,WarmStart,WarmStart
29,86,91681.0,,,23707.0,WarmStart,WarmStart
30,87,183180.0,,,23707.0,WarmStart,WarmStart
31,88,132641.0,,,23707.0,WarmStart,WarmStart
32,91,225170.0,,,23707.0,WarmStart,WarmStart
33,92,261756.0,,,23707.0,WarmStart,WarmStart
34,96,383479.0,,,23707.0,WarmStart,WarmStart
35,100,175885.0,,,23707.0,WarmStart,WarmStart
36,104,208028.0,,,23707.0,WarmStart,WarmStart
37,113,59211.0,,,23707.0,WarmStart,WarmStart
38,115,98439.0,,,23707.0,WarmStart,WarmStart
39,116,26197.0,,,23707.0,WarmStart,WarmStart
40,117,38370.0,,,23707.0,WarmStart,WarmStart
41,119,119938.0,,,23707.0,WarmStart,WarmStart
42,127,184086.0,,,23707.0,WarmStart,WarmStart
43,128,258154.0,,,23707.0,WarmStart,WarmStart
44,138,1755056.0,,,23707.0,WarmStart,WarmStart
45,21,1167261.0,560477.7579999999,1274961.0,23707.0,ActiveLearning,Continuing
46,9,914156.0,444808.5198690476,847802.2999999977,23707.0,ActiveLearning,Continuing
47,13,714735.0,542544.2175416666,942091.0,23707.0,ActiveLearning,Continuing
48,80,438903.0,893055.3881249998,1297990.0,23707.0,ActiveLearning,Continuing
49,36,190636.0,197105.44,409257.0,23707.0,ActiveLearning,Continuing
50,23,1281399.0,846598.5221249999,1136485.0,23707.0,ActiveLearning,Continuing
51,73,96638.0,197905.3752083333,410985.0,23707.0,ActiveLearning,Continuing
52,11,284710.0,638820.1695,895422.0,23707.0,ActiveLearning,Continuing
53,14,925193.0,640852.029875,882551.0,23707.0,ActiveLearning,Continuing
54,25,876981.0,1044594.9251250002,1308309.0,23707.0,ActiveLearning,Continuing
55,2,144074.0,181565.8375,410985.0,23707.0,ActiveLearning,Continuing
56,12,602576.0,446441.2937916666,640483.0,23707.0,ActiveLearning,Continuing
57,33,132665.0,194265.6375,376036.0,23707.0,ActiveLearning,Continuing
58,94,136004.0,259836.84690476194,419789.0,23707.0,ActiveLearning,Continuing
59,30,209698.0,181151.5525,342858.0,23707.0,ActiveLearning,Continuing
60,110,794499.0,553038.9302023808,720514.0,23707.0,ActiveLearning,Continuing
61,37,342685.0,191504.735,342858.0,23707.0,ActiveLearning,Continuing
62,56,133495.0,282156.795404762,432525.0,23707.0,ActiveLearning,Continuing
63,98,147202.0,100523.79809424601,200713.0,23707.0,ActiveLearning,Continuing
64,39,98773.0,131386.99978571426,227455.0,23707.0,ActiveLearning,Continuing
65,63,300244.0,207929.39,283992.0,23707.0,ActiveLearning,Continuing
66,101,239057.0,165074.09006547614,235246.3299999999,23707.0,ActiveLearning,Continuing
67,44,299002.0,217771.67000000004,286841.0,23707.0,ActiveLearning,Continuing
68,95,163985.0,292558.12897619046,353240.0,23707.0,ActiveLearning,Continuing
69,40,343647.0,232835.79335416667,286841.0,23707.0,ActiveLearning,Continuing
70,120,91655.0,196764.7567916667,243180.84999999998,23707.0,ActiveLearning,Continuing
71,121,107908.0,131892.42366666664,207347.0,23707.0,ActiveLearning,Continuing
72,89,120257.0,172091.8525,211006.0,23707.0,ActiveLearning,Continuing
73,32,207474.0,157650.66,223390.0,23707.0,ActiveLearning,Continuing
74,41,370439.0,291019.1423511905,341970.0,23707.0,ActiveLearning,Continuing
75,118,107494.0,68508.1340575397,93741.0,23707.0,ActiveLearning,Continuing
76,78,127394.0,183001.025625,207347.0,23707.0,ActiveLearning,Continuing
77,105,141683.0,162790.58269841273,193284.0,23707.0,ActiveLearning,Continuing
78,68,180293.0,239318.962625,263222.0,23707.0,ActiveLearning,Continuing
79,69,252077.0,239842.296375,263222.0,23707.0,ActiveLearning,Continuing
80,112,23707.0,64759.26460119049,73716.0,23707.0,ActiveLearning,Min Instability index in Dataset reached
