File,Iteration,Experiment Index,Rerank_Score_v35
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,0,107,0.040347535
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,1,13,0.588062
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,2,110,0.6213807
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,3,14,0.5925965
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,4,20,0.6255073
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,5,19,0.6780931
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,6,11,0.71377134
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,7,69,0.52100873
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,8,63,0.72254705
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,9,3,0.63615024
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,10,97,0.63288915
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,11,30,0.6884899
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,12,31,0.64236575
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,13,91,0.609455
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,14,64,0.63234437
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,15,22,0.643173
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,16,32,0.54303354
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,17,35,0.5674818
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,18,34,0.60861784
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,19,33,0.62633044
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,20,88,0.6844544
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,21,96,0.62934244
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,22,40,0.64128816
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,23,89,0.57637566
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,24,68,0.6760432
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,25,133,0.51369345
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,26,36,0.51325434
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,27,132,0.61140573
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,28,77,0.63939893
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,29,134,0.49128565
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,30,21,0.51076555
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,31,106,0.4942147
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,32,17,0.57637566
llm_experiment_perovskite_instability_trajectory_parameters_seed38_with_rerank_score.csv,33,12,0.6426349
