Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,263,1123.1,1213.4114,10.566914,2510.3,Continuing
2,34,1730.2,1031962.9,231741.77,2510.3,Continuing
3,169,1250.5,4446.477,1085.3224,2510.3,Continuing
4,208,1153.4,1764.3143,348.9405,2510.3,Continuing
5,205,1730.2,1719.5117,43.984985,2510.3,Continuing
6,185,1998.6,1617.1155,37.05564,2510.3,Continuing
7,291,1577.8,2284.9253,67.23439,2510.3,Continuing
8,273,2402.3,2083.0112,47.56794,2510.3,Continuing
9,71,2501.1,2314.725,52.640564,2510.3,Continuing
10,265,1680.6,2408.7693,650.12134,2510.3,Continuing
11,191,2411.5,2459.2368,55.001785,2510.3,Continuing
12,306,2510.3,2275.3665,50.88826,2510.3,Max Yield Strength reached
