Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,285,1812.1,1301.7617,11.594113,2510.3,Continuing
2,169,1250.5,1007338.2,293270.97,2510.3,Continuing
3,34,1730.2,219780.05,48852.13,2510.3,Continuing
4,208,1153.4,2667.5742,295.22403,2510.3,Continuing
5,21,1860.3,1764.471,35.25825,2510.3,Continuing
6,6,1605.4,1851.7767,54.150074,2510.3,Continuing
7,291,1577.8,1776.5525,37.9512,2510.3,Continuing
8,305,1139.7,1873.8145,36.558426,2510.3,Continuing
9,265,1680.6,1874.4724,57.650387,2510.3,Continuing
10,296,1681.2,7046.5625,2167.38,2510.3,Continuing
11,142,1340.1,1827.768,86.987625,2510.3,Continuing
12,115,1536.5,1633.0273,61.245335,2510.3,Continuing
13,176,1026.6,1487.8917,53.120823,2510.3,Continuing
14,185,1998.6,1621.305,69.85192,2510.3,Continuing
15,205,1730.2,1761.9957,68.11908,2510.3,Continuing
16,204,2005.5,1598.1902,62.349144,2510.3,Continuing
17,68,2006.0,1977.6595,72.49001,2510.3,Continuing
18,19,1723.2,1864.8447,58.11338,2510.3,Continuing
19,280,1730.2,1749.7002,54.25825,2510.3,Continuing
20,224,1792.2,1710.5406,51.702103,2510.3,Continuing
21,64,1661.2,1619.3615,52.626884,2510.3,Continuing
22,227,1874.6,1681.0048,51.552547,2510.3,Continuing
23,275,1392.4,1636.559,47.31022,2510.3,Continuing
24,79,1641.2,1634.7231,46.459858,2510.3,Continuing
25,45,1716.3,1682.319,51.20673,2510.3,Continuing
26,203,1688.1,1590.7483,46.23833,2510.3,Continuing
27,260,1599.4,1555.7576,50.14603,2510.3,Continuing
28,75,1471.1,1538.4005,83.23141,2510.3,Continuing
29,252,1730.2,1484.2214,48.024372,2510.3,Continuing
30,127,1737.2,1500.1394,42.319218,2510.3,Continuing
31,192,1674.6,1570.0105,48.432407,2510.3,Continuing
32,65,1362.9,1482.0787,56.254776,2510.3,Continuing
33,71,2501.1,1455.2351,68.719536,2510.3,Continuing
34,191,2411.5,2331.2183,127.9591,2510.3,Continuing
35,212,2249.6,2398.1375,107.44234,2510.3,Continuing
36,99,2411.5,2219.8286,96.89585,2510.3,Continuing
37,273,2402.3,2193.6619,88.39319,2510.3,Continuing
38,31,2487.3,2315.9604,90.09393,2510.3,Continuing
39,206,2331.1,2326.0798,84.2959,2510.3,Continuing
40,289,1571.2,2258.173,80.7263,2510.3,Continuing
41,118,1603.3,2267.3093,97.477905,2510.3,Continuing
42,292,2372.4,2113.0615,85.18114,2510.3,Continuing
43,106,2381.6,2097.704,74.79847,2510.3,Continuing
44,194,1233.3,2039.9523,74.33273,2510.3,Continuing
45,73,2381.6,2028.48,68.788345,2510.3,Continuing
46,306,2510.3,2075.3506,84.05785,2510.3,Max Yield Strength reached
