Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,9,1155.0,,,2510.3,WarmStart,WarmStart
1,25,1005.9,,,2510.3,WarmStart,WarmStart
2,46,1798.3,,,2510.3,WarmStart,WarmStart
3,57,1235.9,,,2510.3,WarmStart,WarmStart
4,60,1340.8,,,2510.3,WarmStart,WarmStart
5,63,1423.8,,,2510.3,WarmStart,WarmStart
6,75,1471.1,,,2510.3,WarmStart,WarmStart
7,93,1755.2,,,2510.3,WarmStart,WarmStart
8,108,1164.4,,,2510.3,WarmStart,WarmStart
9,164,1282.2,,,2510.3,WarmStart,WarmStart
10,173,1522.7,,,2510.3,WarmStart,WarmStart
11,175,1074.9,,,2510.3,WarmStart,WarmStart
12,185,1998.6,,,2510.3,WarmStart,WarmStart
13,228,1240.2,,,2510.3,WarmStart,WarmStart
14,260,1599.4,,,2510.3,WarmStart,WarmStart
15,265,1680.6,4142.35498046875,45.15862274169922,2510.3,ActiveLearning,Continuing
16,6,1605.4,2963.443359375,35.10035705566406,2510.3,ActiveLearning,Continuing
17,34,1730.2,2457.097900390625,73.17371368408203,2510.3,ActiveLearning,Continuing
18,285,1812.1,2351.636474609375,37.05573654174805,2510.3,ActiveLearning,Continuing
19,169,1250.5,2292.181640625,78.2905502319336,2510.3,ActiveLearning,Continuing
20,172,1164.4,2329.667724609375,55.21381759643555,2510.3,ActiveLearning,Continuing
21,205,1730.2,2189.29931640625,38.427310943603516,2510.3,ActiveLearning,Continuing
22,147,1736.3,2099.0400390625,42.438724517822266,2510.3,ActiveLearning,Continuing
23,291,1577.8,2081.245849609375,53.24979782104492,2510.3,ActiveLearning,Continuing
24,140,1521.3,2033.915283203125,52.10325622558594,2510.3,ActiveLearning,Continuing
25,208,1153.4,1890.1356201171875,61.39201354980469,2510.3,ActiveLearning,Continuing
26,115,1536.5,1908.330810546875,46.83901596069336,2510.3,ActiveLearning,Continuing
27,119,1736.3,1814.772216796875,41.6236572265625,2510.3,ActiveLearning,Continuing
28,266,1667.4,1791.063720703125,44.94943618774414,2510.3,ActiveLearning,Continuing
29,288,1768.0,1851.4381103515625,46.50889205932617,2510.3,ActiveLearning,Continuing
30,187,1870.6,1782.9189453125,58.85858917236328,2510.3,ActiveLearning,Continuing
31,171,1837.9,1798.7261962890625,48.10969161987305,2510.3,ActiveLearning,Continuing
32,27,1825.8,1862.182861328125,52.02074432373047,2510.3,ActiveLearning,Continuing
33,201,1586.7,1767.3291015625,41.458858489990234,2510.3,ActiveLearning,Continuing
34,40,2157.3,1768.0015869140625,56.935791015625,2510.3,ActiveLearning,Continuing
35,264,1288.4,1800.40380859375,54.91083908081055,2510.3,ActiveLearning,Continuing
36,16,1328.3,1844.4351806640625,62.93722152709961,2510.3,ActiveLearning,Continuing
37,239,1144.8,1792.4515380859375,60.31205749511719,2510.3,ActiveLearning,Continuing
38,279,1805.2,1730.16015625,48.2389030456543,2510.3,ActiveLearning,Continuing
39,246,1564.0,1684.6600341796875,52.176368713378906,2510.3,ActiveLearning,Continuing
40,146,1722.5,1717.9853515625,55.832908630371094,2510.3,ActiveLearning,Continuing
41,158,1688.1,1731.1639404296875,50.06858825683594,2510.3,ActiveLearning,Continuing
42,207,1019.0,1706.464111328125,56.04481506347656,2510.3,ActiveLearning,Continuing
43,204,2005.5,1712.8907470703125,62.00874710083008,2510.3,ActiveLearning,Continuing
44,68,2006.0,2064.70703125,63.61775207519531,2510.3,ActiveLearning,Continuing
45,64,1661.2,1923.40771484375,63.562767028808594,2510.3,ActiveLearning,Continuing
46,224,1792.2,1791.08544921875,57.5269889831543,2510.3,ActiveLearning,Continuing
47,19,1723.2,1783.1884765625,59.22603988647461,2510.3,ActiveLearning,Continuing
48,252,1730.2,1764.7633056640625,60.37273025512695,2510.3,ActiveLearning,Continuing
49,275,1392.4,1681.73974609375,59.135986328125,2510.3,ActiveLearning,Continuing
50,123,1729.4,1715.4527587890625,52.91435623168945,2510.3,ActiveLearning,Continuing
51,296,1681.2,1615.5244140625,89.17897033691406,2510.3,ActiveLearning,Continuing
52,33,1819.0,1669.1268310546875,57.52997970581055,2510.3,ActiveLearning,Continuing
53,193,1784.5,1650.15576171875,59.51615524291992,2510.3,ActiveLearning,Continuing
54,280,1730.2,1615.1695556640625,54.18900680541992,2510.3,ActiveLearning,Continuing
55,45,1716.3,1665.2867431640625,59.64077377319336,2510.3,ActiveLearning,Continuing
56,79,1641.2,1611.3896484375,54.029212951660156,2510.3,ActiveLearning,Continuing
57,227,1874.6,1646.7364501953125,56.569393157958984,2510.3,ActiveLearning,Continuing
58,188,1681.2,1706.659423828125,65.73035430908203,2510.3,ActiveLearning,Continuing
59,192,1674.6,1630.3662109375,58.037715911865234,2510.3,ActiveLearning,Continuing
60,35,1357.3,1647.74365234375,62.33155059814453,2510.3,ActiveLearning,Continuing
61,65,1362.9,1554.8660888671875,59.28700637817383,2510.3,ActiveLearning,Continuing
62,203,1688.1,1579.3143310546875,53.2491569519043,2510.3,ActiveLearning,Continuing
63,311,1376.7,1557.095947265625,68.23883056640625,2510.3,ActiveLearning,Continuing
64,150,1846.5,1603.2908935546875,57.56782150268555,2510.3,ActiveLearning,Continuing
65,167,1731.7,1579.9613037109375,67.74532318115234,2510.3,ActiveLearning,Continuing
66,127,1737.2,1533.5849609375,48.416744232177734,2510.3,ActiveLearning,Continuing
67,306,2510.3,1557.1268310546875,65.71095275878906,2510.3,ActiveLearning,Max yield strength in Dataset reached
