Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,9,1155.0,,,2510.3,WarmStart,WarmStart
1,25,1005.9,,,2510.3,WarmStart,WarmStart
2,46,1798.3,,,2510.3,WarmStart,WarmStart
3,57,1235.9,,,2510.3,WarmStart,WarmStart
4,60,1340.8,,,2510.3,WarmStart,WarmStart
5,63,1423.8,,,2510.3,WarmStart,WarmStart
6,75,1471.1,,,2510.3,WarmStart,WarmStart
7,93,1755.2,,,2510.3,WarmStart,WarmStart
8,108,1164.4,,,2510.3,WarmStart,WarmStart
9,164,1282.2,,,2510.3,WarmStart,WarmStart
10,173,1522.7,,,2510.3,WarmStart,WarmStart
11,175,1074.9,,,2510.3,WarmStart,WarmStart
12,185,1998.6,,,2510.3,WarmStart,WarmStart
13,228,1240.2,,,2510.3,WarmStart,WarmStart
14,260,1599.4,,,2510.3,WarmStart,WarmStart
15,34,1730.2,1699.2872499999992,992.6999999999999,2510.3,ActiveLearning,Continuing
16,205,1730.2,1781.4662499999934,657.8,2510.3,ActiveLearning,Continuing
17,280,1730.2,1697.9287499999998,834.1999999999998,2510.3,ActiveLearning,Continuing
18,203,1688.1,1681.6970000000003,834.1999999999998,2510.3,ActiveLearning,Continuing
19,6,1605.4,1574.2852499999979,992.6999999999999,2510.3,ActiveLearning,Continuing
20,5,1164.4,1551.7794999999992,992.6999999999999,2510.3,ActiveLearning,Continuing
21,150,1846.5,1656.7195000000002,834.6699999999998,2510.3,ActiveLearning,Continuing
22,77,1653.6,1722.3112500000007,771.5999999999999,2510.3,ActiveLearning,Continuing
23,279,1805.2,1683.8939999999984,682.0999999999999,2510.3,ActiveLearning,Continuing
24,296,1681.2,1707.606749999996,610.5999999999999,2510.3,ActiveLearning,Continuing
25,115,1536.5,1582.186250000004,834.1999999999998,2510.3,ActiveLearning,Continuing
26,241,1218.8,1496.627499999999,923.6999999999998,2510.3,ActiveLearning,Continuing
27,146,1722.5,1738.3119999999994,606.3,2510.3,ActiveLearning,Continuing
28,298,1040.4,1571.413499999999,834.1999999999996,2510.3,ActiveLearning,Continuing
29,291,1577.8,1596.747249999999,806.0999999999999,2510.3,ActiveLearning,Continuing
30,252,1730.2,1599.893499999998,779.7999999999997,2510.3,ActiveLearning,Continuing
31,224,1792.2,1682.0517499999967,762.6999999999998,2510.3,ActiveLearning,Continuing
32,80,1125.0,1695.9224999999979,779.7999999999997,2510.3,ActiveLearning,Continuing
33,204,2005.5,1646.196499999999,721.5,2510.3,ActiveLearning,Continuing
34,68,2006.0,1815.0362499999974,841.0999999999999,2510.3,ActiveLearning,Continuing
35,127,1737.2,1766.8179999999973,534.9000000000001,2510.3,ActiveLearning,Continuing
36,64,1661.2,1580.7185000000018,965.0999999999999,2510.3,ActiveLearning,Continuing
37,124,1600.0,1548.0365000000008,883.5049999999999,2510.3,ActiveLearning,Continuing
38,19,1723.2,1797.4112499999933,344.79999999999995,2510.3,ActiveLearning,Continuing
39,160,1309.1,1526.4669999999967,873.5999999999999,2510.3,ActiveLearning,Continuing
40,157,1779.7,1594.7975000000004,721.5,2510.3,ActiveLearning,Continuing
41,288,1768.0,1673.4472499999977,615.3,2510.3,ActiveLearning,Continuing
42,39,1071.4,1587.3597500000005,806.0999999999999,2510.3,ActiveLearning,Continuing
43,215,1688.1,1654.4842499999954,682.0999999999999,2510.3,ActiveLearning,Continuing
44,8,1683.0,1641.084499999996,573.4000000000001,2510.3,ActiveLearning,Continuing
45,147,1736.3,1663.5689999999988,539.5,2510.3,ActiveLearning,Continuing
46,239,1144.8,1552.6190000000022,696.5999999999999,2510.3,ActiveLearning,Continuing
47,117,1810.0,1603.2275000000016,650.71,2510.3,ActiveLearning,Continuing
48,102,1575.5,1649.3882500000009,665.2,2510.3,ActiveLearning,Continuing
49,223,1412.5,1627.6972499999988,569.8,2510.3,ActiveLearning,Continuing
50,305,1139.7,1683.3682499999968,397.5,2510.3,ActiveLearning,Continuing
51,285,1812.1,1717.724749999999,706.8,2510.3,ActiveLearning,Continuing
52,246,1564.0,1746.6259999999977,648.9349999999997,2510.3,ActiveLearning,Continuing
53,278,1743.5,1604.1479999999997,670.3,2510.3,ActiveLearning,Continuing
54,82,1746.6,1696.81125,397.5,2510.3,ActiveLearning,Continuing
55,222,1792.1,1721.2269999999962,397.5,2510.3,ActiveLearning,Continuing
56,262,1309.1,1626.4247499999985,565.0,2510.3,ActiveLearning,Continuing
