Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,3,1341.7,,,2510.3,WarmStart,WarmStart
1,5,1164.4,,,2510.3,WarmStart,WarmStart
2,9,1155.0,,,2510.3,WarmStart,WarmStart
3,17,1188.6,,,2510.3,WarmStart,WarmStart
4,25,1005.9,,,2510.3,WarmStart,WarmStart
5,33,1819.0,,,2510.3,WarmStart,WarmStart
6,45,1716.3,,,2510.3,WarmStart,WarmStart
7,46,1798.3,,,2510.3,WarmStart,WarmStart
8,57,1235.9,,,2510.3,WarmStart,WarmStart
9,60,1340.8,,,2510.3,WarmStart,WarmStart
10,63,1423.8,,,2510.3,WarmStart,WarmStart
11,73,2381.6,,,2510.3,WarmStart,WarmStart
12,75,1471.1,,,2510.3,WarmStart,WarmStart
13,76,1669.3,,,2510.3,WarmStart,WarmStart
14,82,1746.6,,,2510.3,WarmStart,WarmStart
15,93,1755.2,,,2510.3,WarmStart,WarmStart
16,108,1164.4,,,2510.3,WarmStart,WarmStart
17,143,1216.8,,,2510.3,WarmStart,WarmStart
18,146,1722.5,,,2510.3,WarmStart,WarmStart
19,148,1237.0,,,2510.3,WarmStart,WarmStart
20,164,1282.2,,,2510.3,WarmStart,WarmStart
21,165,1250.8,,,2510.3,WarmStart,WarmStart
22,172,1164.4,,,2510.3,WarmStart,WarmStart
23,173,1522.7,,,2510.3,WarmStart,WarmStart
24,175,1074.9,,,2510.3,WarmStart,WarmStart
25,185,1998.6,,,2510.3,WarmStart,WarmStart
26,197,1348.9,,,2510.3,WarmStart,WarmStart
27,219,1804.2,,,2510.3,WarmStart,WarmStart
28,228,1240.2,,,2510.3,WarmStart,WarmStart
29,231,1547.3,,,2510.3,WarmStart,WarmStart
30,239,1144.8,,,2510.3,WarmStart,WarmStart
31,242,1305.4,,,2510.3,WarmStart,WarmStart
32,251,1369.5,,,2510.3,WarmStart,WarmStart
33,260,1599.4,,,2510.3,WarmStart,WarmStart
34,277,1172.0,,,2510.3,WarmStart,WarmStart
35,287,1615.8,,,2510.3,WarmStart,WarmStart
36,291,1577.8,,,2510.3,WarmStart,WarmStart
37,292,2372.4,,,2510.3,WarmStart,WarmStart
38,296,1681.2,,,2510.3,WarmStart,WarmStart
39,309,1212.0,,,2510.3,WarmStart,WarmStart
40,106,2381.6,2170.8507500000014,1217.1999999999998,2510.3,ActiveLearning,Continuing
41,306,2510.3,2204.9220000000037,1217.1999999999998,2510.3,ActiveLearning,Max yield strength in Dataset reached
