Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,9,1155.0,,,2510.3,WarmStart,WarmStart
1,25,1005.9,,,2510.3,WarmStart,WarmStart
2,46,1798.3,,,2510.3,WarmStart,WarmStart
3,57,1235.9,,,2510.3,WarmStart,WarmStart
4,60,1340.8,,,2510.3,WarmStart,WarmStart
5,63,1423.8,,,2510.3,WarmStart,WarmStart
6,75,1471.1,,,2510.3,WarmStart,WarmStart
7,93,1755.2,,,2510.3,WarmStart,WarmStart
8,108,1164.4,,,2510.3,WarmStart,WarmStart
9,164,1282.2,,,2510.3,WarmStart,WarmStart
10,173,1522.7,,,2510.3,WarmStart,WarmStart
11,175,1074.9,,,2510.3,WarmStart,WarmStart
12,185,1998.6,,,2510.3,WarmStart,WarmStart
13,228,1240.2,,,2510.3,WarmStart,WarmStart
14,260,1599.4,,,2510.3,WarmStart,WarmStart
15,205,1730.2,1693.819580078125,180.44924926757812,2510.3,ActiveLearning,Continuing
16,119,1736.3,1643.0433349609375,213.35433959960938,2510.3,ActiveLearning,Continuing
17,193,1784.5,1663.7979736328125,175.5806427001953,2510.3,ActiveLearning,Continuing
18,285,1812.1,1752.1156005859375,51.461219787597656,2510.3,ActiveLearning,Continuing
19,279,1805.2,1765.82958984375,31.722890853881836,2510.3,ActiveLearning,Continuing
20,146,1722.5,1770.743408203125,39.119041442871094,2510.3,ActiveLearning,Continuing
21,188,1681.2,1772.59228515625,29.511844635009766,2510.3,ActiveLearning,Continuing
22,158,1688.1,1768.4339599609375,26.0867862701416,2510.3,ActiveLearning,Continuing
23,33,1819.0,1736.7020263671875,26.005807876586914,2510.3,ActiveLearning,Continuing
24,246,1564.0,1703.644775390625,84.81492614746094,2510.3,ActiveLearning,Continuing
25,280,1730.2,1686.4874267578125,128.7564239501953,2510.3,ActiveLearning,Continuing
26,215,1688.1,1710.0430908203125,23.938852310180664,2510.3,ActiveLearning,Continuing
27,150,1846.5,1678.45849609375,81.41271209716797,2510.3,ActiveLearning,Continuing
28,223,1412.5,1637.5477294921875,156.30929565429688,2510.3,ActiveLearning,Continuing
29,203,1688.1,1651.0181884765625,99.1507568359375,2510.3,ActiveLearning,Continuing
30,291,1577.8,1620.2027587890625,141.93038940429688,2510.3,ActiveLearning,Continuing
31,115,1536.5,1575.6407470703125,183.1001434326172,2510.3,ActiveLearning,Continuing
32,21,1860.3,1584.653564453125,160.02806091308594,2510.3,ActiveLearning,Continuing
33,34,1730.2,1697.149169921875,163.59271240234375,2510.3,ActiveLearning,Continuing
34,77,1653.6,1701.13671875,111.78653717041016,2510.3,ActiveLearning,Continuing
35,142,1340.1,1680.0994873046875,73.70164489746094,2510.3,ActiveLearning,Continuing
36,252,1730.2,1610.371826171875,116.78623962402344,2510.3,ActiveLearning,Continuing
37,204,2005.5,1671.9346923828125,137.39340209960938,2510.3,ActiveLearning,Continuing
38,68,2006.0,1800.22119140625,192.2720947265625,2510.3,ActiveLearning,Continuing
39,224,1792.2,1791.7044677734375,143.5609893798828,2510.3,ActiveLearning,Continuing
40,19,1723.2,1752.973876953125,60.090641021728516,2510.3,ActiveLearning,Continuing
41,192,1674.6,1727.478515625,44.84437561035156,2510.3,ActiveLearning,Continuing
42,227,1874.6,1700.9888916015625,41.145843505859375,2510.3,ActiveLearning,Continuing
43,275,1392.4,1756.72607421875,69.29174041748047,2510.3,ActiveLearning,Continuing
44,8,1683.0,1684.3023681640625,89.96044921875,2510.3,ActiveLearning,Continuing
45,79,1641.2,1647.867919921875,114.81952667236328,2510.3,ActiveLearning,Continuing
46,305,1139.7,1639.62646484375,70.02852630615234,2510.3,ActiveLearning,Continuing
47,80,1125.0,1605.1612548828125,121.89583587646484,2510.3,ActiveLearning,Continuing
48,157,1779.7,1560.290771484375,181.80885314941406,2510.3,ActiveLearning,Continuing
49,147,1736.3,1582.9046630859375,163.6170196533203,2510.3,ActiveLearning,Continuing
50,117,1810.0,1639.69384765625,131.35939025878906,2510.3,ActiveLearning,Continuing
51,102,1575.5,1696.727294921875,131.47853088378906,2510.3,ActiveLearning,Continuing
52,82,1746.6,1664.3551025390625,72.45083618164062,2510.3,ActiveLearning,Continuing
53,222,1792.1,1723.7608642578125,67.2453384399414,2510.3,ActiveLearning,Continuing
54,121,1795.5,1757.881103515625,51.70499801635742,2510.3,ActiveLearning,Continuing
55,278,1743.5,1771.967529296875,39.73760986328125,2510.3,ActiveLearning,Continuing
