Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,73,2381.6,,,2510.3,WarmStart,WarmStart
1,107,1309.1,,,2510.3,WarmStart,WarmStart
2,34,1730.2,27357310.0,290175.96875,2510.3,ActiveLearning,Continuing
3,256,1016.4,6331155.0,1391542.125,2510.3,ActiveLearning,Continuing
4,169,1250.5,8661.400390625,102.253662109375,2510.3,ActiveLearning,Continuing
5,71,2501.1,3343.664306640625,37.03118133544922,2510.3,ActiveLearning,Continuing
6,118,1603.3,3082.0,33.67993927001953,2510.3,ActiveLearning,Continuing
7,192,1674.6,3689.59521484375,47.53120040893555,2510.3,ActiveLearning,Continuing
8,208,1153.4,3069.167236328125,94.66127014160156,2510.3,ActiveLearning,Continuing
9,191,2411.5,2525.828857421875,46.498146057128906,2510.3,ActiveLearning,Continuing
10,206,2331.1,2490.49658203125,40.1824836730957,2510.3,ActiveLearning,Continuing
11,292,2372.4,2390.908203125,36.72350311279297,2510.3,ActiveLearning,Continuing
12,99,2411.5,2353.37890625,43.404945373535156,2510.3,ActiveLearning,Continuing
13,31,2487.3,2323.32373046875,40.69641876220703,2510.3,ActiveLearning,Continuing
14,194,1233.3,2247.582763671875,35.01325988769531,2510.3,ActiveLearning,Continuing
15,40,2157.3,2689.3056640625,50.8484001159668,2510.3,ActiveLearning,Continuing
16,6,1605.4,2487.2900390625,101.2045669555664,2510.3,ActiveLearning,Continuing
17,289,1571.2,2427.017333984375,55.2713737487793,2510.3,ActiveLearning,Continuing
18,306,2510.3,2244.326171875,45.738956451416016,2510.3,ActiveLearning,Max yield strength in Dataset reached
