Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,1,1502.0,,,2510.3,WarmStart,WarmStart
1,3,1341.7,,,2510.3,WarmStart,WarmStart
2,4,1322.1,,,2510.3,WarmStart,WarmStart
3,5,1164.4,,,2510.3,WarmStart,WarmStart
4,6,1605.4,,,2510.3,WarmStart,WarmStart
5,8,1683.0,,,2510.3,WarmStart,WarmStart
6,9,1155.0,,,2510.3,WarmStart,WarmStart
7,10,1218.4,,,2510.3,WarmStart,WarmStart
8,11,1232.0,,,2510.3,WarmStart,WarmStart
9,12,1455.4,,,2510.3,WarmStart,WarmStart
10,14,1564.0,,,2510.3,WarmStart,WarmStart
11,20,1536.5,,,2510.3,WarmStart,WarmStart
12,24,1383.7,,,2510.3,WarmStart,WarmStart
13,25,1005.9,,,2510.3,WarmStart,WarmStart
14,27,1825.8,,,2510.3,WarmStart,WarmStart
15,31,2487.3,,,2510.3,WarmStart,WarmStart
16,32,1226.4,,,2510.3,WarmStart,WarmStart
17,35,1357.3,,,2510.3,WarmStart,WarmStart
18,37,1412.5,,,2510.3,WarmStart,WarmStart
19,38,1426.2,,,2510.3,WarmStart,WarmStart
20,41,1169.4,,,2510.3,WarmStart,WarmStart
21,43,1026.6,,,2510.3,WarmStart,WarmStart
22,46,1798.3,,,2510.3,WarmStart,WarmStart
23,47,1228.9,,,2510.3,WarmStart,WarmStart
24,52,1332.7,,,2510.3,WarmStart,WarmStart
25,54,1429.7,,,2510.3,WarmStart,WarmStart
26,61,1405.6,,,2510.3,WarmStart,WarmStart
27,63,1423.8,,,2510.3,WarmStart,WarmStart
28,67,1438.6,,,2510.3,WarmStart,WarmStart
29,73,2381.6,,,2510.3,WarmStart,WarmStart
30,74,1312.6,,,2510.3,WarmStart,WarmStart
31,77,1653.6,,,2510.3,WarmStart,WarmStart
32,79,1641.2,,,2510.3,WarmStart,WarmStart
33,84,1278.2,,,2510.3,WarmStart,WarmStart
34,86,1453.8,,,2510.3,WarmStart,WarmStart
35,87,1393.5,,,2510.3,WarmStart,WarmStart
36,89,1021.0,,,2510.3,WarmStart,WarmStart
37,91,1136.8,,,2510.3,WarmStart,WarmStart
38,93,1755.2,,,2510.3,WarmStart,WarmStart
39,94,1376.3,,,2510.3,WarmStart,WarmStart
40,96,1233.3,,,2510.3,WarmStart,WarmStart
41,98,1243.4,,,2510.3,WarmStart,WarmStart
42,101,1219.7,,,2510.3,WarmStart,WarmStart
43,102,1575.5,,,2510.3,WarmStart,WarmStart
44,103,1314.2,,,2510.3,WarmStart,WarmStart
45,105,1358.2,,,2510.3,WarmStart,WarmStart
46,106,2381.6,,,2510.3,WarmStart,WarmStart
47,107,1309.1,,,2510.3,WarmStart,WarmStart
48,110,1241.0,,,2510.3,WarmStart,WarmStart
49,112,1471.0,,,2510.3,WarmStart,WarmStart
50,113,1405.6,,,2510.3,WarmStart,WarmStart
51,117,1810.0,,,2510.3,WarmStart,WarmStart
52,119,1736.3,,,2510.3,WarmStart,WarmStart
53,120,1275.3,,,2510.3,WarmStart,WarmStart
54,121,1795.5,,,2510.3,WarmStart,WarmStart
55,122,1028.7,,,2510.3,WarmStart,WarmStart
56,123,1729.4,,,2510.3,WarmStart,WarmStart
57,130,1109.3,,,2510.3,WarmStart,WarmStart
58,134,1282.2,,,2510.3,WarmStart,WarmStart
59,135,1354.2,,,2510.3,WarmStart,WarmStart
60,141,1273.3,,,2510.3,WarmStart,WarmStart
61,146,1722.5,,,2510.3,WarmStart,WarmStart
62,147,1736.3,,,2510.3,WarmStart,WarmStart
63,148,1237.0,,,2510.3,WarmStart,WarmStart
64,150,1846.5,,,2510.3,WarmStart,WarmStart
65,155,1344.4,,,2510.3,WarmStart,WarmStart
66,156,1550.3,,,2510.3,WarmStart,WarmStart
67,157,1779.7,,,2510.3,WarmStart,WarmStart
68,162,1258.2,,,2510.3,WarmStart,WarmStart
69,170,1274.7,,,2510.3,WarmStart,WarmStart
70,172,1164.4,,,2510.3,WarmStart,WarmStart
71,173,1522.7,,,2510.3,WarmStart,WarmStart
72,174,1287.4,,,2510.3,WarmStart,WarmStart
