Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max yield strength in Dataset,Phase,Stopping Reason
0,75,1471.1,,,2510.3,WarmStart,WarmStart
1,127,1737.2,,,2510.3,WarmStart,WarmStart
2,185,1998.6,,,2510.3,WarmStart,WarmStart
3,227,1874.6,,,2510.3,WarmStart,WarmStart
4,234,1212.6,,,2510.3,WarmStart,WarmStart
5,235,1419.4,,,2510.3,WarmStart,WarmStart
6,292,2372.4,,,2510.3,WarmStart,WarmStart
7,294,1390.4,,,2510.3,WarmStart,WarmStart
8,79,1641.2,748.6819693738469,1027.4025576100114,2510.3,ActiveLearning,Continuing
9,260,1599.4,950.6339627281902,856.5396726918899,2510.3,ActiveLearning,Continuing
10,64,1661.2,1398.6861599114345,459.9160232686259,2510.3,ActiveLearning,Continuing
11,159,2356.4,1477.7848110954515,393.93102159035334,2510.3,ActiveLearning,Continuing
12,73,2381.6,1485.919395681074,457.61460288008345,2510.3,ActiveLearning,Continuing
13,99,2411.5,1510.3117035959303,495.607242802567,2510.3,ActiveLearning,Continuing
14,31,2487.3,1543.7279374736804,518.6370018230191,2510.3,ActiveLearning,Continuing
15,212,2249.6,1709.408898940791,456.60886197055254,2510.3,ActiveLearning,Continuing
16,289,1571.2,1914.2260434365949,342.0141713174357,2510.3,ActiveLearning,Continuing
17,76,1669.3,1805.2541070721397,385.74140255842707,2510.3,ActiveLearning,Continuing
18,118,1603.3,1778.9045932493277,381.3527476474746,2510.3,ActiveLearning,Continuing
19,261,1287.3,1769.0878130747124,370.7932261294427,2510.3,ActiveLearning,Continuing
20,210,1580.0,1714.330340375709,399.51026909075887,2510.3,ActiveLearning,Continuing
21,275,1392.4,1713.5581693704157,386.43408154005255,2510.3,ActiveLearning,Continuing
22,240,1267.1,1697.7483616941895,391.0028060659292,2510.3,ActiveLearning,Continuing
23,203,1688.1,1666.4407078639408,404.14707670251096,2510.3,ActiveLearning,Continuing
24,5,1164.4,1662.0905508501203,396.82312766046135,2510.3,ActiveLearning,Continuing
25,306,2510.3,1628.8148517514007,413.06935691102603,2510.3,ActiveLearning,Max yield strength in Dataset reached
